Ano,Amapá - PIB - Estadual,Amapá - PIB - Construção Civil,Amapá - PIB - Per Capita,Amapá - PIB - Preços de Mercado
1985,0.00057356,84791.470465786,10.5545270034,2396901.418886
1986,0.001458137,98438.1992293901,10.754807754,2556622.14447063
1987,0.004727627,95423.9701275467,10.4231947321,2586932.70054894
1988,0.040189169,109643.027470618,10.1495615011,2623083.12303591
1989,0.764695186,111254.435265629,9.7183501032,2747931.52013177
1990,18.59140125,79659.1332608547,9.5215635588,2785523.89756174
1991,96.91090206,84414.3384752164,9.7164943169,2935518.1135254
1992,1125.864717,123866.648369376,9.5533348074,3187326.85846261
1993,23048.07566,130659.878678685,9.9624865074,3510331.93333155
1994,624582.2361,159940.154473381,9.9455589035,3688658.61392494
1995,1506572.834,141975.389090916,9.9051725699,3855489.37111406
1996,1819439.914,128165.75200451,9.9554276523,4056926.36716661
1997,2030049.846,134289.496360489,10.024907922,4267793.77564173
1998,2038322.541,120053.122593491,9.5898020439,4252607.3061893
1999,2128307.033,104811.754075022,9.2743099109,4345301.69684479
2000,2357035.636,103697.953991113,9.3485932333,4573042.00335434
2001,2801925.026,106218.077010358,9.5227544581,4855995.31735931
2002,2973931.57154085,313641.83087706,10.9382258534,5649713.97378244
2003,3193514.38227694,330732.349468258,9.9424422641,5317566.10832008
2004,3562167.95521538,290255.430236755,10.0560641696,5504689.5264592
2005,3989950.45398062,271088.52793646,9.6525042811,5739253.56298055
2006,4902397.51898851,329866.85105219,10.7263032728,6604345.81961958
2007,5597908.07726797,334539.292752906,11.1740764322,7085101.94704058
2008,6491149.13254589,472765.138458245,12.317443716,7552637.69359458
2009,6965735.36960652,339228.046653262,12.0529434262,7552482.82737763
2010,7601714.63787017,374755.81855186,11.078196815,7601714.63787017
2011,8716745.75771643,478230.497600685,11.7597779177,8047321.86705979
2012,10250577.561462,649747.696337554,12.5493291325,8766986.43060111
2013,11756075.2116,573830.132546541,12.7248442178,9352709.60068538
2014,12372437.9456687,657590.391686393,12.1544254345,9126903.91186861
2015,12890800.6522666,702421.352874182,11.5307828377,8840409.05519438
2016,13468623.7972645,476897.460629486,10.9220701616,8544280.87706846
2017,14472589.6001463,371506.056752494,11.1053063287,8856041.49042421
2018,15665017.7824133,367275.992559007,11.1921727485,9173495.85399936
2019,16324199.3034472,312167.90828863,10.9829574945,9172063.43492522
2020,17212117.9559865,341617.966047786,10.3500185803,9083056.69458754
