Ano,Acre - Consumo de Cimento (t)
2003-1,3.26
2003-2,2.191
2003-3,2.154
2003-4,2.643
2003-5,2.546
2003-6,3.04
2003-7,4.963
2003-8,2.924
2003-9,5.276
2003-10,5.262
2003-11,5.041
2003-12,4.303
2004-1,4.105
2004-2,3.898
2004-3,4.209
2004-4,2.994
2004-5,3.72
2004-6,4.275
2004-7,4.699
2004-8,6.416
2004-9,6.427
2004-10,6.386
2004-11,5.591
2004-12,5.422
2005-1,5.807
2005-2,5.242
2005-3,4.965
2005-4,5.854
2005-5,5.892
2005-6,7.76
2005-7,7.484
2005-8,8.048
2005-9,7.794
2005-10,8.792
2005-11,6.725
2005-12,6.551
2006-1,7.192
2006-2,6.443
2006-3,9.429
2006-4,7.627
2006-5,9.283
2006-6,7.826
2006-7,7.907
2006-8,15.133
2006-9,12.318
2006-10,11.558
2006-11,9.965
2006-12,9.734
2007-1,6.647
2007-2,6.138
2007-3,9.225
2007-4,7.545
2007-5,9.279
2007-6,9.651
2007-7,9.541
2007-8,17.165
2007-9,15.001
2007-10,13.456
2007-11,10.572
2007-12,7.652
2008-1,8.457
2008-2,8.675
2008-3,6.078
2008-4,8.368
2008-5,11.648
2008-6,10.911
2008-7,12.003
2008-8,13.273
2008-9,11.838
2008-10,12.887
2008-11,7.645
2008-12,7.362
2009-1,7.212
2009-2,6.669
2009-3,9.647
2009-4,7.887
2009-5,9.374
2009-6,9.351
2009-7,12.593
2009-8,13.703
2009-9,11.207
2009-10,13.249
2009-11,9.583
2009-12,10.671
2010-1,10.806
2010-2,7.55
2010-3,13.999
2010-4,10.883
2010-5,12.063
2010-6,12.514
2010-7,18.791
2010-8,20.986
2010-9,15.808
2010-10,18.127
2010-11,18.846
2010-12,14.332
2011-1,11.415
2011-2,13.36
2011-3,12.147
2011-4,10.035
2011-5,13.453
2011-6,16.209
2011-7,15.53
2011-8,18.462
2011-9,19.936
2011-10,20.238
2011-11,14.867
2011-12,12.67
2012-1,9.683
2012-2,10.019
2012-3,9.847
2012-4,14.828
2012-5,14.321
2012-6,14.078
2012-7,16.477
2012-8,17.237
2012-9,17.098
2012-10,18.616
2012-11,19.385
2012-12,11.905
2013-1,13.358
2013-2,10.744
2013-3,14.485
2013-4,14.621
2013-5,15.229
2013-6,13.572
2013-7,14.862
2013-8,21.954
2013-9,19.974
2013-10,21.355
2013-11,20.172
2013-12,13.346
2014-1,15.235336541452709
2014-2,13.435040290943627
2014-3,14.429796128935056
2014-4,14.867585203549895
2014-5,17.169960487600964
2014-6,17.599553656855885
2014-7,19.29394177966213
2014-8,22.178829506133685
2014-9,20.620046362918817
2014-10,21.621011220122302
2014-11,18.711074536143805
2014-12,17.583
2015-1,14.802104222738413
2015-2,13.053001230537646
2015-3,14.019470172662022
2015-4,14.444810268851793
2015-5,16.68171516567866
2015-6,17.099092415428704
2015-7,18.745298885453728
2015-8,21.548151889845524
2015-9,20.033694333641503
2015-10,21.006195735189916
2015-11,18.179006065921705
2015-12,17.083
2016-1,11.480656445928817
2016-2,10.124035100758467
2016-3,10.873637841235421
2016-4,11.203535769499684
2016-5,12.93850103094101
2016-6,13.26222289782031
2016-7,14.539036696522649
2016-8,16.712956831636284
2016-9,15.538328775848775
2016-10,16.292610350708276
2016-11,14.099814460885616
2016-12,11.828000000000003
2017-1,10.406
2017-2,9.081
2017-3,9.545
2017-4,10.13
2017-5,14.451
2017-6,13.218
2017-7,13.552
2017-8,15.826
2017-9,14.869
2017-10,14.734
2017-11,12.754
2017-12,11.925
2018-1,13.114
2018-2,8.92
2018-3,9.724
2018-4,9.737
2018-5,10.136
2018-6,14.403
2018-7,12.871
2018-8,15.749
2018-9,14.269
2018-10,15.367
2018-11,14.595
2018-12,9.811
2019-1,11.188
2019-2,10.381
2019-3,8.08
2019-4,11.154
2019-5,12.508
2019-6,12.126
2019-7,14.496
2019-8,16.723
2019-9,15.253
2019-10,16.531
2019-11,15.206
2019-12,10.16
2020-1,13.188
2020-2,12.276
2020-3,7.725
2020-4,9.636
2020-5,13.187
2020-6,16.121
2020-7,20.767
2020-8,20.279
2020-9,18.042
2020-10,20.063
2020-11,13.998
2020-12,12.751
2021-1,13.523
2021-2,9.636
2021-3,11.165
2021-4,13.435
2021-5,19.408
2021-6,16.602
2021-7,19.526
2021-8,19.011
2021-9,17.528
2021-10,21.582
2021-11,15.33
2021-12,12.611
2022-1,15.161
2022-2,13.174
2022-3,14.501
2022-4,14.227
2022-5,17.552
2022-6,18.447
2022-7,17.92
2022-8,21.748
2022-9,20.032
2022-10,18.573
2022-11,15.493
2022-12,15.493
