Ano,Amapá - Consumo de Cimento (t)
2003-1,10.392
2003-2,6.857
2003-3,7.011
2003-4,7.122
2003-5,5.267
2003-6,5.539
2003-7,7.714
2003-8,7.74
2003-9,6.882
2003-10,7.066
2003-11,5.797
2003-12,7.706
2004-1,10.0
2004-2,6.136
2004-3,5.122
2004-4,3.926
2004-5,6.197
2004-6,7.552
2004-7,5.796
2004-8,5.979
2004-9,7.271
2004-10,6.552
2004-11,8.809
2004-12,6.668
2005-1,9.759
2005-2,4.782
2005-3,7.803
2005-4,4.4
2005-5,4.46
2005-6,10.613
2005-7,7.421
2005-8,11.699
2005-9,9.44
2005-10,7.688
2005-11,11.977
2005-12,14.155
2006-1,6.912
2006-2,6.76
2006-3,14.45
2006-4,8.618
2006-5,8.818
2006-6,7.726
2006-7,6.999
2006-8,9.315
2006-9,12.122
2006-10,9.287
2006-11,14.666
2006-12,9.867
2007-1,14.985
2007-2,10.988
2007-3,16.338
2007-4,8.87
2007-5,11.095
2007-6,6.493
2007-7,9.051
2007-8,11.339
2007-9,15.643
2007-10,5.969
2007-11,10.398
2007-12,13.877
2008-1,9.107
2008-2,7.36
2008-3,13.53
2008-4,6.724
2008-5,9.963
2008-6,10.101
2008-7,7.768
2008-8,11.92
2008-9,7.539
2008-10,11.505
2008-11,10.349
2008-12,10.5
2009-1,11.81
2009-2,4.505
2009-3,9.672
2009-4,6.741
2009-5,7.113
2009-6,6.048
2009-7,8.129
2009-8,9.164
2009-9,9.802
2009-10,13.503
2009-11,13.739
2009-12,12.503
2010-1,13.688
2010-2,8.696
2010-3,11.639
2010-4,8.572
2010-5,8.742
2010-6,14.176
2010-7,15.36
2010-8,14.198
2010-9,16.247
2010-10,12.404
2010-11,12.009
2010-12,15.811
2011-1,15.404
2011-2,11.193
2011-3,9.357
2011-4,11.456
2011-5,15.365
2011-6,12.067
2011-7,12.195
2011-8,13.571
2011-9,13.957
2011-10,13.166
2011-11,15.633
2011-12,18.606
2012-1,16.481
2012-2,16.803
2012-3,14.899
2012-4,18.744
2012-5,17.009
2012-6,17.839
2012-7,29.446
2012-8,24.859
2012-9,28.779
2012-10,29.925
2012-11,22.249
2012-12,24.087
2013-1,19.544
2013-2,22.741
2013-3,25.145
2013-4,22.572
2013-5,21.952
2013-6,20.633
2013-7,18.092
2013-8,19.537
2013-9,14.595
2013-10,15.461
2013-11,22.239
2013-12,28.008
2014-1,23.16225862220722
2014-2,18.926245035818305
2014-3,21.971027439460958
2014-4,19.908836407633704
2014-5,20.73862622716936
2014-6,21.95932885183059
2014-7,23.72446574698208
2014-8,24.101070279544352
2014-9,24.148404564879538
2014-10,24.008291480721958
2014-11,24.992052711300406
2014-12,22.833
2015-1,18.09023118668739
2015-2,14.781811816296047
2015-3,17.159853547608193
2015-4,15.549237194283258
2015-5,16.197321213920596
2015-6,17.150716694495426
2015-7,18.52932726224148
2015-8,18.823463648987193
2015-9,18.860432762351174
2015-10,18.75100137545438
2015-11,19.51934043875287
2015-12,17.833
2016-1,14.877947144191497
2016-2,12.157004110598619
2016-3,14.112776749434776
2016-4,12.788157692494643
2016-5,13.321161372196377
2016-6,14.105262328183153
2016-7,15.239072888572432
2016-8,15.480979449634328
2016-9,15.511383954083207
2016-10,15.421384308784909
2016-11,16.0532893328061
2016-12,13.5805
2017-1,12.495
2017-2,8.322
2017-3,11.373
2017-4,9.651
2017-5,10.855
2017-6,13.97
2017-7,12.399
2017-8,11.268
2017-9,8.741
2017-10,12.358
2017-11,11.876
2017-12,11.713
2018-1,11.449
2018-2,7.805
2018-3,7.726
2018-4,8.516
2018-5,8.503
2018-6,10.175
2018-7,11.775
2018-8,9.724
2018-9,10.069
2018-10,13.93
2018-11,11.918
2018-12,11.757
2019-1,9.691
2019-2,7.378
2019-3,6.97
2019-4,7.612
2019-5,8.442
2019-6,8.835
2019-7,11.251
2019-8,11.342
2019-9,13.11
2019-10,13.195
2019-11,10.053
2019-12,12.274
2020-1,11.12
2020-2,7.698
2020-3,5.654
2020-4,7.934
2020-5,8.989
2020-6,11.11
2020-7,15.345
2020-8,13.388
2020-9,13.605
2020-10,13.889
2020-11,11.829
2020-12,12.962
2021-1,11.136
2021-2,9.216
2021-3,12.152
2021-4,12.958
2021-5,12.879
2021-6,13.924
2021-7,15.125
2021-8,14.239
2021-9,11.738
2021-10,14.325
2021-11,15.301
2021-12,14.628
2022-1,8.58
2022-2,10.495
2022-3,11.354
2022-4,11.488
2022-5,9.476
2022-6,11.889
2022-7,14.439
2022-8,13.208
2022-9,13.476
2022-10,11.236
2022-11,13.549
2022-12,13.549
