Ano,Espírito Santo - Consumo de Cimento (t)
2003-1,48.426
2003-2,54.969
2003-3,53.847
2003-4,50.375
2003-5,52.576
2003-6,51.603
2003-7,57.26
2003-8,54.309
2003-9,56.559
2003-10,55.945
2003-11,51.371
2003-12,47.913
2004-1,48.646
2004-2,43.597
2004-3,56.331
2004-4,48.488
2004-5,52.856
2004-6,53.379
2004-7,55.198
2004-8,59.589
2004-9,59.411
2004-10,53.873
2004-11,54.406
2004-12,50.885
2005-1,56.49
2005-2,53.578
2005-3,60.481
2005-4,64.833
2005-5,64.063
2005-6,66.518
2005-7,65.453
2005-8,76.604
2005-9,68.541
2005-10,64.374
2005-11,62.128
2005-12,65.904
2006-1,62.346
2006-2,57.632
2006-3,63.97
2006-4,48.573
2006-5,57.372
2006-6,53.37
2006-7,54.255
2006-8,58.264
2006-9,54.972
2006-10,54.028
2006-11,55.19
2006-12,53.589
2007-1,76.743
2007-2,67.311
2007-3,85.163
2007-4,69.22
2007-5,76.813
2007-6,75.526
2007-7,81.935
2007-8,86.992
2007-9,82.44
2007-10,93.881
2007-11,92.572
2007-12,86.158
2008-1,94.468
2008-2,87.485
2008-3,95.606
2008-4,99.359
2008-5,100.512
2008-6,105.376
2008-7,118.59
2008-8,122.956
2008-9,118.946
2008-10,124.595
2008-11,93.808
2008-12,102.012
2009-1,90.226
2009-2,83.399
2009-3,94.575
2009-4,87.976
2009-5,91.047
2009-6,96.52
2009-7,106.519
2009-8,97.899
2009-9,104.902
2009-10,93.831
2009-11,100.697
2009-12,91.233
2010-1,94.941
2010-2,87.115
2010-3,101.674
2010-4,97.169
2010-5,93.959
2010-6,99.981
2010-7,107.528
2010-8,116.636
2010-9,111.909
2010-10,108.934
2010-11,102.7
2010-12,100.92
2011-1,108.195
2011-2,107.909
2011-3,102.815
2011-4,100.244
2011-5,106.539
2011-6,109.934
2011-7,110.294
2011-8,116.224
2011-9,117.165
2011-10,95.319
2011-11,102.359
2011-12,94.964
2012-1,110.465
2012-2,108.596
2012-3,125.467
2012-4,110.051
2012-5,100.214
2012-6,111.584
2012-7,119.138
2012-8,113.912
2012-9,108.664
2012-10,127.674
2012-11,113.995
2012-12,104.98
2013-1,122.398
2013-2,114.009
2013-3,115.432
2013-4,117.022
2013-5,112.801
2013-6,114.576
2013-7,126.325
2013-8,122.029
2013-9,114.448
2013-10,129.924
2013-11,105.72
2013-12,83.619
2014-1,119.13997202764973
2014-2,109.77553667728361
2014-3,120.99605874465733
2014-4,113.11970545565167
2014-5,114.49670091930795
2014-6,117.53440384971832
2014-7,124.83502668632256
2014-8,128.8761612467365
2014-9,124.11149320473841
2014-10,124.44291071211642
2014-11,116.1848810680662
2014-12,118.75
2015-1,111.11370022789228
2015-2,102.38013210112977
2015-3,112.84474531343831
2015-4,105.49900950916566
2015-5,106.78323896263879
2015-6,109.61629664300044
2015-7,116.42508804640188
2015-8,120.19397775221951
2015-9,115.75029787305077
2015-10,116.05938830624753
2015-11,108.35768908032279
2015-12,110.75
2016-1,107.85302730924082
2016-2,99.37574899206727
2016-3,109.53327423200558
2016-4,102.40310178090571
2016-5,103.64964504274194
2016-6,106.39956559027131
2016-7,113.00855047393411
2016-8,116.66684070757199
2016-9,112.35356226955267
2016-10,112.65358232886328
2016-11,105.17789233530203
2016-12,103.31549999999993
2017-1,99.131
2017-2,77.958
2017-3,105.434
2017-4,86.699
2017-5,90.574
2017-6,85.148
2017-7,86.678
2017-8,100.174
2017-9,89.777
2017-10,94.81
2017-11,93.446
2017-12,87.54
2018-1,96.706
2018-2,74.086
2018-3,92.676
2018-4,82.865
2018-5,71.18
2018-6,108.826
2018-7,105.694
2018-8,107.106
2018-9,101.893
2018-10,110.551
2018-11,100.587
2018-12,94.22
2019-1,111.377
2019-2,98.614
2019-3,94.022
2019-4,91.546
2019-5,95.674
2019-6,88.927
2019-7,105.688
2019-8,104.711
2019-9,97.53
2019-10,99.651
2019-11,76.71
2019-12,75.456
2020-1,86.649
2020-2,81.614
2020-3,81.66
2020-4,86.661
2020-5,89.586
2020-6,90.68
2020-7,109.151
2020-8,111.007
2020-9,112.147
2020-10,107.327
2020-11,88.648
2020-12,93.525
2021-1,107.05
2021-2,87.266
2021-3,110.781
2021-4,90.704
2021-5,89.617
2021-6,88.47
2021-7,102.447
2021-8,108.121
2021-9,97.858
2021-10,82.086
2021-11,88.846
2021-12,81.776
2022-1,89.659
2022-2,86.121
2022-3,99.885
2022-4,81.167
2022-5,88.871
2022-6,80.829
2022-7,82.034
2022-8,100.17
2022-9,85.832
2022-10,91.318
2022-11,77.187
2022-12,77.187
