Ano,Goiás - Consumo de Cimento (t)
2003-1,97.447
2003-2,97.256
2003-3,101.442
2003-4,98.217
2003-5,112.54
2003-6,109.189
2003-7,118.633
2003-8,115.594
2003-9,122.029
2003-10,126.095
2003-11,112.663
2003-12,100.83
2004-1,93.66
2004-2,85.349
2004-3,116.097
2004-4,120.197
2004-5,122.728
2004-6,134.224
2004-7,132.814
2004-8,138.662
2004-9,149.663
2004-10,150.623
2004-11,144.087
2004-12,126.835
2005-1,121.831
2005-2,115.21
2005-3,122.721
2005-4,130.262
2005-5,139.268
2005-6,152.638
2005-7,150.876
2005-8,176.088
2005-9,165.396
2005-10,162.546
2005-11,156.234
2005-12,123.83
2006-1,147.233
2006-2,119.408
2006-3,141.839
2006-4,112.504
2006-5,154.131
2006-6,148.657
2006-7,155.052
2006-8,166.656
2006-9,158.784
2006-10,165.031
2006-11,143.822
2006-12,117.025
2007-1,136.126
2007-2,108.339
2007-3,156.805
2007-4,153.463
2007-5,174.67
2007-6,171.606
2007-7,182.293
2007-8,190.437
2007-9,169.326
2007-10,190.929
2007-11,173.577
2007-12,136.198
2008-1,165.609
2008-2,144.551
2008-3,144.731
2008-4,201.717
2008-5,186.669
2008-6,202.288
2008-7,234.803
2008-8,223.675
2008-9,227.864
2008-10,228.085
2008-11,193.081
2008-12,157.543
2009-1,176.151
2009-2,155.509
2009-3,188.291
2009-4,179.374
2009-5,189.722
2009-6,204.207
2009-7,227.886
2009-8,208.828
2009-9,215.777
2009-10,215.588
2009-11,201.328
2009-12,173.056
2010-1,183.135
2010-2,176.275
2010-3,217.929
2010-4,196.222
2010-5,216.849
2010-6,224.206
2010-7,247.363
2010-8,254.223
2010-9,258.609
2010-10,240.714
2010-11,228.358
2010-12,213.644
2011-1,203.609
2011-2,213.322
2011-3,211.721
2011-4,219.587
2011-5,257.807
2011-6,256.634
2011-7,256.767
2011-8,275.628
2011-9,273.387
2011-10,264.747
2011-11,252.835
2011-12,215.663
2012-1,201.406
2012-2,213.861
2012-3,260.8
2012-4,239.53
2012-5,275.54
2012-6,263.354
2012-7,285.048
2012-8,304.636
2012-9,256.993
2012-10,298.108
2012-11,241.45
2012-12,220.807
2013-1,233.819
2013-2,222.267
2013-3,234.942
2013-4,264.062
2013-5,281.799
2013-6,264.866
2013-7,302.427
2013-8,297.689
2013-9,300.093
2013-10,307.12
2013-11,265.977
2013-12,206.717
2014-1,247.37310983984673
2014-2,229.64571261783473
2014-3,256.0580817894243
2014-4,257.7854189809258
2014-5,281.2918618098894
2014-6,286.4607231567663
2014-7,302.97151885091773
2014-8,310.58413083192517
2014-9,301.77525908141877
2014-10,304.6193382597335
2014-11,278.8890001647884
2014-12,275.25
2015-1,222.43358650449434
2015-2,206.493420065083
2015-3,230.24296182700277
2015-4,231.79615330709947
2015-5,252.93273677728476
2015-6,257.5804867622149
2015-7,272.4267063237135
2015-8,279.27183426303895
2015-9,271.3510504001858
2015-10,273.9083968003053
2015-11,250.7721254887743
2015-12,247.5
2016-1,176.6736803246135
2016-2,164.01278718300702
2016-3,182.87648045451164
2016-4,184.11014331698573
2016-5,200.89842628202516
2016-6,204.59002298722726
2016-7,216.3820202752997
2016-8,221.8189417597673
2016-9,215.5276524895752
2016-10,217.55889159997315
2016-11,199.18230438653825
2016-12,182.38099999999986
2017-1,168.182
2017-2,146.31
2017-3,191.374
2017-4,164.318
2017-5,211.049
2017-6,198.789
2017-7,205.551
2017-8,230.558
2017-9,209.621
2017-10,210.984
2017-11,189.889
2017-12,143.721
2018-1,176.275
2018-2,152.632
2018-3,177.876
2018-4,181.384
2018-5,160.12
2018-6,236.951
2018-7,206.557
2018-8,224.27
2018-9,213.871
2018-10,211.066
2018-11,182.899
2018-12,159.002
2019-1,178.918
2019-2,161.936
2019-3,173.792
2019-4,176.627
2019-5,207.991
2019-6,185.784
2019-7,234.176
2019-8,226.996
2019-9,218.141
2019-10,234.939
2019-11,199.619
2019-12,168.797
2020-1,180.042
2020-2,162.717
2020-3,153.892
2020-4,145.618
2020-5,188.003
2020-6,222.77
2020-7,252.579
2020-8,237.382
2020-9,240.479
2020-10,237.489
2020-11,226.373
2020-12,191.241
2021-1,206.9
2021-2,197.392
2021-3,203.171
2021-4,226.45
2021-5,260.121
2021-6,242.536
2021-7,265.352
2021-8,269.361
2021-9,259.469
2021-10,237.556
2021-11,214.586
2021-12,199.241
2022-1,188.035
2022-2,189.66
2022-3,236.015
2022-4,234.936
2022-5,248.667
2022-6,244.443
2022-7,246.031
2022-8,274.673
2022-9,247.24
2022-10,246.647
2022-11,225.813
2022-12,225.813
