Ano,Mato Grosso Do Sul - Consumo de Cimento (t)
2003-1,33.744
2003-2,32.23
2003-3,33.559
2003-4,34.283
2003-5,36.066
2003-6,35.697
2003-7,40.248
2003-8,36.262
2003-9,34.63
2003-10,36.875
2003-11,33.128
2003-12,30.87
2004-1,36.256
2004-2,33.675
2004-3,43.734
2004-4,36.187
2004-5,33.413
2004-6,39.588
2004-7,42.637
2004-8,44.213
2004-9,42.226
2004-10,36.618
2004-11,37.872
2004-12,39.746
2005-1,33.55
2005-2,33.682
2005-3,40.149
2005-4,39.205
2005-5,38.897
2005-6,40.481
2005-7,41.787
2005-8,51.05
2005-9,40.518
2005-10,37.686
2005-11,41.135
2005-12,41.341
2006-1,43.106
2006-2,32.601
2006-3,42.728
2006-4,37.874
2006-5,42.09
2006-6,41.427
2006-7,44.939
2006-8,49.562
2006-9,47.439
2006-10,48.032
2006-11,46.778
2006-12,38.909
2007-1,42.744
2007-2,37.565
2007-3,47.589
2007-4,44.965
2007-5,47.485
2007-6,50.767
2007-7,52.952
2007-8,56.268
2007-9,57.078
2007-10,68.763
2007-11,65.294
2007-12,61.459
2008-1,65.91
2008-2,58.929
2008-3,62.311
2008-4,65.439
2008-5,68.618
2008-6,72.138
2008-7,82.637
2008-8,70.99
2008-9,73.662
2008-10,72.422
2008-11,63.729
2008-12,57.986
2009-1,55.541
2009-2,50.236
2009-3,57.625
2009-4,56.675
2009-5,58.566
2009-6,58.508
2009-7,59.896
2009-8,59.722
2009-9,63.228
2009-10,64.044
2009-11,59.624
2009-12,49.662
2010-1,54.036
2010-2,54.854
2010-3,66.686
2010-4,63.328
2010-5,68.015
2010-6,69.188
2010-7,81.537
2010-8,75.708
2010-9,70.757
2010-10,69.162
2010-11,70.414
2010-12,69.464
2011-1,69.038
2011-2,65.487
2011-3,62.968
2011-4,67.299
2011-5,78.552
2011-6,80.201
2011-7,82.136
2011-8,92.562
2011-9,87.281
2011-10,83.106
2011-11,79.173
2011-12,75.445
2012-1,72.993
2012-2,75.727
2012-3,85.555
2012-4,77.221
2012-5,92.229
2012-6,75.154
2012-7,94.693
2012-8,101.556
2012-9,85.395
2012-10,88.491
2012-11,87.067
2012-12,72.543
2013-1,80.967
2013-2,78.856
2013-3,79.126
2013-4,83.545
2013-5,93.401
2013-6,79.391
2013-7,89.84
2013-8,96.235
2013-9,92.47
2013-10,89.776
2013-11,90.52
2013-12,74.481
2014-1,79.51949321562711
2014-2,76.17887838823991
2014-3,83.33821569369448
2014-4,82.79487631374698
2014-5,87.24805796849026
2014-6,86.55444378257387
2014-7,94.81754287208035
2014-8,95.88227103106217
2014-9,90.66993342439913
2014-10,90.19309692433681
2014-11,89.11640134734304
2014-12,86.333
2015-1,77.29356145573021
2015-2,74.04645804725637
2015-3,81.00538919261616
2015-4,80.4772591196363
2015-5,84.80578607554989
2015-6,84.13158773074505
2015-7,92.16338385346035
2015-8,93.19830784582973
2015-9,88.13187544244201
2015-10,87.66838668224631
2015-11,86.6218302671568
2015-12,83.916
2016-1,73.14872300626702
2016-2,70.0757443088732
2016-3,76.66150536302204
2016-4,76.16169606853366
2016-5,80.25810737835059
2016-6,79.62006266871902
2016-7,87.22115671534033
2016-8,88.20058329401762
2016-9,83.40583644155635
2016-10,82.96720209352604
2016-11,81.97676687646516
2016-12,76.34749999999997
2017-1,73.279
2017-2,66.462
2017-3,79.514
2017-4,63.281
2017-5,77.205
2017-6,71.168
2017-7,80.517
2017-8,81.348
2017-9,76.509
2017-10,71.851
2017-11,71.187
2017-12,58.02
2018-1,63.194
2018-2,60.58
2018-3,69.448
2018-4,74.472
2018-5,63.776
2018-6,81.732
2018-7,83.858
2018-8,87.863
2018-9,69.723
2018-10,72.765
2018-11,77.937
2018-12,64.332
2019-1,77.048
2019-2,65.66
2019-3,65.445
2019-4,78.095
2019-5,80.998
2019-6,69.415
2019-7,87.346
2019-8,82.888
2019-9,79.287
2019-10,81.855
2019-11,77.495
2019-12,56.612
2020-1,75.55
2020-2,76.3
2020-3,65.143
2020-4,75.198
2020-5,78.572
2020-6,92.53
2020-7,100.583
2020-8,101.373
2020-9,97.514
2020-10,109.191
2020-11,97.506
2020-12,68.585
2021-1,74.556
2021-2,77.176
2021-3,96.162
2021-4,98.07
2021-5,96.714
2021-6,87.716
2021-7,103.907
2021-8,105.186
2021-9,98.973
2021-10,84.574
2021-11,89.311
2021-12,79.711
2022-1,81.536
2022-2,80.612
2022-3,97.474
2022-4,90.441
2022-5,102.798
2022-6,101.108
2022-7,109.956
2022-8,103.854
2022-9,95.89
2022-10,89.679
2022-11,99.356
2022-12,99.356
