,Paraíba - Consumo de Cimento (t)
2003-1,38.426
2003-2,31.672
2003-3,28.775
2003-4,28.571
2003-5,31.613
2003-6,26.158
2003-7,32.996
2003-8,31.318
2003-9,34.517
2003-10,36.194
2003-11,33.993
2003-12,38.522
2004-1,31.891
2004-2,26.089
2004-3,32.066
2004-4,26.351
2004-5,27.348
2004-6,25.12
2004-7,27.654
2004-8,28.168
2004-9,34.218
2004-10,30.44
2004-11,30.988
2004-12,34.23
2005-1,32.45
2005-2,27.763
2005-3,30.131
2005-4,27.103
2005-5,28.053
2005-6,21.631
2005-7,28.751
2005-8,29.638
2005-9,29.64
2005-10,29.79
2005-11,34.715
2005-12,45.4
2006-1,42.579
2006-2,35.468
2006-3,40.803
2006-4,26.305
2006-5,33.667
2006-6,28.367
2006-7,29.61
2006-8,36.666
2006-9,38.206
2006-10,38.481
2006-11,40.313
2006-12,40.005
2007-1,44.532
2007-2,34.753
2007-3,41.195
2007-4,35.818
2007-5,40.25
2007-6,33.23
2007-7,39.598
2007-8,44.056
2007-9,42.388
2007-10,57.413
2007-11,58.177
2007-12,51.898
2008-1,57.802
2008-2,58.541
2008-3,56.598
2008-4,54.107
2008-5,56.019
2008-6,46.593
2008-7,57.196
2008-8,59.179
2008-9,62.719
2008-10,70.134
2008-11,63.163
2008-12,65.732
2009-1,65.392
2009-2,53.551
2009-3,62.268
2009-4,51.135
2009-5,52.819
2009-6,53.0
2009-7,58.296
2009-8,62.618
2009-9,69.872
2009-10,68.203
2009-11,67.34
2009-12,70.178
2010-1,66.691
2010-2,62.169
2010-3,73.989
2010-4,66.595
2010-5,67.561
2010-6,65.345
2010-7,73.299
2010-8,72.335
2010-9,72.595
2010-10,69.115
2010-11,71.732
2010-12,72.743
2011-1,92.731
2011-2,67.2
2011-3,89.158
2011-4,73.795
2011-5,72.218
2011-6,73.324
2011-7,59.061
2011-8,72.088
2011-9,89.582
2011-10,80.6
2011-11,88.15
2011-12,88.341
2012-1,88.07
2012-2,84.384
2012-3,102.052
2012-4,86.964
2012-5,93.287
2012-6,79.642
2012-7,89.501
2012-8,106.453
2012-9,90.521
2012-10,98.089
2012-11,100.169
2012-12,84.305
2013-1,104.554
2013-2,91.518
2013-3,100.642
2013-4,98.898
2013-5,98.165
2013-6,86.193
2013-7,103.22
2013-8,107.23
2013-9,107.627
2013-10,121.327
2013-11,106.266
2013-12,97.804
2014-1,123.648
2014-2,106.647
2014-3,105.61914285714286
2014-4,104.59128571428573
2014-5,103.56342857142857
2014-6,102.53557142857144
2014-7,101.50771428571429
2014-8,100.47985714285716
2014-9,99.452
2014-10,98.42414285714287
2014-11,97.39628571428571
2014-12,96.36842857142858
2015-1,95.34057142857142
2015-2,94.31271428571429
2015-3,93.28485714285716
2015-4,92.257
2015-5,91.22914285714288
2015-6,90.20128571428572
2015-7,89.17342857142859
2015-8,88.14557142857143
2015-9,87.1177142857143
2015-10,86.08985714285714
2015-11,85.06200000000001
2015-12,84.03414285714285
2016-1,83.00628571428572
2016-2,81.97842857142857
2016-3,80.95057142857144
2016-4,79.92271428571428
2016-5,78.89485714285715
2016-6,77.86700000000002
2016-7,76.83914285714286
2016-8,75.81128571428573
2016-9,74.78342857142857
2016-10,73.75557142857144
2016-11,72.72771428571428
2016-12,71.69985714285716
2017-1,70.672
2017-2,58.962
2017-3,73.459
2017-4,59.15
2017-5,64.833
2017-6,63.84
2017-7,61.721
2017-8,69.24
2017-9,70.048
2017-10,67.172
2017-11,64.22
2017-12,63.021
2018-1,62.639
2018-2,53.839
2018-3,56.652
2018-4,53.408
2018-5,50.543
2018-6,64.699
2018-7,60.219
2018-8,64.217
2018-9,57.591
2018-10,64.307
2018-11,61.971
2018-12,57.48
2019-1,68.053
2019-2,55.231
2019-3,53.723
2019-4,57.457
2019-5,62.755
2019-6,48.148
2019-7,62.19
2019-8,62.219
2019-9,61.329
2019-10,81.988
2019-11,79.341
2019-12,76.646
2020-1,80.866
2020-2,75.612
2020-3,63.156
2020-4,69.426
2020-5,75.47
2020-6,83.819
2020-7,101.029
2020-8,106.04
2020-9,103.0
2020-10,103.842
2020-11,95.093
2020-12,94.341
2021-1,96.375
2021-2,84.138
2021-3,94.985
2021-4,88.837
2021-5,84.853
2021-6,90.095
2021-7,97.783
2021-8,93.27
2021-9,99.708
2021-10,99.061
2021-11,90.117
2021-12,92.865
2022-1,84.652
2022-2,88.306
2022-3,92.78
2022-4,85.987
2022-5,92.638
2022-6,72.677
2022-7,86.606
2022-8,95.86
2022-9,90.79
2022-10,94.588
2022-11,89.777
2022-12,89.777
