Ano,Roraima - Consumo de Cimento (t)
2003-1,6.92
2003-2,7.476
2003-3,8.659
2003-4,7.259
2003-5,6.786
2003-6,5.555
2003-7,5.06
2003-8,5.241
2003-9,4.794
2003-10,5.781
2003-11,5.236
2003-12,5.516
2004-1,5.753
2004-2,5.006
2004-3,5.47
2004-4,1.513
2004-5,3.706
2004-6,2.892
2004-7,2.797
2004-8,3.32
2004-9,2.351
2004-10,2.125
2004-11,1.654
2004-12,3.188
2005-1,2.928
2005-2,2.118
2005-3,2.876
2005-4,3.091
2005-5,2.684
2005-6,1.466
2005-7,3.161
2005-8,2.107
2005-9,2.674
2005-10,2.351
2005-11,2.327
2005-12,2.396
2006-1,3.458
2006-2,3.467
2006-3,4.437
2006-4,2.394
2006-5,2.04
2006-6,2.291
2006-7,2.365
2006-8,3.013
2006-9,1.843
2006-10,3.35
2006-11,2.334
2006-12,3.251
2007-1,2.53
2007-2,2.885
2007-3,3.519
2007-4,2.635
2007-5,2.555
2007-6,3.21
2007-7,3.001
2007-8,3.026
2007-9,2.157
2007-10,3.655
2007-11,2.908
2007-12,3.85
2008-1,5.564
2008-2,4.858
2008-3,4.369
2008-4,5.565
2008-5,4.825
2008-6,3.693
2008-7,3.922
2008-8,4.293
2008-9,3.131
2008-10,4.837
2008-11,6.646
2008-12,8.306
2009-1,3.789
2009-2,4.322
2009-3,6.586
2009-4,3.765
2009-5,3.991
2009-6,3.566
2009-7,7.338
2009-8,6.946
2009-9,4.99
2009-10,6.286
2009-11,6.073
2009-12,5.412
2010-1,7.224
2010-2,7.534
2010-3,7.626
2010-4,6.218
2010-5,6.211
2010-6,6.338
2010-7,7.085
2010-8,7.315
2010-9,6.64
2010-10,6.459
2010-11,8.807
2010-12,8.951
2011-1,11.753
2011-2,10.452
2011-3,10.2
2011-4,8.94
2011-5,7.316
2011-6,6.204
2011-7,8.29
2011-8,7.87
2011-9,6.693
2011-10,6.684
2011-11,8.833
2011-12,9.774
2012-1,9.914
2012-2,9.563
2012-3,9.217
2012-4,8.291
2012-5,9.572
2012-6,7.885
2012-7,7.461
2012-8,9.928
2012-9,6.799
2012-10,6.685
2012-11,7.509
2012-12,7.242
2013-1,8.872
2013-2,9.111
2013-3,11.886
2013-4,13.366
2013-5,9.793
2013-6,8.558
2013-7,9.703
2013-8,9.367
2013-9,9.775
2013-10,9.853
2013-11,11.224
2013-12,10.406
2014-1,11.381302021323199
2014-2,10.866344337150583
2014-3,11.857128651403048
2014-4,11.104764259587244
2014-5,10.297895899570795
2014-6,9.50409451654604
2014-7,10.482720253276822
2014-8,10.81177049206763
2014-9,10.252965064246418
2014-10,10.864457661328252
2014-11,11.308665002163496
2014-12,10.83
2015-1,11.643947452584504
2015-2,11.117106129546366
2015-3,12.130754697204658
2015-4,11.361028050193104
2015-5,10.53553965109935
2015-6,9.72341977462018
2015-7,10.724629182198596
2015-8,11.061272888038422
2015-9,10.489571950344411
2015-10,11.11517591505121
2015-11,11.569634194521116
2015-12,11.083
2016-1,10.330720296277981
2016-2,9.863297167567453
2016-3,10.762624468196613
2016-4,10.079709097163807
2016-5,9.347320893456567
2016-6,8.626793484249482
2016-7,9.51508453758973
2016-8,9.813760908184465
2016-9,9.30653751985444
2016-10,9.861584646436413
2016-11,10.26478823273302
2016-12,9.135500000000008
2017-1,8.438
2017-2,6.557
2017-3,8.184
2017-4,8.092
2017-5,7.806
2017-6,10.831
2017-7,7.703
2017-8,8.956
2017-9,8.626
2017-10,6.735
2017-11,9.161
2017-12,8.634
2018-1,7.115
2018-2,2.781
2018-3,7.49
2018-4,7.043
2018-5,4.877
2018-6,7.031
2018-7,5.988
2018-8,7.275
2018-9,9.468
2018-10,7.97
2018-11,7.866
2018-12,8.108
2019-1,9.908
2019-2,10.723
2019-3,10.625
2019-4,10.593
2019-5,10.681
2019-6,7.887
2019-7,9.751
2019-8,9.654
2019-9,9.422
2019-10,11.16
2019-11,10.491
2019-12,10.225
2020-1,11.124
2020-2,12.43
2020-3,12.396
2020-4,13.369
2020-5,11.681
2020-6,5.663
2020-7,12.284
2020-8,13.513
2020-9,15.571
2020-10,15.077
2020-11,14.792
2020-12,13.671
2021-1,14.119
2021-2,12.288
2021-3,11.384
2021-4,11.663
2021-5,10.268
2021-6,12.188
2021-7,12.214
2021-8,12.023
2021-9,9.427
2021-10,14.426
2021-11,13.972
2021-12,11.017
2022-1,12.33
2022-2,12.686
2022-3,13.264
2022-4,13.376
2022-5,10.834
2022-6,9.008
2022-7,10.148
2022-8,9.133
2022-9,10.622
2022-10,10.3
2022-11,10.258
2022-12,10.258
