Ano,Santa Catarina - Consumo de Cimento (t)
2003-1,142.456
2003-2,135.829
2003-3,133.135
2003-4,144.723
2003-5,150.523
2003-6,128.735
2003-7,154.768
2003-8,142.558
2003-9,144.182
2003-10,152.08
2003-11,139.013
2003-12,119.17
2004-1,135.344
2004-2,127.693
2004-3,151.57
2004-4,137.044
2004-5,134.493
2004-6,150.25
2004-7,149.578
2004-8,164.042
2004-9,148.187
2004-10,151.102
2004-11,154.958
2004-12,135.844
2005-1,134.837
2005-2,136.495
2005-3,154.807
2005-4,146.582
2005-5,149.537
2005-6,165.664
2005-7,162.223
2005-8,165.871
2005-9,146.298
2005-10,151.753
2005-11,160.162
2005-12,150.421
2006-1,154.694
2006-2,136.733
2006-3,166.126
2006-4,137.965
2006-5,163.144
2006-6,151.967
2006-7,158.404
2006-8,171.917
2006-9,161.126
2006-10,170.225
2006-11,158.829
2006-12,139.348
2007-1,155.54
2007-2,143.95
2007-3,162.835
2007-4,151.579
2007-5,154.226
2007-6,171.583
2007-7,173.115
2007-8,197.102
2007-9,183.864
2007-10,211.654
2007-11,208.967
2007-12,167.424
2008-1,188.733
2008-2,187.477
2008-3,197.396
2008-4,216.309
2008-5,226.47
2008-6,224.222
2008-7,262.822
2008-8,248.86
2008-9,254.899
2008-10,249.48
2008-11,190.635
2008-12,206.284
2009-1,210.285
2009-2,199.963
2009-3,231.075
2009-4,223.196
2009-5,227.301
2009-6,229.39
2009-7,231.08
2009-8,229.331
2009-9,216.467
2009-10,232.457
2009-11,237.628
2009-12,201.227
2010-1,198.686
2010-2,202.264
2010-3,241.177
2010-4,215.317
2010-5,223.331
2010-6,238.782
2010-7,255.631
2010-8,257.961
2010-9,263.827
2010-10,267.393
2010-11,260.253
2010-12,228.137
2011-1,231.765
2011-2,226.547
2011-3,282.09
2011-4,243.255
2011-5,262.534
2011-6,264.38
2011-7,255.091
2011-8,251.899
2011-9,267.564
2011-10,277.126
2011-11,276.719
2011-12,248.84
2012-1,254.813
2012-2,263.264
2012-3,291.302
2012-4,246.351
2012-5,298.866
2012-6,256.136
2012-7,273.433
2012-8,308.092
2012-9,264.483
2012-10,304.17
2012-11,276.773
2012-12,230.627
2013-1,287.056
2013-2,260.528
2013-3,265.596
2013-4,310.249
2013-5,314.468
2013-6,259.332
2013-7,311.726
2013-8,290.193
2013-9,296.088
2013-10,326.218
2013-11,305.101
2013-12,239.672
2014-1,280.25687928492454
2014-2,277.53093695843603
2014-3,302.195730970673
2014-4,294.3446758830131
2014-5,305.7047046133182
2014-6,302.31555572429505
2014-7,322.380772544372
2014-8,326.56346534942315
2014-9,313.4453144526304
2014-10,326.20672940049957
2014-11,319.0289528273467
2014-12,304.25
2015-1,250.85715735500779
2015-2,248.4171739195204
2015-3,270.49456280804145
2015-4,263.4671051179641
2015-5,273.63543540846996
2015-6,270.6018176135295
2015-7,288.56213768145926
2015-8,292.30605444040395
2015-9,280.5640338622832
2015-10,291.98674107938444
2015-11,285.56193312510794
2015-12,272.333
2016-1,224.37437911526553
2016-2,222.19198267036663
2016-3,241.93868025945693
2016-4,235.65310534265882
2016-5,244.7479735920923
2016-6,242.03461226571196
2016-7,258.09887651251694
2016-8,261.4475511411569
2016-9,250.94512575870684
2016-10,261.1619474219831
2016-11,255.41540101734714
2016-12,232.03099999999995
2017-1,220.479
2017-2,211.861
2017-3,258.76
2017-4,211.393
2017-5,249.531
2017-6,231.359
2017-7,265.999
2017-8,277.169
2017-9,245.824
2017-10,244.227
2017-11,263.751
2017-12,211.136
2018-1,219.002
2018-2,234.275
2018-3,249.92
2018-4,246.326
2018-5,198.778
2018-6,285.97
2018-7,262.597
2018-8,277.811
2018-9,235.885
2018-10,272.671
2018-11,278.592
2018-12,214.658
2019-1,252.7
2019-2,246.146
2019-3,255.873
2019-4,273.299
2019-5,270.918
2019-6,256.605
2019-7,303.526
2019-8,299.284
2019-9,284.55
2019-10,307.576
2019-11,281.317
2019-12,226.233
2020-1,270.433
2020-2,263.393
2020-3,221.634
2020-4,271.258
2020-5,297.715
2020-6,292.991
2020-7,327.015
2020-8,329.107
2020-9,325.22
2020-10,355.846
2020-11,327.741
2020-12,254.679
2021-1,270.432
2021-2,303.917
2021-3,357.965
2021-4,341.342
2021-5,349.42
2021-6,335.265
2021-7,373.269
2021-8,378.781
2021-9,350.386
2021-10,346.978
2021-11,363.493
2021-12,318.085
2022-1,309.078
2022-2,333.499
2022-3,371.777
2022-4,339.517
2022-5,364.912
2022-6,339.697
2022-7,380.801
2022-8,377.545
2022-9,370.282
2022-10,340.9
2022-11,363.9
2022-12,363.9
