Ano,Sergipe - Consumo de Cimento (t)
2003-1,23.616
2003-2,21.357
2003-3,20.059
2003-4,19.92
2003-5,19.962
2003-6,16.202
2003-7,20.057
2003-8,19.484
2003-9,21.679
2003-10,20.556
2003-11,19.39
2003-12,23.029
2004-1,19.642
2004-2,17.778
2004-3,21.18
2004-4,18.824
2004-5,16.535
2004-6,16.196
2004-7,17.425
2004-8,17.576
2004-9,19.227
2004-10,17.655
2004-11,19.516
2004-12,20.509
2005-1,18.244
2005-2,18.161
2005-3,23.259
2005-4,19.137
2005-5,15.066
2005-6,17.048
2005-7,17.748
2005-8,20.65
2005-9,17.941
2005-10,16.431
2005-11,17.995
2005-12,20.117
2006-1,18.774
2006-2,19.74
2006-3,24.599
2006-4,20.716
2006-5,22.626
2006-6,18.272
2006-7,17.882
2006-8,24.696
2006-9,24.177
2006-10,25.541
2006-11,26.724
2006-12,26.478
2007-1,29.457
2007-2,22.985
2007-3,26.894
2007-4,23.109
2007-5,23.938
2007-6,22.669
2007-7,24.124
2007-8,26.244
2007-9,25.683
2007-10,31.575
2007-11,32.122
2007-12,30.606
2008-1,33.134
2008-2,29.53
2008-3,29.167
2008-4,31.974
2008-5,29.086
2008-6,29.332
2008-7,32.64
2008-8,32.745
2008-9,35.907
2008-10,36.448
2008-11,34.966
2008-12,36.485
2009-1,33.959
2009-2,31.184
2009-3,34.535
2009-4,32.504
2009-5,26.627
2009-6,29.991
2009-7,34.055
2009-8,30.592
2009-9,34.86
2009-10,38.581
2009-11,38.62
2009-12,39.279
2010-1,37.426
2010-2,35.885
2010-3,44.363
2010-4,34.346
2010-5,38.924
2010-6,33.763
2010-7,38.812
2010-8,40.815
2010-9,41.58
2010-10,45.091
2010-11,43.149
2010-12,46.128
2011-1,45.646
2011-2,43.796
2011-3,46.183
2011-4,43.55
2011-5,45.0
2011-6,43.706
2011-7,46.368
2011-8,53.442
2011-9,51.711
2011-10,52.252
2011-11,49.106
2011-12,58.722
2012-1,54.43
2012-2,54.859
2012-3,60.825
2012-4,59.199
2012-5,59.829
2012-6,55.237
2012-7,49.947
2012-8,48.731
2012-9,49.443
2012-10,53.912
2012-11,51.322
2012-12,48.35
2013-1,53.319
2013-2,45.52
2013-3,51.545
2013-4,51.682
2013-5,42.753
2013-6,41.322
2013-7,47.796
2013-8,50.951
2013-9,51.242
2013-10,53.111
2013-11,52.726
2013-12,48.372
2014-1,56.34014401869435
2014-2,52.222243855056085
2014-3,56.74137271638631
2014-4,52.895401155588914
2014-5,50.59480114860272
2014-6,49.01277645866007
2014-7,50.683826255925965
2014-8,53.59311460858926
2014-9,54.87177302557039
2014-10,58.56649607205457
2014-11,55.80092278279998
2014-12,53.916
2015-1,56.07890687486733
2015-2,51.980100529607604
2015-3,56.478275161287144
2015-4,52.65013654435744
2015-5,50.360203925347996
2015-6,48.78551474401404
2015-7,50.44881624237453
2015-8,53.344614849971386
2015-9,54.617344402577025
2015-10,58.2949358120605
2015-11,55.54218589199874
2015-12,53.666
2016-1,47.458081128575614
2016-2,43.98937078980767
2016-3,47.79605584301474
2016-4,44.556404373718635
2016-5,42.61849555794201
2016-6,41.28587816069511
2016-7,42.6934857951772
2016-8,45.14412281558137
2016-9,46.22119984379577
2016-10,49.33344723225617
2016-11,47.003868495557946
2016-12,44.845
2017-1,44.274
2017-2,37.579
2017-3,48.016
2017-4,38.263
2017-5,40.413
2017-6,34.053
2017-7,36.174
2017-8,38.394
2017-9,35.688
2017-10,42.076
2017-11,39.875
2017-12,38.984
2018-1,41.652
2018-2,33.904
2018-3,29.447
2018-4,29.197
2018-5,26.297
2018-6,29.209
2018-7,28.158
2018-8,31.132
2018-9,30.195
2018-10,31.537
2018-11,30.748
2018-12,30.734
2019-1,36.567
2019-2,30.849
2019-3,31.021
2019-4,31.437
2019-5,31.533
2019-6,26.431
2019-7,25.978
2019-8,29.86
2019-9,39.045
2019-10,45.213
2019-11,42.237
2019-12,39.732
2020-1,44.112
2020-2,38.228
2020-3,39.14
2020-4,37.035
2020-5,38.26
2020-6,48.294
2020-7,44.491
2020-8,44.612
2020-9,47.883
2020-10,61.314
2020-11,41.19
2020-12,41.837
2021-1,42.517
2021-2,44.162
2021-3,53.871
2021-4,44.494
2021-5,37.865
2021-6,37.706
2021-7,38.178
2021-8,42.899
2021-9,45.714
2021-10,49.01
2021-11,42.946
2021-12,32.132
2022-1,41.773
2022-2,42.486
2022-3,46.252
2022-4,41.841
2022-5,30.754
2022-6,24.197
2022-7,26.864
2022-8,34.037
2022-9,32.537
2022-10,35.215
2022-11,34.707
2022-12,34.707
