,Amazonas - Produção de Cimento (t)
2003-1,51.31308
2003-2,51.55419538461539
2003-3,51.5233064957265
2003-4,51.63962792429793
2003-5,51.83845551050483
2003-6,51.88248884383816
2003-7,52.34184368254784
2003-8,52.32221868254783
2003-9,52.23615807648723
2003-10,52.193893370604876
2003-11,52.1094647991763
2003-12,52.27277035473186
2004-1,52.14577035473186
2004-2,52.20479667052133
2004-3,52.619514619239276
2004-4,52.80761461923928
2004-5,52.761199985092944
2004-6,52.68165236604531
2004-7,52.821070970696475
2004-8,52.95507097069648
2004-9,52.67787097069648
2004-10,52.582870970696476
2004-11,52.61240288559009
2004-12,52.61242371892343
2005-1,52.45875024953568
2005-2,52.46155984646497
2005-3,52.71738361099252
2005-4,52.94356885824285
2005-5,52.88120030587437
2005-6,52.97025632210641
2005-7,53.244659740030244
2005-8,53.37416619018295
2005-9,53.552634506665306
2005-10,53.60639933177098
2005-11,53.71508312689681
2005-12,53.91299370501356
2006-1,53.930569691753995
2006-2,54.03313702516262
2006-3,54.26093988954305
2006-4,54.28456081342681
2006-5,54.666192368410215
2006-6,55.07511058031466
2006-7,55.59711993162627
2006-8,55.82316174715545
2006-9,56.06179625279747
2006-10,56.45357023814648
2006-11,57.02621716197198
2006-12,57.37615214720427
2007-1,57.39796293145489
2007-2,57.35300808822876
2007-3,57.53967029724435
2007-4,57.340614923494385
2007-5,57.69310565951992
2007-6,57.7766139320433
2007-7,57.79280490367467
2007-8,57.801440519259245
2007-9,57.495609383117944
2007-10,57.69385376835168
2007-11,57.91547528746556
2007-12,58.004646556048606
2008-1,58.06308845096768
2008-2,58.06189495625777
2008-3,58.23774715893317
2008-4,58.16817179708399
2008-5,58.19624549062801
2008-6,58.05471596251
2008-7,57.889054847860926
2008-8,57.683237193090214
2008-9,57.50364689606847
2008-10,57.52497037858421
2008-11,57.73754997328701
2008-12,57.80886288780366
2009-1,57.96995902536691
2009-2,58.3067956803447
2009-3,58.71526073324503
2009-4,58.857742170714424
2009-5,59.24274476759647
2009-6,59.17151291265925
2009-7,59.69600064695755
2009-8,60.00700464171841
2009-9,60.21097533809514
2009-10,60.84567668411508
2009-11,60.923856743620455
2009-12,61.27898697741952
2010-1,61.52560616969241
2010-2,61.746208572115364
2010-3,62.15160272754103
2010-4,61.93178345343098
2010-5,62.38287756886664
2010-6,62.45193128474906
2010-7,62.84730302601924
2010-8,63.16010400924697
2010-9,63.44263190345425
2010-10,63.72432547503355
2010-11,63.79196537496108
2010-12,63.96927997499525
2011-1,63.83024767065222
2011-2,63.48153927565805
2011-3,63.73781975719504
2011-4,63.975769941357306
2011-5,64.02472969177857
2011-6,63.810668159619034
2011-7,64.01585500139373
2011-8,64.24432141679037
2011-9,64.16328706526123
2011-10,64.20008934540748
2011-11,64.28005695073998
2011-12,64.29167328149752
2012-1,63.92958524688687
2012-2,63.674931758666354
2012-3,63.425994914076995
2012-4,63.12312011905004
2012-5,63.290680342546636
2012-6,62.85793112801533
2012-7,62.72841800528314
2012-8,62.253649506317686
2012-9,61.891305536870156
2012-10,61.48668604833928
2012-11,61.10155754691987
2012-12,60.8008495154438
2013-1,60.18602615329552
2013-2,59.84562279871391
2013-3,59.70725365778501
2013-4,59.09371557412359
2013-5,58.48984857537537
2013-6,58.15444167212517
2013-7,58.00479040270108
2013-8,57.504925527509116
2013-9,56.67591861431679
2013-10,56.28571575963278
2013-11,55.75901017624964
2013-12,55.01874741408801
2014-1,54.436229393470335
2014-2,54.05783262678252
2014-3,53.716856842749905
2014-4,53.37400271301438
2014-5,53.03033267848887
2014-6,52.67622937339148
2014-7,52.32373108685396
2014-8,51.966682082687775
2014-9,51.61203551719096
2014-10,51.25754604157067
2014-11,50.904079627438364
2014-12,50.55125937835274
2015-1,50.19737561462202
2015-2,49.79442181354122
2015-3,49.505918586438575
2015-4,49.17362953250439
2015-5,48.9019298173693
2015-6,48.72430756866363
2015-7,48.55032640620232
2015-8,48.39641256370818
2015-9,48.190877896808445
2015-10,48.095406511903036
2015-11,48.06551390334878
2015-12,48.0313037753304
2016-1,47.36698510048695
2016-2,46.55090781170887
2016-3,45.870523340264214
2016-4,45.22340866237092
2016-5,44.617689250258664
2016-6,44.04312451557175
2016-7,43.46984890622849
2016-8,42.95052944481631
2016-9,42.47501321022418
2016-10,41.978410422618445
2016-11,41.55561406887889
2016-12,41.02117074844182
2017-1,40.48166631576142
2017-2,39.90203959537651
2017-3,39.39092975418947
2017-4,38.815827941286436
2017-5,38.28301566391464
2017-6,37.671445987313525
2017-7,37.032244730551284
2017-8,36.4871614310482
2017-9,35.825482836504115
2017-10,35.24163803935505
2017-11,34.63090807052754
2017-12,33.903079380061804
2018-1,33.593748269954276
2018-2,33.918988334637284
2018-3,34.37309201877868
2018-4,34.60094035915653
2018-5,34.91854304684603
2018-6,35.676968634531484
2018-7,35.96372055532658
2018-8,36.305860793063275
2018-9,36.66650020833362
2018-10,36.980999942988916
2018-11,37.31846095360872
2018-12,37.4443966043175
2019-1,37.49625835647822
2019-2,37.58082145934999
2019-3,37.69483741575761
2019-4,37.88738655170798
2019-5,38.19788774783903
2019-6,38.648885137306884
2019-7,39.17107777302103
2019-8,39.455543753479596
2019-9,39.1804903314884
2019-10,39.69477619873298
2019-11,39.86600350810804
2019-12,40.01914831295662
2020-1,40.22074155648509
2020-2,40.0954557051898
2020-3,40.01185299846638
2020-4,39.95109301846
2020-5,39.93299409313967
2020-6,39.88326860428851
2020-7,39.348050236324376
2020-8,39.37119982165086
2020-9,39.356227148764894
2020-10,39.17667055571247
2020-11,38.93439852740071
2020-12,38.698295212580135
2021-1,38.65940341718103
2021-2,38.8291597677743
2021-3,38.99377929116993
2021-4,39.195395317093976
2021-5,39.31983631896853
2021-6,39.27164526990103
2021-7,39.064583493769966
2021-8,38.79958566973384
2021-9,38.75100135938354
2021-10,39.30655295905735
2021-11,39.00577216219898
2021-12,39.129948941017624
2022-1,39.20496976238092
2022-2,39.310061132903115
2022-3,39.319874855274186
2022-4,39.29168990715546
2022-5,39.28801136952579
2022-6,39.382592938748765
2022-7,39.3551235145224
2022-8,39.352061334961036
2022-9,39.16063000811358
2022-10,38.937186780982536
2022-11,38.889598435069175
2022-12,38.992030368778686
