,Bahia - Produção de Cimento (t)
2003-1,39.79888
2003-2,39.48003384615384
2003-3,39.400256068376066
2003-4,39.41718463980464
2003-5,39.479943260494295
2003-6,39.67724326049429
2003-7,40.292146486300744
2003-8,40.836521486300754
2003-9,40.90318815296742
2003-10,41.344776388261536
2003-11,41.338947816832956
2003-12,41.93111448349963
2004-1,41.96803340241855
2004-2,42.20827024452381
2004-3,42.72534716760074
2004-4,43.05124716760073
2004-5,43.265295948088536
2004-6,43.57129594808854
2004-7,43.58329594808854
2004-8,43.821227766270354
2004-9,44.25958332182591
2004-10,44.47014853921721
2004-11,44.6152336456002
2004-12,44.91719197893352
2005-1,45.214273611586584
2005-2,45.380322460802645
2005-3,45.87781814681588
2005-4,46.280156148416694
2005-5,46.965992301653685
2005-6,47.44721779228958
2005-7,47.84136012967316
2005-8,48.18036448974198
2005-9,48.39966740817956
2005-10,48.88586086236756
2005-11,49.22141360673707
2005-12,49.787157806531035
2006-1,49.98497501720515
2006-2,50.39083096852732
2006-3,50.80857710575189
2006-4,51.20888792081618
2006-5,51.69626834435119
2006-6,52.2101045157035
2006-7,52.77583530279768
2006-8,53.60766263656726
2006-9,54.26634498085904
2006-10,55.01746256573725
2006-11,55.68685672954379
2006-12,56.20327760880794
2007-1,56.98289160125436
2007-2,57.50067972349247
2007-3,58.248442116608594
2007-4,58.710046687420686
2007-5,59.38039139229832
2007-6,59.73068525129108
2007-7,60.77075601576049
2007-8,61.857111033843914
2007-9,62.96147320821332
2007-10,64.18436720413239
2007-11,65.34058161927044
2007-12,66.23852382360786
2008-1,67.29634761987474
2008-2,68.04027359135779
2008-3,69.24469078774209
2008-4,70.29414208737454
2008-5,71.36420849893695
2008-6,72.32502360413258
2008-7,73.42626685083522
2008-8,74.55713280079516
2008-9,75.53810157965695
2008-10,76.79305579595896
2008-11,77.44714953535123
2008-12,78.54056367424526
2009-1,79.87658992047868
2009-2,80.83507355964653
2009-3,82.07438771956802
2009-4,83.19950905840395
2009-5,84.52443686189339
2009-6,85.62302962657903
2009-7,87.02828155260532
2009-8,87.72333309417355
2009-9,88.60858252397621
2009-10,89.40191128552239
