,Distrito Federal - Produção de Cimento (t)
2003-1,156.62572
2003-2,157.6785276923077
2003-3,159.19026843304843
2003-4,160.68837557590558
2003-5,162.8474100586642
2003-6,165.2384100586642
2003-7,167.8232487683416
2003-8,171.25434251834162
2003-9,174.18155463955372
2003-10,176.26190758073022
2003-11,177.08590758073024
2003-12,177.63507424739691
2004-1,178.13883100415364
2004-2,178.72001521467996
2004-3,180.77763059929535
2004-4,181.67425559929535
2004-5,183.55106047734412
2004-6,184.15767952496319
2004-7,185.01979580403292
2004-8,185.49443216766932
2004-9,186.48703216766933
2004-10,187.60933651549544
2004-11,187.97831523889965
2004-12,187.92362773889963
2005-1,188.14915835114454
2005-2,188.66714688892296
2005-3,190.54628197456825
2005-4,192.45701694480329
2005-5,194.78339738090327
2005-6,197.24868283645918
2005-7,198.97711697478152
2005-8,200.6712367340966
2005-9,201.26907130992836
2005-10,202.4979594052421
2005-11,204.07565434043622
2005-12,204.7381593763486
2006-1,206.95563050142923
2006-2,208.54770804218995
2006-3,209.73380381417996
2006-4,211.07901143081025
2006-5,212.33043501920852
2006-6,212.59829980577717
2006-7,213.53474103599788
2006-8,214.8377399182829
2006-9,215.41535844380562
2006-10,216.0687120412778
2006-11,215.54492378670193
2006-12,215.61556885910605
2007-1,216.18146561666123
2007-2,216.1399004588147
2007-3,217.64452808269004
2007-4,217.1397575951007
2007-5,217.11238495531083
2007-6,216.53667041601304
2007-7,216.7522824074325
2007-8,217.23546945707844
2007-9,217.83741298203722
2007-10,218.24827709779458
2007-11,218.39693664254054
2007-12,218.43235056707329
2008-1,218.86102793831256
2008-2,218.50928094722852
2008-3,219.18000692488238
2008-4,220.24003147816205
2008-5,221.01478698933246
2008-6,222.3143247846411
2008-7,224.49301917196487
2008-8,225.83541260331114
2008-9,226.7483651070872
2008-10,228.27497748797052
2008-11,229.45273800729075
2008-12,230.99977503220072
2009-1,232.4320241377741
2009-2,233.77893349534787
2009-3,236.08264845527705
2009-4,237.43950805471763
2009-5,241.1280131661384
2009-6,244.31027088472672
2009-7,247.5412219147005
2009-8,249.41081251688965
2009-9,250.8334521711715
2009-10,252.5087999097252
2009-11,254.20140241609116
2009-12,255.69047314616364
2010-1,256.34421034165524
2010-2,257.74943855396833
2010-3,260.1968091173713
2010-4,262.28145814170773
2010-5,264.94746684912707
2010-6,267.40580725442896
2010-7,270.0218987334042
2010-8,272.73863096935196
2010-9,275.5535333849854
2010-10,278.71045518657525
2010-11,279.9641792212406
2010-12,281.54618822560695
2011-1,281.84766604588054
2011-2,283.84151588073985
2011-3,286.4090583784009
2011-4,289.01114837683207
2011-5,291.6841002201404
2011-6,293.13787750695684
2011-7,295.071787846186
2011-8,297.3248810284613
2011-9,300.2281681409423
2011-10,303.0392643852233
2011-11,305.11378406839674
2011-12,306.1570571633418
2012-1,308.0749466330801
2012-2,311.2036147206602
2012-3,314.19817691648194
2012-4,315.91493427681365
2012-5,317.55002795887117
2012-6,318.64743707772897
2012-7,319.3419164035689
2012-8,319.5926969391116
2012-9,319.04428195890256
2012-10,318.7914191018105
2012-11,317.95736413798153
2012-12,318.777076366603
2013-1,319.21283093507816
2013-2,321.4025375071609
2013-3,322.1058405724232
2013-4,322.22953408658685
2013-5,321.9053087220629
2013-6,321.19235262735
2013-7,320.3854503703318
2013-8,318.7518452323406
2013-9,316.54588648431474
2013-10,313.95809356420864
2013-11,311.4945349760247
2013-12,309.2521456359471
2014-1,308.1645258671665
2014-2,306.492984918591
2014-3,304.40928401884025
2014-4,302.22194509673096
2014-5,299.95493074028616
2014-6,297.60828152591273
2014-7,295.1913454067794
