,Espírito Santo - Produção de Cimento (t)
2003-1,98.17124
2003-2,97.89731692307691
2003-3,98.07053914529915
2003-4,98.46078914529915
2003-5,99.08413397288537
2003-6,99.37773397288538
2003-7,100.35947590836925
2003-8,100.78494465836923
2003-9,100.92609617352073
2003-10,101.38783146763839
2003-11,101.41434575335268
2003-12,101.58581797557488
2004-1,101.96730446206136
2004-2,102.09069919890348
2004-3,102.54103253223681
2004-4,102.02955753223682
2004-5,102.6291916785783
2004-6,102.86392977381641
2004-7,103.31848791335129
2004-8,103.78030609516946
2004-9,104.26430609516947
2004-10,104.81880609516948
2004-11,105.08582737176522
2004-12,105.69553570509852
2005-1,106.50335203162915
2005-2,107.20857880778486
2005-3,109.2520739482891
2005-4,110.25490118916642
2005-5,111.42390347577596
2005-6,112.53838856767167
2005-7,113.5749121308306
2005-8,114.83553327822776
2005-9,116.05627998475549
2005-10,118.08150822580109
2005-11,119.73497101678402
2005-12,121.44653479767038
2006-1,122.78067187567231
2006-2,124.04110794533784
2006-3,126.089361185061
2006-4,127.90222503511863
2006-5,130.4372386576264
2006-6,132.68232124903557
2006-7,135.39820678934615
2006-8,138.47889492967258
2006-9,141.3592334773155
2006-10,144.14215036266543
2006-11,147.2080961640429
2006-12,149.37730573123224
2007-1,151.22048471135741
2007-2,152.32026292931104
2007-3,154.20086872770955
2007-4,154.62937474361607
2007-5,156.07469053044156
2007-6,157.24182904176126
2007-7,158.95396048000802
2007-8,160.74761452795042
2007-9,162.06984067590392
2007-10,163.42803579204983
2007-11,164.2045975791161
2007-12,165.09026342732696
2008-1,166.14633952180975
2008-2,167.2779653921391
2008-3,169.21443187064526
2008-4,170.16029045606533
2008-5,171.6652305666969
2008-6,172.41337325871876
2008-7,173.49443554463065
2008-8,174.44354225392215
2008-9,174.8846575054375
2008-10,175.34840085295016
2008-11,175.36507943438457
2008-12,175.2275076643915
2009-1,176.09004239772128
2009-2,177.1699517382593
2009-3,178.6128025302787
2009-4,179.59612770992294
2009-5,181.3034491990313
2009-6,182.4642197841045
2009-7,184.17484000333604
2009-8,185.56475591197537
2009-9,186.80161594022076
2009-10,188.35263176194152
2009-11,189.55935821030664
2009-12,190.4379451619636
2010-1,191.53548968716024
2010-2,192.60502336400418
2010-3,194.8062082205728
2010-4,195.97508120730603
2010-5,197.21681163080075
2010-6,198.2324561423131
2010-7,199.69902926238643
2010-8,200.27467403213655
2010-9,200.89194202761036
2010-10,201.24694783418528
2010-11,201.34234675216965
2010-12,202.26135220763464
2011-1,202.7358184228029
2011-2,203.4437526273964
2011-3,204.78595264554204
2011-4,205.97207815809844
2011-5,207.0561383713265
2011-6,208.43272386463866
2011-7,209.66969333566996
2011-8,210.61860870979925
2011-9,210.9694016240406
2011-10,211.73698908697565
2011-11,211.33646576707838
2011-12,211.03110061517577
2012-1,211.36759358360865
2012-2,211.7153303978219
2012-3,211.9617862265004
2012-4,211.20484000504706
2012-5,210.7909388726394
2012-6,210.64953563850784
2012-7,210.26482589061675
2012-8,209.55529462646987
2012-9,209.25673994472155
2012-10,208.64027109754895
2012-11,208.042221718084
2012-12,207.77783724216974
2013-1,207.1799555956442
2013-2,206.84492457584798
2013-3,206.32013974680763
2013-4,205.11015172846615
2013-5,204.01479462931908
2013-6,202.78706224974462
2013-7,200.861732129324
2013-8,199.06896790645402
2013-9,196.99765978510294
2013-10,195.25112569509542
2013-11,193.1586713401591
2013-12,191.93752509821033
2014-1,190.88136349873872
2014-2,189.42922994015538
2014-3,187.87799756929923
2014-4,186.2900776841668
2014-5,184.68519915283687
2014-6,183.0560149603045
2014-7,181.39646789107002
2014-8,179.71090373364487
2014-9,178.00542053758136
2014-10,176.27122451469512
2014-11,174.5142177331209
2014-12,172.73355875966683
2015-1,170.9219554087119
2015-2,168.89658164396403
2015-3,167.3904043829635
2015-4,165.61850424434277
2015-5,163.91121756099332
2015-6,162.21909499691668
2015-7,160.6877802133313
2015-8,159.2074855678154
2015-9,157.51671012650206
2015-10,155.9244551772012
2015-11,154.36432779053862
2015-12,152.72081873850556
2016-1,150.11011802562527
2016-2,147.44963021713608
2016-3,144.89762439188496
2016-4,142.21652056610682
2016-5,139.48137158702104
2016-6,137.14344099529885
2016-7,134.7015354041763
2016-8,132.25839742339423
2016-9,129.76887980190222
2016-10,127.3068302825152
2016-11,124.91104847602755
2016-12,122.39484210634927
2017-1,120.02727704345357
2017-2,117.53877340334626
2017-3,115.3086752759867
2017-4,112.50882366155861
2017-5,110.10062609864464
2017-6,107.59575688512733
2017-7,105.17354590325407
2017-8,102.6259901010076
