,Paraná - Produção de Cimento (t)
2003-1,332.70556
2003-2,332.9459446153846
2003-3,335.2221298005698
2003-4,334.78573694342697
2003-5,335.050185219289
2003-6,334.53578521928904
2003-7,336.2189787676761
2003-8,336.48644751767614
2003-9,335.8748717601003
2003-10,335.0058423483356
2003-11,334.8449280626213
2003-12,335.205844729288
2004-1,335.64152040496367
2004-2,334.80896777338467
2004-3,335.5784293118463
2004-4,334.4116793118463
2004-5,334.9486061411146
2004-6,334.61993947444796
2004-7,334.95773017212235
2004-8,334.1510710812133
2004-9,333.03544885899106
2004-10,332.64303581551286
2004-11,332.63373794317243
2004-12,332.6016754431723
2005-1,332.76400197378456
2005-2,332.2932762997802
2005-3,333.57395653823727
2005-4,332.62566728798555
2005-5,332.61564545828264
2005-6,333.27538954479274
2005-7,334.49611616368054
2005-8,335.1872006003337
2005-9,336.72262413263286
2005-10,339.2451292830927
2005-11,342.00221677155713
2005-12,343.96740633704565
2006-1,345.22362188006105
2006-2,347.28156272649164
2006-3,350.4890646643102
2006-4,352.34699599803395
2006-5,355.5318391957112
2006-6,358.0544970131519
2006-7,361.9244675751663
2006-8,365.3958907874733
2006-9,368.70380547535615
2006-10,372.5924045899759
2006-11,375.0117182384343
2006-12,378.0436770199703
2007-1,379.84759541949677
2007-2,381.6881789592052
2007-3,385.66836064613216
2007-4,388.26698113813006
2007-5,392.2598242779289
2007-6,395.3752769069013
2007-7,398.290601138781
2007-8,401.0338967505178
2007-9,403.66793136582766
2007-10,405.5043866154847
2007-11,407.5697592141049
2007-12,409.8984029374222
2008-1,410.8066477660014
2008-2,411.7039136004083
2008-3,414.330798312121
2008-4,416.2249561416681
2008-5,418.88997573643604
2008-6,420.5643458699204
2008-7,422.80579176495644
2008-8,424.48845144229904
2008-9,426.3102996189281
2008-10,428.77847296879696
2008-11,430.63694375203823
2008-12,432.8366626400709
2009-1,434.1106419384404
2009-2,436.3385612551535
2009-3,439.72740579180555
2009-4,441.648651611105
2009-5,443.62084896769636
2009-6,444.79838008381404
2009-7,447.08040259762856
