,Pará - Produção de Cimento (t)
2003-1,49.618559999999995
2003-2,49.658098461538465
2003-3,49.90687623931625
2003-4,49.86430481074482
2003-5,50.179753086606894
2003-6,50.82941975327356
2003-7,51.708839108112265
2003-8,52.14724535811226
2003-9,52.75324535811226
2003-10,53.321039475759314
2003-11,53.8321537614736
2003-12,54.25623709480694
2004-1,54.615345202915044
2004-2,55.219003097651886
2004-3,55.083362072010864
2004-4,55.52303707201086
2004-5,55.759159023230374
2004-6,56.07830188037323
2004-7,56.4097669966523
2004-8,56.66890336028867
2004-9,57.117614471399776
2004-10,57.80174490618238
2004-11,58.61476618277813
2004-12,59.27097451611146
2005-1,59.39205614876452
2005-2,59.754086682412776
2005-3,60.31402521753267
2005-4,60.79629356402687
2005-5,61.42464027327753
2005-6,61.89627062402591
2005-7,62.31445125404125
2005-8,62.80932088967247
2005-9,63.40185304337778
2005-10,63.87064095532198
2005-11,64.99820425082326
2005-12,66.07712364856508
2006-1,67.08367235374382
2006-2,67.7353524996791
2006-3,68.3347269772715
2006-4,69.34134666921558
2006-5,70.34680196711773
2006-6,71.55226406801339
2006-7,72.97103880653665
2006-8,74.33673823122817
2006-9,75.81983690206367
2006-10,77.43012715575068
2006-11,78.93337985472147
2006-12,80.24329033782234
2007-1,81.06531719132666
2007-2,81.70497557995037
2007-3,82.4158508635736
2007-4,82.97703097879892
2007-5,83.67973990563101
2007-6,84.56868071445454
2007-7,85.90668908364697
2007-8,87.1261021005777
2007-9,88.37601600284106
2007-10,89.80183565507502
2007-11,91.09975799588629
2007-12,91.87905501109167
2008-1,92.5621148348167
2008-2,93.0493483548386
2008-3,94.22516459678063
2008-4,94.84086740534204
2008-5,95.89116374689564
2008-6,97.25437521178905
2008-7,98.59847952084571
2008-8,99.6598762701173
2008-9,100.68832806682936
2008-10,101.57403196815109
2008-11,101.89266267860826
2008-12,102.45734191991204
2009-1,102.8888531766894
2009-2,103.86525187026824
2009-3,104.85711465170328
2009-4,105.88695676982837
2009-5,107.46168994923717
2009-6,108.71258688890259
2009-7,110.2704625251158
2009-8,111.47168239126822
2009-9,112.379204438017
2009-10,113.19459603873487
2009-11,114.03677482207489
2009-12,115.02748945118076
2010-1,116.01635546016217
2010-2,116.82725833006718
2010-3,117.89831771731677
2010-4,118.5569943116134
2010-5,119.82316016684345
2010-6,120.5494866243934
2010-7,121.1317337960792
2010-8,121.76435123026764
2010-9,121.9645037804748
2010-10,122.4825889991206
2010-11,122.87425342832407
2010-12,123.69246956607338
