,Rio De Janeiro - Produção de Cimento (t)
2003-1,199.08128
2003-2,198.56177999999997
2003-3,198.77333555555555
2003-4,198.75379984126985
2003-5,198.72145501368365
2003-6,197.4416216803503
2003-7,197.4670087771245
2003-8,197.9658212771245
2003-9,197.29954854985178
2003-10,197.73593090279294
2003-11,197.93261661707868
2003-12,197.81553328374534
2004-1,197.53064139185344
2004-2,197.05785191816923
2004-3,198.5961083284256
2004-4,198.86998332842563
2004-5,199.44739796257196
2004-6,199.58594558161954
2004-7,199.9405269769684
2004-8,200.8917769769684
2004-9,201.14193253252395
2004-10,201.67841079339357
2004-11,202.35941079339358
2004-12,203.32461912672684
2005-1,203.4835579022371
2005-2,203.696155410446
2005-3,205.48953041882245
2005-4,205.59096296705243
2005-5,206.68872139819084
2005-6,207.979624793793
2005-7,209.737033020598
2005-8,212.30929882148519
2005-9,212.84020652647212
2005-10,214.28528117905623
2005-11,214.49730873571463
2005-12,215.23540449323784
2006-1,215.78234064037034
2006-2,216.33459980870742
2006-3,217.91245180647348
2006-4,218.1754996325561
2006-5,219.83999996529346
2006-6,221.1594816388184
2006-7,223.0690435991694
2006-8,225.13827863227553
2006-9,227.0310235640165
2006-10,229.3844131769041
2006-11,230.9341071030982
2006-12,231.67020294615338
2007-1,231.99333730981513
2007-2,232.6793123997657
2007-3,234.55578499138448
2007-4,234.42758610511024
2007-5,236.46610902629507
2007-6,237.638137345236
2007-7,239.00398454016343
2007-8,240.1293713058688
2007-9,240.5228217647338
2007-10,242.23058942265752
2007-11,243.43904469293508
2007-12,245.46856991655181
2008-1,245.96379778233376
2008-2,246.467766295435
2008-3,247.8306880604703
2008-4,248.22883573912327
2008-5,250.10443443517568
2008-6,250.53419840394878
2008-7,252.0558865011964
2008-8,253.30565880531938
2008-9,253.77658493129982
2008-10,253.95435148981585
2008-11,253.7155134962018
2008-12,254.07519525932634
2009-1,254.62148081673806
2009-2,255.20983068422626
2009-3,256.01557595533774
2009-4,256.4664696484796
2009-5,257.9440795167116
2009-6,258.44281360835276
2009-7,259.97443965453886
2009-8,261.0379183303424
2009-9,261.59946010635207
2009-10,262.2768200725075
2009-11,262.5448451878106
2009-12,262.4438615244407
2010-1,262.0098062511323
2010-2,262.5268472402915
2010-3,264.27699174937015
2010-4,264.8412224368987
2010-5,265.9482303286901
2010-6,265.63436902039444
2010-7,266.47808678807706
2010-8,266.44041740617666
2010-9,266.1967390102758
2010-10,265.90200746086714
2010-11,265.7705106439498
2010-12,265.80116364696505
2011-1,265.59387728752915
2011-2,265.63823231754526
2011-3,266.44575071822527
2011-4,267.51883591746787
2011-5,268.2079046168349
2011-6,268.02277859847015
2011-7,268.5811452309215
2011-8,268.68473105901097
2011-9,268.0741354004124
2011-10,268.2977410186585
2011-11,267.8636781808248
2011-12,266.7096135480292
2012-1,266.68675134442896
2012-2,267.44146450959823
2012-3,268.12087185911764
2012-4,267.79727116164895
2012-5,268.0728033513669
2012-6,267.80700629935154
2012-7,267.6293808210795
2012-8,266.7563471716073
2012-9,265.917966146412
2012-10,265.03710839117275
2012-11,264.24774485330727
2012-12,263.65506450189474
2013-1,262.9825476097213
2013-2,262.51758403029083
2013-3,262.33241686407865
2013-4,261.4302018874634
2013-5,260.00057961862956
2013-6,258.36656249038623
2013-7,257.30124845902594
2013-8,255.34380508467243
2013-9,252.78532729510866
2013-10,250.84057319383425
2013-11,248.3954105851643
2013-12,246.3616202843783
2014-1,245.4065364568402
2014-2,243.82092449120427
2014-3,241.56251696896297
2014-4,239.2441540411756
2014-5,236.88508168011637
2014-6,234.47224187924533
2014-7,232.01558487941813
2014-8,229.5124170322122
2014-9,226.97598114015457
2014-10,224.40489106714057
2014-11,221.79930645702913
2014-12,219.15665611074942
2015-1,216.47216964212546
2015-2,213.745084960571
2015-3,211.11546019821523
2015-4,208.56263542660867
2015-5,205.86032182536675
2015-6,203.3834565059707
2015-7,200.97236279783397
2015-8,199.2920625073723
2015-9,197.85441120113
2015-10,196.0061371117485
2015-11,194.40904949491295
2015-12,192.86622171756088
2016-1,191.12852903543924
2016-2,188.9505924408334
2016-3,187.47396875467422
2016-4,185.73245610890157
2016-5,183.58246402282018
2016-6,183.97295637383743
2016-7,184.0802240165842
2016-8,184.57193210393166
2016-9,184.87793678469558
2016-10,185.48386182700395
2016-11,185.65061691539768
2016-12,186.0900862250437
2017-1,186.7918775101751
2017-2,187.38685114013524
2017-3,188.51121371522842
2017-4,189.54145358292254
2017-5,191.91310293305142
2017-6,194.80595560871848
2017-7,197.65049640673374
2017-8,200.66135627630308
2017-9,201.7586275777099
2017-10,203.0044279119258
2017-11,204.56304609152124
2017-12,205.24784194043158
2018-1,206.2485076592657
2018-2,206.96895620260912
2018-3,208.71153505489022
2018-4,209.54840375489462
2018-5,211.32383125787408
2018-6,214.32755303818132
2018-7,214.9484631741883
2018-8,215.6093660141394
2018-9,216.06176262455182
2018-10,217.18345294781426
2018-11,217.7264241951777
2018-12,218.19954271109154
2019-1,219.26426631284764
2019-2,219.64070281902468
2019-3,220.76102632267543
2019-4,221.5376551513989
2019-5,222.19710824463306
2019-6,222.42690427140005
2019-7,223.0281277134956
2019-8,223.27320182179685
2019-9,223.01821907782735
2019-10,223.33378216966645
2019-11,223.46238123615097
2019-12,223.35500032073526
2020-1,224.01504436931285
2020-2,224.32297368992607
2020-3,225.93983118966725
2020-4,226.8961433556831
2020-5,228.67262783733187
2020-6,228.7160930736473
2020-7,229.17151225804457
2020-8,229.37639081077634
2020-9,229.95888111274851
2020-10,230.64857740842598
2020-11,230.4585187239487
2020-12,230.67188800004604
2021-1,231.6500386935669
2021-2,231.90065169514747
2021-3,232.76375170756637
2021-4,233.113562309621
2021-5,233.4190275247992
2021-6,233.9699565202635
2021-7,233.47069482429038
2021-8,232.13555487148756
2021-9,231.046827569517
2021-10,230.34906951980435
2021-11,230.52147364796073
2021-12,230.5788943522789
2022-1,231.27247180738505
2022-2,231.97369750011242
2022-3,232.88462165629767
2022-4,232.78208869032582
2022-5,232.93149600360604
2022-6,232.2656367832796
2022-7,233.49010946637665
2022-8,232.9175131448149
2022-9,232.65800012620252
2022-10,232.3391156498935
2022-11,231.66733310725354
2022-12,231.94665900687588
