,Rondônia - Produção de Cimento (t)
2003-1,4.987
2003-2,4.987
2003-3,4.987
2003-4,4.987
2003-5,4.987
2003-6,4.986999999999999
2003-7,4.986999999999999
2003-8,4.987
2003-9,4.987
2003-10,4.987
2003-11,4.986999999999999
2003-12,4.986999999999999
2004-1,4.986999999999999
2004-2,4.986999999999999
2004-3,4.986999999999999
2004-4,4.987
2004-5,4.987
2004-6,4.987
2004-7,4.987
2004-8,4.987
2004-9,4.987
2004-10,4.987
2004-11,4.986999999999999
2004-12,4.987000000000001
2005-1,4.987000000000001
2005-2,4.987000000000001
2005-3,4.987000000000001
2005-4,4.987000000000001
2005-5,4.987000000000001
2005-6,4.987000000000001
2005-7,4.987000000000001
2005-8,4.987000000000001
2005-9,4.987000000000001
2005-10,4.987000000000001
2005-11,4.987000000000001
2005-12,4.987000000000001
2006-1,4.987000000000001
2006-2,4.987000000000001
2006-3,4.987000000000001
2006-4,4.987000000000001
2006-5,4.987000000000001
2006-6,4.987000000000001
2006-7,4.987000000000001
2006-8,4.987000000000001
2006-9,4.987000000000001
2006-10,4.987000000000001
2006-11,4.987000000000001
2006-12,4.987000000000001
2007-1,4.987000000000001
2007-2,4.987000000000001
2007-3,4.987000000000001
2007-4,4.987000000000001
2007-5,4.987000000000001
2007-6,4.987000000000001
2007-7,4.987000000000001
2007-8,4.987000000000001
2007-9,5.283244897959184
2007-10,5.771453977509372
2007-11,6.291197936234053
2007-12,6.799589730851074
2008-1,7.243234419235791
2008-2,7.930218795138562
2008-3,8.87430489299853
2008-4,9.783004992855645
2008-5,10.872025502913923
2008-6,11.738597451952984
2008-7,12.676732093829573
2008-8,13.777604177377118
2008-9,14.812636915690936
2008-10,16.260160118051974
2008-11,17.54165318168569
2008-12,18.938788960903764
2009-1,20.376641796840577
2009-2,21.847430404939363
2009-3,22.958194290754456
2009-4,23.723075806892297
2009-5,25.052220211114587
2009-6,26.742612460321013
2009-7,28.526155571756135
2009-8,30.35707711403687
2009-9,32.159711340853946
2009-10,33.716700451933434
2009-11,34.84270548202372
2009-12,35.875083187039834
2010-1,36.95388917594165
2010-2,38.08980049750708
2010-3,38.77979196082071
2010-4,39.34418965608239
2010-5,40.26933628186253
2010-6,41.098465073269644
2010-7,42.21756441248019
2010-8,43.459744663881224
2010-9,44.329931204422124
2010-10,45.25363108786562
2010-11,45.87319171990263
2010-12,46.53197822068257
2011-1,46.869594328024995
2011-2,47.18387907355937
2011-3,47.599071903531204
2011-4,47.94390614052664
2011-5,49.054759820804904
2011-6,49.1617504250843
2011-7,49.32242671007946
2011-8,49.51873836596361
2011-9,49.336221248655995
2011-10,49.225272471264205
2011-11,49.01563108390361
2011-12,48.77860915741136
2012-1,48.76251785068423
2012-2,48.56875517057695
2012-3,48.36666678198071
2012-4,48.35499950427844
2012-5,48.19673323295882
2012-6,47.69106494916195
2012-7,47.07688477170202
2012-8,46.36910122218177
2012-9,45.43608809071851
2012-10,44.685391584024856
2012-11,43.919783197649096
2012-12,43.01581859223867
2013-1,42.21062874559405
2013-2,41.58655947714794
2013-3,40.9198444999617
2013-4,40.090778634582726
2013-5,39.67179060968008
2013-6,38.803371412951584
2013-7,38.35363189958444
2013-8,37.459143375755104
2013-9,36.40281636429312
2013-10,35.65097719755685
2013-11,34.827460967481194
2013-12,34.02404350154838
2014-1,33.463897846764
2014-2,32.71807178254405
2014-3,32.09036104284659
2014-4,31.453964132718486
2014-5,30.804817638255162
2014-6,30.14565318005421
2014-7,29.48335614686542
2014-8,28.820077137029113
2014-9,28.157706383104706
2014-10,27.50085894300764
2014-11,26.845926789983956
2014-12,26.193253335600126
2015-1,25.545708272053567
2015-2,24.94654954518831
2015-3,24.44119074191216
2015-4,23.902375650640018
2015-5,23.490224569335062
2015-6,23.058137215742015
2015-7,22.64969511842287
2015-8,22.332591452335024
2015-9,22.0398484101661
2015-10,21.780061892151846
2015-11,21.51101697338265
2015-12,21.240763014319413
2016-1,20.938150876096085
2016-2,20.6199228038084
2016-3,20.331835215321085
2016-4,20.0501743383745
2016-5,19.813003701172146
2016-6,19.714838402164617
2016-7,19.601148304656668
2016-8,19.670925404086812
2016-9,19.713750295834345
2016-10,19.742646235744278
2016-11,19.67309378982345
2016-12,19.625391658624842
2017-1,19.569082528190943
