,Santa Catarina - Produção de Cimento (t)
2003-1,20.2168
2003-2,19.63103076923077
2003-3,19.40091965811966
2003-4,19.15374108669109
2003-5,18.912154879794535
2003-6,18.589821546461202
2003-7,18.617402191622492
2003-8,18.563464691622492
2003-9,18.501858631016432
2003-10,18.452476278075256
2003-11,18.41307627807526
2003-12,18.390048500297482
2004-1,18.446994446243426
2004-2,18.410126025190795
2004-3,18.475382435447205
2004-4,18.393982435447203
2004-5,18.383762923252082
2004-6,18.42545339944256
2004-7,18.49724409711698
2004-8,18.62228955166243
2004-9,18.579956218329098
2004-10,18.5809562183291
2004-11,18.53123281407378
2004-12,18.34898281407378
2005-1,18.304411385502352
2005-2,18.25646467908403
2005-3,18.324351085407567
2005-4,18.293176216576708
2005-5,18.220981015145803
2005-6,18.393365221989704
2005-7,18.45243754189845
2005-8,18.552764793944895
2005-9,18.62950561235964
2005-10,19.081192285448278
2005-11,19.46953342845589
2005-12,19.72582847234121
2006-1,20.055252553403328
2006-2,20.336441494365772
2006-3,20.650223442716282
2006-4,21.07836305510953
2006-5,21.447881026939374
2006-6,21.835863029055442
2006-7,22.354687715374073
2006-8,22.84496207493034
2006-9,23.231832942752135
2006-10,23.635993692230148
2006-11,23.80725976312609
2006-12,24.178158272290425
2007-1,24.649529200009134
2007-2,25.032817318672535
2007-3,25.669497984786588
2007-4,26.12752139089636
2007-5,26.72697741486207
2007-6,27.226895708733828
2007-7,27.500131024789834
2007-8,27.677451299950874
2007-9,27.72117959599182
2007-10,28.131968860963905
2007-11,28.21188266862749
2007-12,28.197726530671808
2008-1,28.274295878801002
2008-2,28.413072273196878
2008-3,28.764513717662812
2008-4,29.001580866131114
2008-5,29.129626127580526
2008-6,29.36239643575688
2008-7,29.648039974669157
2008-8,29.797863490164975
2008-9,29.996228825169762
2008-10,30.287502210525222
2008-11,30.532390139470024
2008-12,31.03418871857908
2009-1,31.328924033809468
2009-2,31.591809642662533
2009-3,31.866503363560287
2009-4,32.013727963127096
2009-5,32.31034442378487
2009-6,33.20047436274247
2009-7,34.49432290670183
2009-8,36.35173498592452
2009-9,38.19063873461786
2009-10,41.03228075785513
