,São Paulo - Produção de Cimento (t)
2003-1,437.97272
2003-2,434.36371999999994
2003-3,433.3508681481481
2003-4,431.8253324338624
2003-5,433.28729795110377
2003-6,433.6068646177704
2003-7,434.81089687583494
2003-8,436.54736562583497
2003-9,436.5187898682592
2003-10,438.5212310447298
2003-11,440.10965961615835
2003-12,441.76818739393616
2004-1,444.2249711777199
2004-2,446.53420801982514
2004-3,450.9179516095687
2004-4,451.5269516095688
2004-5,454.66534185347115
2004-6,456.87765137728064
2004-7,460.2056048656528
2004-8,464.41180941110724
2004-9,467.67354274444057
2004-10,470.8874557879188
2004-11,474.9640302560039
2004-12,478.5022594226707
2005-1,480.6893410553237
2005-2,484.88117005645285
2005-3,491.54011801678865
2005-4,496.02136801410785
2005-5,501.01577690350064
2005-6,506.23123565763115
2005-7,511.01995751558746
2005-8,516.8792036510926
2005-9,520.7751799373224
2005-10,526.6429021836298
2005-11,531.5723240436074
2005-12,535.033480460494
2006-1,540.0493639924647
2006-2,545.0690862948063
2006-3,550.9009613616428
2006-4,553.5717370708687
2006-5,557.0656918762014
2006-6,562.3453112644204
2006-7,568.2696920784437
2006-8,573.3717142664598
2006-9,577.533079671671
2006-10,582.8414579763083
2006-11,587.2616825107652
2006-12,590.1782264343318
2007-1,593.573960454978
2007-2,596.4218098304812
2007-3,601.8815983972979
2007-4,603.5846286091453
2007-5,607.488613519248
2007-6,610.588344878753
2007-7,613.0430818016331
2007-8,616.8905945421646
2007-9,618.8269902746355
2007-10,622.6705986488663
2007-11,625.0974291889733
2007-12,627.1264517429602
2008-1,629.0431042181126
2008-2,630.0872213655749
2008-3,634.7561833057946
2008-4,637.0741470189406
2008-5,642.4378084464523
2008-6,647.3937700091105
2008-7,650.2091875345124
2008-8,654.4064221356565
2008-9,657.0793549493136
2008-10,660.8158707713064
2008-11,662.6132669507961
2008-12,665.0129931638579
2009-1,666.3455598318075
2009-2,670.4422659415387
2009-3,675.959928311152
2009-4,679.4825472889858
2009-5,685.9822803232682
2009-6,690.1525592376362
2009-7,695.8631146327152
2009-8,701.9026663231456
2009-9,706.3243616656147
2009-10,711.3283896531856
2009-11,714.9030180410289
2009-12,717.8181933237239
2010-1,719.1704737641476
2010-2,723.5569506936585
2010-3,729.1484757819868
2010-4,730.3575429753785
2010-5,734.5117551377548
2010-6,734.5934683355364
2010-7,737.6599927911777
2010-8,742.2475806535585
2010-9,743.4785838886179
2010-10,745.6096089690119
2010-11,746.7926444424344
2010-12,748.3820399014473
2011-1,749.3844898348675
2011-2,755.2363455492156
2011-3,758.865408398352
2011-4,761.8670304409479
2011-5,765.0635505052736
2011-6,764.4911682640902
2011-7,766.4948133462626
2011-8,769.6423990342942
2011-9,772.6692099059504
2011-10,775.3074312986103
2011-11,776.6028403117822
2011-12,777.1450815826139
2012-1,777.0759772613668
2012-2,782.1029263123304
2012-3,785.1543462229156
2012-4,785.8701231706897
2012-5,787.9529268481448
2012-6,788.530183413663
2012-7,791.0969939254617
2012-8,790.9077408873858
2012-9,788.3601972186883
2012-10,786.9427974907306
2012-11,785.9758095013779
2012-12,785.2288128699278
2013-1,784.7940041549988
2013-2,785.1951615901035
2013-3,782.6341129378766
2013-4,779.2763599692954
2013-5,776.1953871025271
2013-6,771.730538869818
2013-7,768.7806729638124
2013-8,764.3841966294767
2013-9,757.1268129069294
2013-10,749.5622537845004
2013-11,742.2815685291105
2013-12,736.0198119621172
2014-1,730.6064758474132
2014-2,726.1401064308019
2014-3,718.4748448005665
2014-4,710.5908753837838
2014-5,702.5314009391533
2014-6,694.2649412267249
2014-7,685.817997508624
2014-8,677.1462832960354
2014-9,668.3014576309058
2014-10,659.3281160066654
2014-11,650.2005714865824
2014-12,640.9064849964844
2015-1,631.4379681011081
2015-2,622.5733836918452
2015-3,614.9748331224929
2015-4,606.6650355752402
2015-5,599.506245281484
2015-6,591.5143648361566
2015-7,584.8476755701635
2015-8,578.4065899090685
2015-9,570.89019385355
2015-10,563.9096832606239
2015-11,556.1014879438101
2015-12,548.8838618094163
2016-1,540.796675071606
2016-2,533.8673158720998
2016-3,528.5152711668202
2016-4,522.9719329293968
2016-5,516.0136769609398
2016-6,512.6633315736294
2016-7,508.5016701521377
2016-8,504.6293287775156
2016-9,501.429635828158
2016-10,498.2687292607549
2016-11,495.18894177614453
2016-12,492.3893615779724
2017-1,489.33682028371703
2017-2,486.19022543030087
2017-3,482.9969160780245
2017-4,479.70036675058645
2017-5,477.4285775908996
2017-6,473.67115580129587
2017-7,472.17400867813535
2017-8,469.9501787415634
2017-9,466.64919075855306
2017-10,466.8257417157979
2017-11,465.08774290876073
2017-12,463.7695032141679
2018-1,462.4228428346731
2018-2,462.0577238094295
2018-3,461.1523851959056
2018-4,459.483632420989
2018-5,458.8751160840827
2018-6,460.5629005559836
2018-7,460.37827951480716
2018-8,462.00286337935137
2018-9,464.0723436773481
2018-10,465.73443975590294
2018-11,467.2022501741713
2018-12,466.75482789658
2019-1,466.7514088418577
2019-2,466.81027799610547
2019-3,469.98601376275457
2019-4,472.5581994297898
2019-5,475.84199193344705
2019-6,479.5281024302337
2019-7,483.6060809328651
2019-8,486.7343068972473
2019-9,488.9200033902205
2019-10,491.9879791582137
2019-11,492.990881963161
2019-12,494.9990072499854
2020-1,496.4277114139817
2020-2,498.1110760788656
2020-3,502.3240832680378
2020-4,505.38217914706087
2020-5,508.7849658149398
2020-6,510.1311056053656
2020-7,512.9418444839243
2020-8,513.5553254016614
2020-9,513.2719266674229
2020-10,512.5174691774243
2020-11,511.84400039010853
2020-12,511.75689325165825
2021-1,514.183725722632
2021-2,516.461258543981
2021-3,519.5745680894562
2021-4,520.0312819209263
2021-5,520.8722447484732
2021-6,519.8803493429731
2021-7,518.3308159204901
2021-8,516.9918293572734
2021-9,515.3522881527058
2021-10,514.4699951505314
2021-11,513.89170597008
2021-12,513.2752878613503
2022-1,513.6829147633701
2022-2,516.1174038523061
2022-3,518.1556900765927
2022-4,516.9540021034154
2022-5,517.0479028865332
2022-6,515.8387041755051
2022-7,517.1697809336932
2022-8,515.3064953262264
2022-9,514.8125905137547
2022-10,514.8564517863505
2022-11,515.2159300323226
2022-12,515.7843244193041
