,Tocantins - Produção de Cimento (t)
2003-1,12.732999999999999
2003-2,12.733
2003-3,12.733
2003-4,12.733
2003-5,12.733
2003-6,12.733
2003-7,12.733
2003-8,12.733
2003-9,12.733
2003-10,12.733
2003-11,12.733
2003-12,12.733
2004-1,12.733
2004-2,12.733
2004-3,12.733
2004-4,12.733
2004-5,12.733
2004-6,12.732999999999999
2004-7,12.732999999999997
2004-8,12.732999999999997
2004-9,12.732999999999995
2004-10,12.732999999999993
2004-11,12.732999999999993
2004-12,12.733000000000002
2005-1,12.733
2005-2,12.733
2005-3,12.733
2005-4,12.733
2005-5,12.733
2005-6,12.733
2005-7,12.733
2005-8,12.733
2005-9,12.733
2005-10,12.733
2005-11,12.733
2005-12,12.733
2006-1,12.733
2006-2,12.733
2006-3,12.733
2006-4,12.733
2006-5,12.733
2006-6,12.733
2006-7,12.733
2006-8,12.733
2006-9,12.733
2006-10,12.733
2006-11,12.733
2006-12,12.733
2007-1,12.733
2007-2,12.733
2007-3,12.733
2007-4,12.733
2007-5,12.733
2007-6,12.855693877551023
2007-7,13.064320283215329
2007-8,13.274551309403394
2007-9,13.42435847898306
2007-10,13.420427019370466
2007-11,13.40702757078619
2007-12,13.387885276312439
2008-1,13.638658445216773
2008-2,13.9710596379763
2008-3,14.384081263241121
2008-4,14.803470676776653
2008-5,15.409806813037404
2008-6,15.975170217385108
2008-7,16.690541038148066
2008-8,17.483082691987825
2008-9,18.19481907345696
2008-10,18.964203136180576
2008-11,19.802676669572016
2008-12,20.676853744461237
2009-1,21.438156882103307
2009-2,21.88675192051358
2009-3,22.490522367870998
2009-4,23.152328946807135
2009-5,23.991070353884837
2009-6,24.796296279474323
2009-7,25.735267757064594
2009-8,26.667164644286007
2009-9,27.500707773569324
2009-10,28.34571490203027
2009-11,29.350128940451896
2009-12,30.474906519424668
2010-1,31.560825320304506
2010-2,32.37248178714304
2010-3,33.17659244324848
2010-4,34.00141920202414
2010-5,34.85219366172307
2010-6,35.39411992394114
2010-7,35.75632297917698
2010-8,36.000747100422466
2010-9,36.392434129166034
2010-10,36.904732395609074
2010-11,37.25202891110762
2010-12,37.66362793644508
2011-1,38.073949858730465
2011-2,38.43343542968204
2011-3,39.31004121558343
2011-4,39.923990579822465
2011-5,40.51306530702686
2011-6,40.70206520402976
2011-7,41.225448243306396
2011-8,40.85251315118889
2011-9,40.77811210030934
2011-10,41.01548769881425
2011-11,41.29409530691188
2011-12,41.19140074296209
2012-1,41.35112511487101
2012-2,41.63204960047441
2012-3,41.91550608646076
2012-4,42.1215165689753
2012-5,42.22068998462736
2012-6,42.281275623870314
2012-7,42.45985022999132
2012-8,42.85963241878345
2012-9,43.22705048650511
2012-10,43.365316126450786
2012-11,43.458148447488384
2012-12,43.65478354006758
2013-1,43.711680593202736
2013-2,43.726973057171556
2013-3,43.90199219242644
2013-4,43.86436262052527
2013-5,43.92800286625391
2013-6,43.95146689807486
2013-7,44.19546693264721
2013-8,44.12980200793988
2013-9,44.70809769889399
2013-10,44.90546475192633
2013-11,44.87980714076535
2013-12,44.85387472921135
2014-1,45.2030762391348
2014-2,45.17083442534426
2014-3,45.05213615646405
2014-4,44.9252306476886
2014-5,44.79153093500929
2014-6,44.65307870950688
2014-7,44.510564486764764
2014-8,44.36149743078055
2014-9,44.2012293698009
2014-10,44.03019220415388
2014-11,43.85284273635189
2014-12,43.66997935449198
2015-1,43.47937110580675
2015-2,43.10508315708439
2015-3,42.8758486693275
2015-4,42.65585798518263
2015-5,42.64000687017563
2015-6,42.61127225801077
2015-7,42.739517265356405
2015-8,42.81675094561578
2015-9,42.88900704638467
2015-10,43.14745009429265
2015-11,43.15828652985113
2015-12,43.26534121126105
2016-1,43.40003236395595
2016-2,43.286451876707396
2016-3,43.35288896755154
2016-4,43.421128820839044
2016-5,43.53555939580129
2016-6,43.90938446642971
2016-7,44.41577029820364
2016-8,44.83844388619218
2016-9,45.374238711812836
2016-10,46.07314094328246
2016-11,46.62306642775447
2016-12,46.95600160513005
2017-1,47.31742654902061
2017-2,47.412958292759676
2017-3,48.07336390777345
2017-4,48.11182340243561
2017-5,47.99808800278771
2017-6,48.340150883045105
2017-7,48.59929126314783
2017-8,48.65228665085787
2017-9,48.949624114230154
2017-10,49.20116731969639
2017-11,49.047528895725044
2017-12,49.15324812768165
2018-1,49.27716459536371
2018-2,49.17077953886182
2018-3,49.30450051155886
2018-4,49.254615032865125
2018-5,49.18062495555953
2018-6,49.57274874249338
2018-7,49.92832760527019
2018-8,50.24017571357766
2018-9,50.55610901617737
2018-10,51.07063698157257
2018-11,50.99503485990501
2018-12,51.261197480969315
2019-1,51.440425968231345
2019-2,51.503344323725436
2019-3,51.96718893660229
2019-4,52.12483842698655
2019-5,52.94457342748759
2019-6,54.207930272889634
2019-7,54.84768087268237
2019-8,55.73589290553001
2019-9,56.599150176033525
2019-10,57.29301805484584
2019-11,57.76189255964482
2019-12,58.32887957319419
2020-1,58.60905572514343
2020-2,58.899502482894036
2020-3,59.27178254297633
2020-4,59.858155645658314
2020-5,60.279942188776545
2020-6,61.34721396904628
2020-7,62.05040713693512
2020-8,62.29781692329562
2020-9,62.73213613165721
2020-10,63.41701423605477
2020-11,63.31906275145236
2020-12,63.66575719821862
2021-1,63.7335138006242
2021-2,64.14065426090117
2021-3,64.68191435216372
2021-4,65.1217730136687
2021-5,65.51360727731306
2021-6,65.72578497794419
2021-7,65.59991925611082
2021-8,65.430581637563
2021-9,65.0654883968029
2021-10,64.77633010494577
2021-11,64.43626805639434
2021-12,64.45317734161445
2022-1,64.6337183168932
2022-2,65.22772919999728
2022-3,65.70255143285317
2022-4,66.41574295778437
2022-5,66.8748157787191
2022-6,67.66267672609528
2022-7,67.50711470886675
2022-8,67.09717754613565
2022-9,67.0774110521705
2022-10,66.56380682893656
2022-11,65.68209911439112
2022-12,65.6577445334843
