,Maranhão - Produção de Cimento (t)
2003-1,23.3684
2003-2,23.167976923076928
2003-3,23.563273219373222
2003-4,24.00834464794465
2003-5,24.366896372082582
2003-6,24.68919637208258
2003-7,24.88616411401806
2003-8,25.022632864018064
2003-9,25.112966197351398
2003-10,25.207083844410217
2003-11,25.12434098726736
2003-12,25.188007653934026
2004-1,25.279088735015108
2004-2,25.453088735015104
2004-3,25.697063093989467
2004-4,25.707388093989472
2004-5,25.717266142769958
2004-6,25.680147095150915
2004-7,25.77528663003464
2004-8,25.80094572094373
2004-9,25.854256832054844
2004-10,25.78764813640267
2004-11,25.675392817253734
2004-12,25.703413650587056
2005-1,25.578638140382974
2005-2,25.468194020798958
2005-3,25.613402532997366
2005-4,25.492445988377447
2005-5,25.495386832059754
2005-6,25.468458065936833
2005-7,25.494891978056312
2005-8,25.570682342628515
2005-9,25.659009883008324
2005-10,25.826316897001323
2005-11,26.055280836850123
2005-12,26.370504099086503
2006-1,26.42275912857941
2006-2,26.269283014162358
2006-3,26.122715550471487
2006-4,26.175381927134385
2006-5,26.432034862504683
2006-6,26.727417897601317
2006-7,27.102913220100298
2006-8,27.375252538264903
2006-9,27.462075126373495
2006-10,27.571826520135104
2006-11,27.673197507558218
2006-12,27.65639760327872
2007-1,27.686193194149975
2007-2,27.600326970757468
2007-3,27.88498274524641
2007-4,27.84887213733313
2007-5,28.091084915883247
2007-6,28.260629774736785
2007-7,28.50712307491638
2007-8,28.486474729954338
2007-9,28.55538886030793
2007-10,28.73666190066098
2007-11,28.770219961960155
2007-12,28.832953413493016
2008-1,28.781227889297234
2008-2,28.860359904822083
2008-3,29.041504331162077
2008-4,29.096193898114947
2008-5,29.245700264869654
2008-6,29.416693436346485
2008-7,29.50359701876986
2008-8,29.56157015751822
2008-9,29.58020929260502
2008-10,29.708089581711786
2008-11,29.646809236029675
2008-12,29.72292376110052
2009-1,29.8092610296275
2009-2,29.72130323035153
2009-3,29.932731317282016
2009-4,29.863236390180703
2009-5,30.064509130034736
2009-6,30.218946358894968
2009-7,30.303177309592076
2009-8,30.42740290621811
2009-9,30.65452388940717
2009-10,30.823465420613275
2009-11,30.893502227142914
2009-12,30.99544676316705
2010-1,31.4456609131604
2010-2,31.959179954463725
2010-3,32.47035995547682
2010-4,33.04231619270774
2010-5,33.87176766810759
2010-6,34.641422104908365
2010-7,35.29253901651167
2010-8,36.27410926136354
2010-9,37.22526312062569
2010-10,38.20871319874856
2010-11,39.211562660320745
2010-12,40.409965791428725
2011-1,41.31996664919052
2011-2,42.03530758020202
2011-3,42.987797464892836
2011-4,43.702941671986935
2011-5,44.559241779778894
2011-6,45.52623632365123
2011-7,46.45418101680952
2011-8,47.843732112875195
2011-9,49.127595974235525
2011-10,50.47049540453815
2011-11,51.783965404210086
2011-12,53.18470955068085
2012-1,54.40516389328317
2012-2,55.04739864797955
