,Amazonas - Produção de Cimento (t)
2003-1,43.382
2003-2,42.997
2003-3,51.061
2003-4,47.683
2003-5,48.669
2003-6,44.218
2003-7,53.944
2003-8,55.278
2003-9,55.352
2003-10,54.512
2003-11,50.384
2003-12,55.61
2004-1,50.372
2004-2,44.88
2004-3,44.11
2004-4,51.287
2004-5,52.097
2004-6,54.507
2004-7,49.694
2004-8,60.445
2004-9,51.928
2004-10,52.747
2004-11,54.365
2004-12,61.352
2005-1,51.953
2005-2,49.651
2005-3,42.163
2005-4,54.318
2005-5,53.449
2005-6,49.99
2005-7,58.458
2005-8,53.316
2005-9,52.438
2005-10,53.915
2005-11,51.557
2005-12,56.263
2006-1,50.911
2006-2,52.615
2006-3,61.054
2006-4,51.634
2006-5,49.384
2006-6,48.756
2006-7,60.502
2006-8,55.59
2006-9,47.971
2006-10,47.558
2006-11,54.135
2006-12,54.366
2007-1,53.822
2007-2,50.945
2007-3,61.279
2007-4,52.052
2007-5,49.958
2007-6,56.77
2007-7,62.348
2007-8,63.901
2007-9,61.009
2007-10,53.756
2007-11,57.828
2007-12,59.649
2008-1,55.484
2008-2,54.152
2008-3,61.949
2008-4,60.57
2008-5,68.857
2008-6,67.516
2008-7,71.941
2008-8,68.802
2008-9,64.415
2008-10,63.784
2008-11,71.747
2008-12,66.868
2009-1,50.671
2009-2,46.68
2009-3,55.2
2009-4,46.703
2009-5,64.927
2009-6,49.238
2009-7,52.757
2009-8,58.223
2009-9,44.488
2009-10,66.78
2009-11,60.528
2009-12,57.997
2010-1,58.421
2010-2,51.293
2010-3,58.74
2010-4,54.563
2010-5,58.062
2010-6,58.392
2010-7,56.419
2010-8,59.564
2010-9,58.142
2010-10,64.018
2010-11,73.129
2010-12,74.53
2011-1,74.329
2011-2,66.604
2011-3,65.741
2011-4,61.006
2011-5,64.051
2011-6,59.887
2011-7,73.543
2011-8,66.093
2011-9,66.012
2011-10,72.873
2011-11,67.459
2011-12,74.921
2012-1,66.807
2012-2,65.768
2012-3,67.473
2012-4,44.055
2012-5,72.903
2012-6,57.259
2012-7,73.368
2012-8,66.788
2012-9,67.931
2012-10,66.006
2012-11,61.133
2012-12,75.763
2013-1,61.557
2013-2,51.382
2013-3,73.987
2013-4,72.378
2013-5,58.287
2013-6,48.78
2013-7,65.302
2013-8,80.418
2013-9,57.885
2013-10,63.863
2013-11,73.437
2013-12,64.672
2014-1,54.166
2014-2,51.925
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,41.998
2017-2,39.049
2017-3,44.436
2017-4,42.157
2017-5,44.561
2017-6,48.555
2017-7,48.292
2017-8,49.016
2017-9,45.857
2017-10,50.343
2017-11,52.978
2017-12,51.986
2018-1,20.121
2018-2,12.483
2018-3,19.286
2018-4,20.972
2018-5,23.021
2018-6,24.526
2018-7,24.526
2018-8,27.107
2018-9,29.132
2018-10,27.936
2018-11,31.411
2018-12,25.726
2019-1,25.376
2019-2,23.312
2019-3,23.897
2019-4,26.371
2019-5,26.407
2019-6,25.213
2019-7,28.287
2019-8,33.101
2019-9,28.503
2019-10,29.614
2019-11,33.271
2019-12,30.749
2020-1,50.957
2020-2,49.831
2020-3,47.366
2020-4,41.948
2020-5,47.157
2020-6,69.883
2020-7,46.943
2020-8,48.797
2020-9,51.423
2020-10,50.351
2020-11,49.469
2020-12,41.819
2021-1,31.844
2021-2,32.505
2021-3,31.22
2021-4,35.028
2021-5,42.514
2021-6,48.591
2021-7,49.823
2021-8,40.087
2021-9,16.655
2021-10,50.348
2021-11,33.551
2021-12,35.54
2022-1,34.511
2022-2,38.191
2022-3,39.558
2022-4,38.75
2022-5,35.711
2022-6,39.706
2022-7,39.451
2022-8,44.693
2022-9,44.998
2022-10,39.935
2022-11,36.284
2022-12,
