,Ceará - Produção de Cimento (t)
2003-1,115.612
2003-2,87.014
2003-3,83.636
2003-4,60.687
2003-5,101.775
2003-6,94.627
2003-7,122.799
2003-8,114.467
2003-9,108.359
2003-10,112.577
2003-11,120.53
2003-12,107.469
2004-1,104.232
2004-2,74.701
2004-3,92.944
2004-4,81.441
2004-5,100.69
2004-6,92.22
2004-7,119.679
2004-8,118.193
2004-9,133.565
2004-10,133.458
2004-11,128.105
2004-12,145.238
2005-1,137.807
2005-2,104.301
2005-3,127.628
2005-4,101.806
2005-5,124.816
2005-6,124.026
2005-7,116.758
2005-8,134.233
2005-9,113.649
2005-10,125.068
2005-11,103.233
2005-12,129.849
2006-1,103.342
2006-2,82.502
2006-3,113.504
2006-4,85.515
2006-5,110.412
2006-6,117.279
2006-7,130.988
2006-8,146.757
2006-9,141.637
2006-10,149.13
2006-11,148.039
2006-12,150.708
2007-1,131.062
2007-2,107.113
2007-3,116.474
2007-4,109.909
2007-5,125.556
2007-6,142.96
2007-7,156.911
2007-8,162.066
2007-9,145.075
2007-10,148.469
2007-11,122.661
2007-12,159.498
2008-1,162.915
2008-2,124.611
2008-3,143.139
2008-4,125.743
2008-5,139.837
2008-6,128.561
2008-7,128.418
2008-8,119.472
2008-9,152.898
2008-10,165.285
2008-11,154.475
2008-12,168.723
2009-1,151.232
2009-2,142.47
2009-3,128.641
2009-4,101.86
2009-5,117.953
2009-6,142.514
2009-7,171.191
2009-8,163.428
2009-9,151.285
2009-10,160.441
2009-11,167.691
2009-12,168.3
2010-1,140.933
2010-2,137.353
2010-3,152.983
2010-4,135.259
2010-5,150.705
2010-6,152.618
2010-7,175.697
2010-8,167.822
2010-9,154.137
2010-10,169.374
2010-11,157.629
2010-12,168.322
2011-1,147.024
2011-2,135.364
2011-3,126.38
2011-4,115.358
2011-5,131.127
2011-6,123.878
2011-7,132.556
2011-8,166.651
2011-9,169.7
2011-10,163.256
2011-11,157.459
2011-12,138.491
2012-1,84.162
2012-2,141.417
2012-3,157.006
2012-4,123.151
2012-5,147.444
2012-6,147.301
2012-7,162.002
2012-8,160.052
2012-9,155.438
2012-10,171.353
2012-11,159.797
2012-12,164.416
2013-1,155.606
2013-2,121.355
2013-3,147.116
2013-4,115.711
2013-5,152.01
2013-6,126.49
2013-7,147.644
2013-8,163.066
2013-9,162.527
2013-10,158.011
2013-11,156.151
2013-12,160.553
2014-1,154.516
2014-2,133.862
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,212.548
2017-2,166.831
2017-3,167.648
2017-4,152.416
2017-5,193.012
2017-6,197.726
2017-7,212.148
2017-8,222.619
2017-9,233.015
2017-10,235.959
2017-11,232.298
2017-12,235.25
2018-1,218.915
2018-2,156.975
2018-3,178.002
2018-4,138.903
2018-5,144.494
2018-6,179.613
2018-7,196.684
2018-8,211.105
2018-9,196.069
2018-10,206.586
2018-11,203.784
2018-12,184.951
2019-1,155.727
2019-2,155.579
2019-3,149.152
2019-4,128.361
2019-5,156.714
2019-6,172.648
2019-7,208.117
2019-8,229.096
2019-9,208.829
2019-10,226.973
2019-11,228.731
2019-12,222.054
2020-1,195.363
2020-2,147.509
2020-3,142.793
2020-4,110.799
2020-5,162.234
2020-6,201.954
2020-7,258.122
2020-8,254.569
2020-9,271.949
2020-10,257.618
2020-11,242.402
2020-12,241.457
2021-1,225.883
2021-2,203.316
2021-3,205.911
2021-4,210.396
2021-5,226.936
2021-6,250.48
2021-7,258.029
2021-8,297.16
2021-9,271.686
2021-10,286.719
2021-11,257.176
2021-12,267.893
2022-1,197.398
2022-2,230.377
2022-3,208.818
2022-4,207.639
2022-5,224.716
2022-6,238.65
2022-7,281.235
2022-8,252.032
2022-9,289.705
2022-10,278.035
2022-11,268.827
2022-12,
