,Mato Grosso - Produção de Cimento (t)
2003-1,42.565
2003-2,40.029
2003-3,41.516
2003-4,39.776
2003-5,48.527
2003-6,47.02
2003-7,60.17
2003-8,58.361
2003-9,66.722
2003-10,67.499
2003-11,59.72
2003-12,52.518
2004-1,42.924
2004-2,34.199
2004-3,43.061
2004-4,41.87
2004-5,48.875
2004-6,50.762
2004-7,59.781
2004-8,57.404
2004-9,61.052
2004-10,61.562
2004-11,48.99
2004-12,51.409
2005-1,46.619
2005-2,40.858
2005-3,43.241
2005-4,43.74
2005-5,54.785
2005-6,58.871
2005-7,57.874
2005-8,63.699
2005-9,61.777
2005-10,59.012
2005-11,57.752
2005-12,48.774
2006-1,46.865
2006-2,41.618
2006-3,49.155
2006-4,39.775
2006-5,51.792
2006-6,47.984
2006-7,55.429
2006-8,68.453
2006-9,60.66
2006-10,64.142
2006-11,61.33
2006-12,54.615
2007-1,52.73
2007-2,41.928
2007-3,61.897
2007-4,57.789
2007-5,68.952
2007-6,76.4
2007-7,60.542
2007-8,78.964
2007-9,77.596
2007-10,80.893
2007-11,78.182
2007-12,82.737
2008-1,64.358
2008-2,62.185
2008-3,80.08
2008-4,78.824
2008-5,52.096
2008-6,77.622
2008-7,85.565
2008-8,82.61
2008-9,71.023
2008-10,73.496
2008-11,68.891
2008-12,78.587
2009-1,68.754
2009-2,74.309
2009-3,80.185
2009-4,74.867
2009-5,84.555
2009-6,88.078
2009-7,85.751
2009-8,81.87
2009-9,77.718
2009-10,82.609
2009-11,78.875
2009-12,71.742
2010-1,67.001
2010-2,60.722
2010-3,77.569
2010-4,70.881
2010-5,86.109
2010-6,80.681
2010-7,96.001
2010-8,103.09
2010-9,98.718
2010-10,86.469
2010-11,90.392
2010-12,79.23
2011-1,77.479
2011-2,86.487
2011-3,89.584
2011-4,87.279
2011-5,108.721
2011-6,105.165
2011-7,111.254
2011-8,105.811
2011-9,103.826
2011-10,108.545
2011-11,100.317
2011-12,92.481
2012-1,86.022
2012-2,84.064
2012-3,97.453
2012-4,91.447
2012-5,93.165
2012-6,93.468
2012-7,100.105
2012-8,106.271
2012-9,84.336
2012-10,95.711
2012-11,96.815
2012-12,94.166
2013-1,114.808
2013-2,93.957
2013-3,101.048
2013-4,116.719
2013-5,123.724
2013-6,103.589
2013-7,145.949
2013-8,163.884
2013-9,152.872
2013-10,159.043
2013-11,150.607
2013-12,116.111
2014-1,133.847
2014-2,133.359
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,62.916
2017-2,51.583
2017-3,74.828
2017-4,72.351
2017-5,89.947
2017-6,88.878
2017-7,104.31
2017-8,106.747
2017-9,98.606
2017-10,97.249
2017-11,95.255
2017-12,91.368
2018-1,68.668
2018-2,69.26
2018-3,88.197
2018-4,84.569
2018-5,74.394
2018-6,127.487
2018-7,116.375
2018-8,141.724
2018-9,122.802
2018-10,97.088
2018-11,87.223
2018-12,98.004
2019-1,77.942
2019-2,74.313
2019-3,80.017
2019-4,69.179
2019-5,90.671
2019-6,102.905
2019-7,105.54
2019-8,114.311
2019-9,118.88
2019-10,110.243
2019-11,102.657
2019-12,81.505
2020-1,69.961
2020-2,71.088
2020-3,87.204
2020-4,82.505
2020-5,108.808
2020-6,108.688
2020-7,129.093
2020-8,144.857
2020-9,136.094
2020-10,143.982
2020-11,95.381
2020-12,96.592
2021-1,92.208
2021-2,91.235
2021-3,108.65
2021-4,100.547
2021-5,125.356
2021-6,132.199
2021-7,137.715
2021-8,139.254
2021-9,140.93
2021-10,126.875
2021-11,109.306
2021-12,97.959
2022-1,92.416
2022-2,97.312
2022-3,119.123
2022-4,129.088
2022-5,129.632
2022-6,135.001
2022-7,141.994
2022-8,164.358
2022-9,143.322
2022-10,150.847
2022-11,110.2
2022-12,
