,Paraíba - Produção de Cimento (t)
2003-1,121.461
2003-2,101.595
2003-3,97.156
2003-4,58.352
2003-5,104.195
2003-6,90.794
2003-7,114.8
2003-8,114.82
2003-9,115.314
2003-10,143.535
2003-11,148.85
2003-12,153.158
2004-1,129.863
2004-2,94.415
2004-3,111.715
2004-4,91.353
2004-5,115.357
2004-6,109.581
2004-7,119.097
2004-8,128.161
2004-9,149.893
2004-10,131.194
2004-11,128.963
2004-12,167.587
2005-1,131.945
2005-2,90.228
2005-3,122.576
2005-4,122.04
2005-5,120.031
2005-6,127.101
2005-7,141.327
2005-8,152.815
2005-9,151.521
2005-10,157.121
2005-11,141.366
2005-12,151.267
2006-1,175.363
2006-2,146.31
2006-3,171.476
2006-4,120.302
2006-5,136.813
2006-6,125.906
2006-7,150.504
2006-8,162.251
2006-9,148.212
2006-10,150.172
2006-11,153.814
2006-12,170.206
2007-1,165.678
2007-2,131.711
2007-3,148.222
2007-4,151.418
2007-5,153.345
2007-6,139.622
2007-7,143.415
2007-8,148.741
2007-9,177.923
2007-10,180.724
2007-11,179.287
2007-12,199.234
2008-1,156.077
2008-2,151.713
2008-3,151.51
2008-4,151.149
2008-5,162.213
2008-6,141.446
2008-7,167.048
2008-8,207.44
2008-9,203.759
2008-10,219.104
2008-11,177.361
2008-12,184.113
2009-1,166.029
2009-2,103.555
2009-3,153.416
2009-4,138.542
2009-5,147.628
2009-6,152.702
2009-7,161.222
2009-8,173.803
2009-9,165.488
2009-10,167.508
2009-11,147.083
2009-12,166.998
2010-1,185.558
2010-2,168.168
2010-3,195.597
2010-4,171.942
2010-5,169.564
2010-6,162.233
2010-7,171.348
2010-8,181.136
2010-9,192.723
2010-10,181.447
2010-11,185.009
2010-12,197.775
2011-1,162.488
2011-2,153.272
2011-3,181.71
2011-4,173.841
2011-5,149.973
2011-6,175.805
2011-7,107.037
2011-8,127.797
2011-9,208.706
2011-10,195.595
2011-11,200.379
2011-12,188.556
2012-1,224.847
2012-2,193.348
2012-3,219.303
2012-4,186.661
2012-5,198.286
2012-6,154.622
2012-7,201.024
2012-8,214.91
2012-9,210.508
2012-10,208.362
2012-11,228.932
2012-12,221.148
2013-1,202.171
2013-2,190.701
2013-3,203.131
2013-4,191.798
2013-5,175.383
2013-6,188.676
2013-7,195.889
2013-8,180.851
2013-9,215.638
2013-10,215.83
2013-11,193.053
2013-12,203.14
2014-1,200.388
2014-2,182.016
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,195.622
2017-2,174.592
2017-3,198.204
2017-4,166.528
2017-5,152.905
2017-6,180.876
2017-7,187.258
2017-8,201.93
2017-9,220.919
2017-10,220.057
2017-11,200.389
2017-12,211.024
2018-1,191.169
2018-2,177.575
2018-3,193.191
2018-4,185.689
2018-5,140.186
2018-6,222.881
2018-7,181.622
2018-8,222.51
2018-9,215.243
2018-10,200.887
2018-11,213.171
2018-12,171.434
2019-1,204.627
2019-2,175.623
2019-3,177.394
2019-4,179.318
2019-5,240.1
2019-6,234.062
2019-7,273.496
2019-8,295.08
2019-9,205.025
2019-10,292.545
2019-11,273.251
2019-12,263.867
2020-1,280.82
2020-2,257.566
2020-3,256.72
2020-4,204.27
2020-5,276.571
2020-6,290.248
2020-7,286.45
2020-8,286.392
2020-9,285.97
2020-10,352.456
2020-11,302.865
2020-12,282.347
2021-1,324.645
2021-2,277.469
2021-3,330.534
2021-4,275.897
2021-5,266.636
2021-6,292.888
2021-7,311.157
2021-8,295.714
2021-9,315.727
2021-10,318.314
2021-11,289.42
2021-12,287.316
2022-1,289.63
2022-2,300.17
2022-3,305.602
2022-4,280.845
2022-5,324.974
2022-6,252.944
2022-7,284.568
2022-8,333.821
2022-9,328.102
2022-10,354.357
2022-11,331.832
2022-12,
