,Pernambuco - Produção de Cimento (t)
2003-1,39.749
2003-2,33.598
2003-3,34.186
2003-4,28.308
2003-5,34.241
2003-6,27.149
2003-7,33.663
2003-8,34.628
2003-9,31.82
2003-10,30.166
2003-11,34.159
2003-12,35.905
2004-1,30.42
2004-2,25.116
2004-3,34.936
2004-4,31.794
2004-5,33.65
2004-6,28.659
2004-7,32.253
2004-8,29.325
2004-9,37.808
2004-10,43.772
2004-11,34.848
2004-12,46.625
2005-1,49.874
2005-2,36.114
2005-3,41.374
2005-4,38.717
2005-5,37.417
2005-6,29.815
2005-7,48.183
2005-8,49.084
2005-9,45.117
2005-10,51.832
2005-11,37.178
2005-12,47.417
2006-1,47.597
2006-2,36.371
2006-3,44.132
2006-4,40.688
2006-5,35.533
2006-6,38.016
2006-7,30.714
2006-8,33.037
2006-9,41.568
2006-10,44.487
2006-11,41.744
2006-12,47.179
2007-1,40.816
2007-2,33.136
2007-3,35.907
2007-4,35.031
2007-5,35.908
2007-6,36.879
2007-7,34.997
2007-8,40.93
2007-9,42.702
2007-10,51.824
2007-11,49.225
2007-12,55.53
2008-1,54.387
2008-2,50.633
2008-3,58.243
2008-4,65.881
2008-5,58.66
2008-6,61.046
2008-7,62.849
2008-8,62.232
2008-9,71.393
2008-10,80.661
2008-11,75.46
2008-12,79.332
2009-1,71.154
2009-2,61.864
2009-3,69.195
2009-4,59.249
2009-5,67.653
2009-6,54.464
2009-7,66.2
2009-8,76.015
2009-9,76.001
2009-10,75.654
2009-11,74.435
2009-12,69.372
2010-1,66.77
2010-2,58.977
2010-3,70.111
2010-4,65.002
2010-5,68.79
2010-6,62.898
2010-7,70.458
2010-8,75.31
2010-9,70.113
2010-10,79.65
2010-11,79.578
2010-12,80.334
2011-1,76.321
2011-2,71.716
2011-3,78.812
2011-4,60.981
2011-5,93.34
2011-6,81.401
2011-7,100.603
2011-8,134.231
2011-9,101.603
2011-10,74.577
2011-11,108.922
2011-12,96.612
2012-1,105.373
2012-2,100.643
2012-3,127.407
2012-4,125.862
2012-5,115.675
2012-6,87.822
2012-7,93.886
2012-8,98.478
2012-9,108.19
2012-10,103.244
2012-11,97.878
2012-12,92.519
2013-1,101.68
2013-2,99.197
2013-3,118.099
2013-4,107.549
2013-5,92.269
2013-6,68.053
2013-7,83.057
2013-8,99.111
2013-9,113.413
2013-10,107.04
2013-11,105.903
2013-12,105.015
2014-1,108.865
2014-2,101.306
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,43.16
2017-2,37.018
2017-3,39.614
2017-4,31.562
2017-5,35.414
2017-6,29.842
2017-7,27.385
2017-8,31.455
2017-9,25.93
2017-10,27.908
2017-11,33.732
2017-12,19.813
2018-1,16.033
2018-2,12.988
2018-3,16.454
2018-4,14.485
2018-5,12.511
2018-6,19.804
2018-7,16.379
2018-8,17.175
2018-9,23.361
2018-10,16.652
2018-11,16.687
2018-12,19.631
2019-1,27.345
2019-2,21.042
2019-3,24.23
2019-4,26.141
2019-5,33.989
2019-6,25.338
2019-7,22.608
2019-8,26.248
2019-9,22.584
2019-10,25.764
2019-11,31.724
2019-12,30.305
2020-1,32.796
2020-2,30.45
2020-3,31.898
2020-4,36.857
2020-5,25.193
2020-6,41.038
2020-7,42.834
2020-8,41.887
2020-9,43.115
2020-10,40.728
2020-11,26.384
2020-12,24.045
2021-1,25.413
2021-2,31.888
2021-3,35.942
2021-4,26.853
2021-5,29.121
2021-6,23.465
2021-7,29.359
2021-8,24.657
2021-9,27.078
2021-10,29.159
2021-11,27.211
2021-12,24.257
2022-1,22.521
2022-2,22.364
2022-3,27.237
2022-4,27.62
2022-5,20.505
2022-6,14.495
2022-7,18.839
2022-8,17.986
2022-9,26.938
2022-10,22.406
2022-11,25.151
2022-12,
