,Piauí - Produção de Cimento (t)
2003-1,24.654
2003-2,18.925
2003-3,20.817
2003-4,27.865
2003-5,26.858
2003-6,26.69
2003-7,26.125
2003-8,20.357
2003-9,28.324
2003-10,30.555
2003-11,30.566
2003-12,22.541
2004-1,17.909
2004-2,13.178
2004-3,17.377
2004-4,19.685
2004-5,16.439
2004-6,26.063
2004-7,26.294
2004-8,25.363
2004-9,24.703
2004-10,35.08
2004-11,25.97
2004-12,36.012
2005-1,28.394
2005-2,37.586
2005-3,28.463
2005-4,20.798
2005-5,39.743
2005-6,36.822
2005-7,37.768
2005-8,36.365
2005-9,32.58
2005-10,37.452
2005-11,37.008
2005-12,39.566
2006-1,33.001
2006-2,36.212
2006-3,25.386
2006-4,16.553
2006-5,23.564
2006-6,30.063
2006-7,19.381
2006-8,40.26
2006-9,18.631
2006-10,40.422
2006-11,25.491
2006-12,34.927
2007-1,25.988
2007-2,20.723
2007-3,24.676
2007-4,30.414
2007-5,26.541
2007-6,30.728
2007-7,39.225
2007-8,35.127
2007-9,38.896
2007-10,44.354
2007-11,46.94
2007-12,47.442
2008-1,44.474
2008-2,36.946
2008-3,35.686
2008-4,29.203
2008-5,37.97
2008-6,21.359
2008-7,48.774
2008-8,55.634
2008-9,42.51
2008-10,46.324
2008-11,50.379
2008-12,51.697
2009-1,41.131
2009-2,43.026
2009-3,35.755
2009-4,30.01
2009-5,45.746
2009-6,41.581
2009-7,54.249
2009-8,56.519
2009-9,55.72
2009-10,60.512
2009-11,62.945
2009-12,60.541
2010-1,45.918
2010-2,46.099
2010-3,49.763
2010-4,46.036
2010-5,56.369
2010-6,21.889
2010-7,61.764
2010-8,60.248
2010-9,63.877
2010-10,63.463
2010-11,53.668
2010-12,57.565
2011-1,58.605
2011-2,43.929
2011-3,44.407
2011-4,32.515
2011-5,45.177
2011-6,45.391
2011-7,57.05
2011-8,61.539
2011-9,51.906
2011-10,58.633
2011-11,52.751
2011-12,56.537
2012-1,60.85
2012-2,48.867
2012-3,57.169
2012-4,31.01
2012-5,63.07
2012-6,48.742
2012-7,59.345
2012-8,56.388
2012-9,57.884
2012-10,55.373
2012-11,56.952
2012-12,58.982
2013-1,37.668
2013-2,37.73
2013-3,47.929
2013-4,48.167
2013-5,49.918
2013-6,52.941
2013-7,62.913
2013-8,61.551
2013-9,59.364
2013-10,56.488
2013-11,59.661
2013-12,72.534
2014-1,51.229
2014-2,43.458
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,37.594
2017-2,34.909
2017-3,34.909
2017-4,26.853
2017-5,22.825
2017-6,21.482
2017-7,21.482
2017-8,20.14
2017-9,16.111
2017-10,16.112
2017-11,14.769
2017-12,12.084
2018-1,
2018-2,
2018-3,
2018-4,
2018-5,
2018-6,
2018-7,
2018-8,
2018-9,
2018-10,
2018-11,
2018-12,
2019-1,
2019-2,
2019-3,
2019-4,
2019-5,
2019-6,
2019-7,
2019-8,
2019-9,
2019-10,
2019-11,
2019-12,
2020-1,
2020-2,
2020-3,
2020-4,
2020-5,
2020-6,
2020-7,
2020-8,
2020-9,
2020-10,
2020-11,
2020-12,
2021-1,
2021-2,
2021-3,
2021-4,
2021-5,
2021-6,
2021-7,
2021-8,
2021-9,
2021-10,
2021-11,
2021-12,
2022-1,
2022-2,
2022-3,
2022-4,
2022-5,
2022-6,
2022-7,
2022-8,
2022-9,
2022-10,
2022-11,
2022-12,
