,Rio Grande Do Norte - Produção de Cimento (t)
2003-1,29.969
2003-2,27.337
2003-3,23.22
2003-4,17.967
2003-5,28.85
2003-6,23.158
2003-7,27.584
2003-8,29.686
2003-9,23.138
2003-10,32.751
2003-11,32.993
2003-12,32.997
2004-1,29.477
2004-2,20.118
2004-3,24.528
2004-4,26.508
2004-5,32.274
2004-6,29.352
2004-7,30.854
2004-8,31.283
2004-9,24.85
2004-10,28.658
2004-11,23.747
2004-12,32.392
2005-1,28.778
2005-2,22.4
2005-3,26.521
2005-4,27.836
2005-5,29.643
2005-6,28.999
2005-7,38.11
2005-8,31.761
2005-9,31.59
2005-10,32.312
2005-11,33.646
2005-12,33.412
2006-1,33.695
2006-2,27.942
2006-3,23.098
2006-4,25.167
2006-5,28.398
2006-6,32.783
2006-7,33.913
2006-8,37.433
2006-9,33.186
2006-10,32.883
2006-11,36.596
2006-12,32.633
2007-1,31.925
2007-2,32.398
2007-3,34.27
2007-4,23.26
2007-5,29.478
2007-6,31.524
2007-7,38.222
2007-8,41.532
2007-9,36.13
2007-10,48.348
2007-11,42.684
2007-12,48.603
2008-1,42.637
2008-2,35.484
2008-3,38.256
2008-4,27.312
2008-5,33.794
2008-6,40.112
2008-7,44.115
2008-8,39.178
2008-9,42.324
2008-10,37.038
2008-11,33.194
2008-12,37.016
2009-1,38.933
2009-2,32.401
2009-3,30.723
2009-4,28.884
2009-5,30.347
2009-6,35.272
2009-7,41.146
2009-8,44.622
2009-9,41.947
2009-10,42.779
2009-11,46.996
2009-12,47.141
2010-1,44.393
2010-2,39.347
2010-3,38.725
2010-4,40.008
2010-5,37.705
2010-6,39.935
2010-7,39.391
2010-8,35.584
2010-9,38.874
2010-10,39.004
2010-11,42.203
2010-12,28.071
2011-1,26.33
2011-2,30.929
2011-3,34.358
2011-4,43.176
2011-5,46.114
2011-6,53.303
2011-7,59.999
2011-8,68.299
2011-9,68.859
2011-10,69.766
2011-11,74.47
2011-12,82.322
2012-1,84.567
2012-2,81.392
2012-3,94.307
2012-4,88.225
2012-5,96.038
2012-6,101.993
2012-7,105.257
2012-8,114.128
2012-9,146.194
2012-10,127.092
2012-11,136.665
2012-12,116.748
2013-1,120.832
2013-2,102.762
2013-3,120.266
2013-4,124.326
2013-5,129.464
2013-6,128.779
2013-7,136.655
2013-8,131.838
2013-9,138.719
2013-10,140.674
2013-11,141.326
2013-12,128.676
2014-1,143.872
2014-2,126.783
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,95.517
2017-2,87.93
2017-3,106.725
2017-4,85.593
2017-5,92.88
2017-6,88.266
2017-7,90.399
2017-8,84.719
2017-9,78.832
2017-10,74.302
2017-11,68.117
2017-12,69.433
2018-1,58.188
2018-2,43.639
2018-3,47.641
2018-4,52.217
2018-5,43.845
2018-6,71.16
2018-7,75.416
2018-8,82.074
2018-9,80.405
2018-10,85.664
2018-11,91.98
2018-12,78.589
2019-1,72.401
2019-2,74.308
2019-3,56.222
2019-4,58.893
2019-5,62.771
2019-6,53.007
2019-7,69.404
2019-8,71.296
2019-9,71.6
2019-10,71.115
2019-11,70.246
2019-12,66.4
2020-1,74.019
2020-2,64.897
2020-3,51.506
2020-4,51.28
2020-5,67.292
2020-6,92.903
2020-7,99.963
2020-8,106.677
2020-9,109.758
2020-10,118.574
2020-11,120.168
2020-12,114.137
2021-1,113.945
2021-2,89.363
2021-3,111.711
2021-4,89.337
2021-5,90.763
2021-6,98.704
2021-7,111.579
2021-8,114.698
2021-9,104.462
2021-10,113.378
2021-11,102.417
2021-12,103.878
2022-1,76.984
2022-2,92.021
2022-3,92.896
2022-4,92.148
2022-5,86.246
2022-6,95.026
2022-7,93.289
2022-8,115.766
2022-9,99.123
2022-10,97.131
2022-11,100.674
2022-12,
