,Rondônia - Produção de Cimento (t)
2003-1,
2003-2,
2003-3,
2003-4,
2003-5,
2003-6,
2003-7,
2003-8,
2003-9,
2003-10,
2003-11,
2003-12,
2004-1,
2004-2,
2004-3,
2004-4,
2004-5,
2004-6,
2004-7,
2004-8,
2004-9,
2004-10,
2004-11,
2004-12,
2005-1,
2005-2,
2005-3,
2005-4,
2005-5,
2005-6,
2005-7,
2005-8,
2005-9,
2005-10,
2005-11,
2005-12,
2006-1,
2006-2,
2006-3,
2006-4,
2006-5,
2006-6,
2006-7,
2006-8,
2006-9,
2006-10,
2006-11,
2006-12,
2007-1,
2007-2,
2007-3,
2007-4,
2007-5,
2007-6,
2007-7,
2007-8,
2007-9,
2007-10,
2007-11,
2007-12,
2008-1,
2008-2,
2008-3,
2008-4,
2008-5,
2008-6,
2008-7,
2008-8,
2008-9,
2008-10,
2008-11,
2008-12,
2009-1,
2009-2,
2009-3,
2009-4,
2009-5,
2009-6,
2009-7,
2009-8,4.987
2009-9,19.503
2009-10,28.613
2009-11,29.67
2009-12,28.594
2010-1,24.913
2010-2,36.393
2010-3,48.304
2010-4,45.626
2010-5,53.553
2010-6,41.564
2010-7,44.204
2010-8,51.24
2010-9,46.913
2010-10,66.09
2010-11,56.507
2010-12,60.892
2011-1,61.49
2011-2,61.666
2011-3,42.554
2011-4,24.495
2011-5,51.379
2011-6,67.751
2011-7,70.625
2011-8,71.163
2011-9,67.946
2011-10,68.919
2011-11,55.842
2011-12,51.705
2012-1,52.38
2012-2,50.862
2012-3,40.043
2012-4,46.054
2012-5,61.397
2012-6,64.783
2012-7,67.04
2012-8,75.53
2012-9,64.197
2012-10,62.657
2012-11,67.455
2012-12,60.456
2013-1,49.842
2013-2,50.397
2013-3,56.674
2013-4,34.81
2013-5,54.706
2013-6,32.619
2013-7,53.205
2013-8,59.448
2013-9,43.058
2013-10,45.333
2013-11,43.138
2013-12,30.055
2014-1,38.013
2014-2,31.077
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,10.207
2017-2,11.824
2017-3,15.799
2017-4,13.402
2017-5,18.722
2017-6,17.142
2017-7,17.268
2017-8,21.106
2017-9,21.126
2017-10,21.381
2017-11,19.839
2017-12,18.629
2018-1,15.914
2018-2,14.295
2018-3,14.748
2018-4,14.127
2018-5,15.356
2018-6,21.159
2018-7,19.241
2018-8,27.086
2018-9,24.436
2018-10,22.452
2018-11,16.346
2018-12,16.235
2019-1,14.612
2019-2,10.751
2019-3,11.465
2019-4,11.705
2019-5,14.373
2019-6,15.534
2019-7,19.316
2019-8,17.759
2019-9,18.644
2019-10,17.273
2019-11,14.52
2019-12,13.027
2020-1,13.568
2020-2,12.361
2020-3,8.228
2020-4,13.524
2020-5,16.619
2020-6,17.429
2020-7,35.847
2020-8,38.386
2020-9,34.191
2020-10,41.999
2020-11,22.967
2020-12,18.535
2021-1,18.225
2021-2,16.417
2021-3,16.81
2021-4,16.879
2021-5,24.569
2021-6,25.423
2021-7,31.859
2021-8,28.06
2021-9,21.416
2021-10,14.8
2021-11,18.684
2021-12,15.784
2022-1,15.974
2022-2,13.78
2022-3,16.795
2022-4,15.748
2022-5,18.391
2022-6,21.842
2022-7,25.715
2022-8,24.244
2022-9,24.253
2022-10,24.361
2022-11,20.812
2022-12,
