,Santa Catarina - Produção de Cimento (t)
2003-1,27.924
2003-2,22.293
2003-3,24.535
2003-4,22.897
2003-5,27.046
2003-6,16.802
2003-7,23.766
2003-8,19.604
2003-9,20.773
2003-10,22.337
2003-11,19.44
2003-12,15.41
2004-1,17.573
2004-2,16.814
2004-3,19.753
2004-4,19.634
2004-5,16.82
2004-6,16.284
2004-7,17.423
2004-8,21.863
2004-9,20.333
2004-10,20.37
2004-11,22.929
2004-12,18.958
2005-1,13.839
2005-2,12.694
2005-3,16.08
2005-4,17.614
2005-5,15.891
2005-6,17.376
2005-7,17.657
2005-8,22.04
2005-9,17.571
2005-10,19.094
2005-11,20.958
2005-12,18.611
2006-1,17.517
2006-2,16.172
2006-3,19.359
2006-4,16.497
2006-5,19.215
2006-6,18.571
2006-7,19.371
2006-8,22.925
2006-9,19.958
2006-10,20.379
2006-11,18.033
2006-12,14.181
2007-1,16.774
2007-2,13.402
2007-3,17.395
2007-4,15.629
2007-5,14.937
2007-6,25.029
2007-7,20.467
2007-8,22.738
2007-9,25.811
2007-10,39.576
2007-11,37.494
2007-12,32.46
2008-1,33.417
2008-2,29.687
2008-3,29.621
2008-4,38.163
2008-5,31.919
2008-6,35.162
2008-7,40.583
2008-8,39.537
2008-9,37.659
2008-10,35.11
2008-11,23.716
2008-12,30.931
2009-1,31.449
2009-2,29.21
2009-3,37.823
2009-4,32.493
2009-5,37.168
2009-6,30.927
2009-7,29.584
2009-8,20.108
2009-9,15.756
2009-10,36.848
2009-11,34.441
2009-12,28.058
2010-1,27.74
2010-2,31.998
2010-3,38.831
2010-4,33.123
2010-5,36.514
2010-6,35.643
2010-7,41.632
2010-8,40.631
2010-9,42.304
2010-10,45.167
2010-11,40.458
2010-12,41.579
2011-1,38.517
2011-2,37.651
2011-3,36.111
2011-4,38.84
2011-5,41.141
2011-6,75.201
2011-7,88.352
2011-8,113.603
2011-9,101.54
2011-10,144.527
2011-11,133.196
2011-12,139.122
2012-1,127.205
2012-2,149.767
2012-3,161.029
2012-4,153.654
2012-5,182.37
2012-6,167.384
2012-7,159.169
2012-8,186.005
2012-9,183.67
2012-10,177.834
2012-11,182.713
2012-12,148.538
2013-1,134.434
2013-2,136.402
2013-3,138.518
2013-4,153.659
2013-5,150.608
2013-6,129.323
2013-7,151.447
2013-8,154.148
2013-9,154.958
2013-10,168.008
2013-11,174.432
2013-12,137.381
2014-1,141.352
2014-2,162.582
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,96.99
2017-2,103.776
2017-3,121.014
2017-4,111.038
2017-5,125.046
2017-6,108.865
2017-7,140.967
2017-8,142.174
2017-9,131.684
2017-10,109.632
2017-11,117.719
2017-12,110.398
2018-1,103.074
2018-2,103.77
2018-3,118.501
2018-4,116.659
2018-5,92.316
2018-6,138.711
2018-7,118.558
2018-8,127.548
2018-9,110.093
2018-10,105.171
2018-11,119.338
2018-12,112.636
2019-1,116.923
2019-2,120.793
2019-3,117.181
2019-4,133.995
2019-5,127.064
2019-6,122.019
2019-7,140.7
2019-8,139.833
2019-9,121.898
2019-10,132.218
2019-11,120.161
2019-12,110.475
2020-1,119.714
2020-2,121.091
2020-3,89.413
2020-4,124.859
2020-5,134.525
2020-6,131.268
2020-7,149.836
2020-8,175.657
2020-9,173.249
2020-10,174.237
2020-11,178.566
2020-12,123.446
2021-1,128.497
2021-2,135.71
2021-3,159.603
2021-4,145.776
2021-5,175.997
2021-6,179.472
2021-7,192.119
2021-8,190.242
2021-9,176.218
2021-10,177.715
2021-11,156.85
2021-12,164.527
2022-1,153.802
2022-2,160.967
2022-3,177.597
2022-4,153.039
2022-5,167.952
2022-6,169.892
2022-7,174.986
2022-8,175.057
2022-9,142.04
2022-10,159.737
2022-11,164.222
2022-12,
