,anhã-03o - Produção de Cimento (t)
2003-1,28.018
2003-2,14.332
2003-3,14.467
2003-4,14.994
2003-5,19.965
2003-6,19.559
2003-7,21.393
2003-8,22.299
2003-9,22.109
2003-10,26.037
2003-11,23.311
2003-12,27.948
2004-1,23.401
2004-2,12.509
2004-3,18.029
2004-4,21.014
2004-5,21.853
2004-6,22.068
2004-7,28.041
2004-8,26.358
2004-9,30.175
2004-10,33.527
2004-11,31.51
2004-12,33.829
2005-1,27.464
2005-2,22.807
2005-3,25.005
2005-4,26.929
2005-5,25.392
2005-6,29.634
2005-7,25.665
2005-8,25.76
2005-9,25.28
2005-10,25.309
2005-11,23.141
2005-12,25.603
2006-1,31.318
2006-2,30.013
2006-3,22.024
2006-4,18.442
2006-5,21.419
2006-6,20.294
2006-7,26.159
2006-8,29.17
2006-9,28.757
2006-10,27.111
2006-11,28.251
2006-12,32.855
2007-1,27.715
2007-2,19.842
2007-3,27.622
2007-4,17.028
2007-5,25.589
2007-6,22.944
2007-7,30.15
2007-8,28.77
2007-9,29.54
2007-10,32.932
2007-11,35.909
2007-12,37.656
2008-1,26.981
2008-2,22.654
2008-3,22.015
2008-4,24.179
2008-5,30.55
2008-6,35.178
2008-7,37.646
2008-8,38.176
2008-9,31.85
2008-10,32.527
2008-11,30.294
2008-12,25.43
2009-1,32.362
2009-2,21.4
2009-3,31.658
2009-4,23.581
2009-5,26.54
2009-6,31.301
2009-7,32.23
2009-8,26.126
2009-9,29.231
2009-10,35.526
2009-11,31.666
2009-12,36.268
2010-1,32.659
2010-2,28.5
2010-3,28.939
2010-4,21.776
2010-5,28.584
2010-6,36.115
2010-7,36.747
2010-8,38.086
2010-9,36.903
2010-10,35.998
2010-11,27.388
2010-12,32.05
2011-1,27.594
2011-2,25.929
2011-3,29.639
2011-4,26.205
2011-5,31.429
2011-6,32.134
2011-7,33.47
2011-8,36.521
2011-9,35.314
2011-10,35.41
2011-11,36.871
2011-12,34.538
2012-1,56.166
2012-2,55.157
2012-3,50.449
2012-4,53.536
2012-5,58.473
2012-6,61.671
2012-7,62.795
2012-8,79.055
2012-9,77.98
2012-10,77.447
2012-11,76.637
2012-12,76.545
2013-1,65.953
2013-2,51.135
2013-3,60.287
2013-4,51.626
2013-5,54.324
2013-6,64.317
2013-7,62.296
2013-8,85.407
2013-9,82.014
2013-10,82.643
2013-11,80.123
2013-12,84.617
2014-1,72.151
2014-2,64.676
2014-3,
2014-4,
2014-5,
2014-6,
2014-7,
2014-8,
2014-9,
2014-10,
2014-11,
2014-12,
2015-1,
2015-2,
2015-3,
2015-4,
2015-5,
2015-6,
2015-7,
2015-8,
2015-9,
2015-10,
2015-11,
2015-12,
2016-1,
2016-2,
2016-3,
2016-4,
2016-5,
2016-6,
2016-7,
2016-8,
2016-9,
2016-10,
2016-11,
2016-12,
2017-1,45.44
2017-2,39.982
2017-3,39.748
2017-4,35.167
2017-5,39.035
2017-6,39.16
2017-7,41.316
2017-8,43.178
2017-9,33.065
2017-10,40.935
2017-11,34.703
2017-12,36.07
2018-1,29.636
2018-2,21.765
2018-3,19.525
2018-4,19.254
2018-5,21.679
2018-6,30.005
2018-7,26.497
2018-8,29.465
2018-9,30.985
2018-10,31.202
2018-11,31.051
2018-12,24.275
2019-1,28.677
2019-2,17.926
2019-3,24.21
2019-4,16.284
2019-5,18.799
2019-6,29.19
2019-7,25.891
2019-8,26.161
2019-9,20.719
2019-10,27.854
2019-11,31.437
2019-12,31.173
2020-1,23.047
2020-2,20.221
2020-3,21.859
2020-4,13.511
2020-5,29.056
2020-6,33.086
2020-7,39.177
2020-8,38.904
2020-9,39.16
2020-10,36.637
2020-11,22.927
2020-12,22.316
2021-1,24.005
2021-2,23.046
2021-3,20.204
2021-4,27.055
2021-5,29.11
2021-6,30.841
2021-7,36.589
2021-8,35.566
2021-9,30.926
2021-10,33.373
2021-11,28.278
2021-12,36.657
2022-1,21.679
2022-2,25.862
2022-3,30.048
2022-4,27.296
2022-5,23.577
2022-6,37.837
2022-7,29.978
2022-8,34.701
2022-9,37.58
2022-10,33.576
2022-11,38.146
2022-12,
