Ano,Rondônia - Consumo de Cimento (t),Acre - Consumo de Cimento (t),Amazonas - Consumo de Cimento (t),Roraima - Consumo de Cimento (t),Pará - Consumo de Cimento (t),Amapá - Consumo de Cimento (t),Totins-01 - Consumo de Cimento (t),Mahão -01- Consumo de Cimento (t),Piauí - Consumo de Cimento (t),Ceará - Consumo de Cimento (t),Rio Gde D-01o Norte - Consumo de Cimento (t),Paraíba - Consumo de Cimento (t),Pernambuco - Consumo de Cimento (t),Alas --08 Consumo de Cimento (t),Sergipe - Consumo de Cimento (t),Bahia - Consumo de Cimento (t),Minas Gerais - Consumo de Cimento (t),Espírito to --01 Consumo de Cimento (t),Rio De eiro-01 - Consumo de Cimento (t),São Paulo - Consumo de Cimento (t),Paá - -01Consumo de Cimento (t),ta C-01atarina - Consumo de Cimento (t),Rio Gde D-01o Sul - Consumo de Cimento (t),Mato Grosso - Consumo de Cimento (t),Mato Grosso Do Sul - Consumo de Cimento (t),Goiás - Consumo de Cimento (t),Distrito Federal - Consumo de Cimento (t)
2003-01,13.867,3.26,28.193,6.92,84.701,10.392,17.555,43.342,21.844,81.265,36.825,38.426,99.743,30.109,23.616,151.297,247.134,48.426,254.362,782.111,189.804,142.456,188.093,47.47,33.744,97.447,50.047
2003-02,10.777,2.191,31.226,7.476,80.221,6.857,14.976,28.663,15.814,65.2,34.088,31.672,86.997,27.684,21.357,138.707,305.708,54.969,252.842,789.891,174.713,135.829,170.973,45.387,32.23,97.256,48.11
2003-03,13.888,2.154,33.484,8.659,76.122,7.011,13.334,27.9,16.067,55.165,30.15,28.775,83.033,26.534,20.059,135.009,284.168,53.847,229.385,774.309,180.801,133.135,174.88,44.907,33.559,101.442,49.006
2003-04,11.859,2.643,31.596,7.259,76.544,7.122,15.173,25.739,14.938,53.928,31.224,28.571,82.302,25.109,19.92,126.554,286.594,50.375,243.407,782.071,180.172,144.723,178.111,45.467,34.283,98.217,48.445
2003-05,14.431,2.546,32.919,6.786,83.445,5.267,18.728,30.203,17.765,65.334,33.606,31.613,80.217,25.171,19.962,137.331,312.455,52.576,256.535,841.4,185.597,150.523,184.331,56.246,36.066,112.54,51.436
2003-06,12.653,3.04,32.198,5.555,82.978,5.539,18.887,37.59,17.561,64.323,28.825,26.158,67.24,22.645,16.202,118.68,299.651,51.603,243.236,757.875,169.008,128.735,160.74,56.126,35.697,109.189,51.884
2003-07,15.269,4.963,37.274,5.06,93.037,7.714,20.089,42.741,21.26,80.404,35.809,32.996,83.181,24.689,20.057,131.291,340.885,57.26,269.774,857.128,191.857,154.768,175.805,66.358,40.248,118.633,57.034
2003-08,18.397,2.924,37.605,5.241,89.827,7.74,22.678,42.427,20.367,78.62,34.046,31.318,82.075,23.364,19.484,131.406,322.275,54.309,243.189,785.016,180.591,142.558,179.478,63.712,36.262,115.594,52.525
2003-09,22.262,5.276,38.386,4.794,93.27,6.882,24.584,42.993,21.737,79.494,34.492,34.517,85.846,26.382,21.679,147.495,345.219,56.559,264.695,827.22,176.074,144.182,177.581,66.987,34.63,122.029,55.603
2003-10,18.333,5.262,39.519,5.781,100.67,7.066,26.564,51.235,23.881,85.605,35.487,36.194,90.177,26.634,20.556,154.944,352.678,55.945,268.955,853.721,191.866,152.08,190.158,67.214,36.875,126.095,60.077
2003-11,18.156,5.041,39.614,5.236,92.924,5.797,22.246,47.963,23.709,84.457,35.133,33.993,86.905,27.789,19.39,142.678,295.72,51.371,247.368,766.03,172.099,139.013,166.277,57.793,33.128,112.663,55.04
2003-12,15.494,4.303,36.333,5.516,98.571,7.706,24.679,49.93,23.943,94.777,38.58,38.522,86.156,30.032,23.029,142.702,270.978,47.913,247.521,711.279,165.917,119.17,156.573,50.908,30.87,100.83,56.634
2004-01,13.42,4.105,34.293,5.753,110.204,10.0,19.115,42.076,18.413,75.575,32.845,31.891,76.341,24.166,19.642,129.857,249.68,48.646,256.494,706.731,185.712,135.344,174.261,51.972,36.256,93.66,46.442
