Ano,Acre- custo m2 (R$)
2003-1,10254.061199999998
2003-2,10335.111969230767
2003-3,10411.052709971507
2003-4,10486.231638542935
2003-5,10566.989914405005
2003-6,10631.423914405004
2003-7,10694.3210111792
2003-8,10753.1338236792
2003-9,10810.976247921624
2003-10,10868.405953803978
2003-11,10923.642810946836
2003-12,10975.839477613503
2004-1,11027.622450586474
2004-2,11077.216924270684
2004-3,11124.350514014273
2004-4,11167.757514014274
2004-5,11210.658245721592
2004-6,11253.160388578734
2004-7,11293.726667648501
2004-8,11336.918031284866
2004-9,11379.201586840421
2004-10,11420.03897814477
2004-11,11460.08557388945
2004-12,11499.503907222781
2005-1,11535.858192937067
2005-2,11598.504866262316
2005-3,11660.425537630308
2005-4,11721.061105541708
2005-5,11781.35313548046
2005-6,11834.240344073838
2005-7,11897.931903862998
2005-8,11960.847228203482
2005-9,12025.27342013255
2005-10,12089.403974667464
2005-11,12152.543322032028
2005-12,12215.672516135804
2006-1,12279.958292432182
2006-2,12343.920656551481
2006-3,12409.307875577619
2006-4,12477.637413568707
2006-5,12562.940676824925
2006-6,12652.160930520908
2006-7,12744.217880356462
2006-8,12840.53443571785
2006-9,12935.421913359338
2006-10,13031.64130777809
2006-11,13131.722783893058
2006-12,13233.599869811498
2007-1,13336.860399660249
2007-2,13441.500036532147
2007-3,13547.25871347643
2007-4,13655.797349718188
2007-5,13782.9164567422
2007-6,13911.207136767947
2007-7,14040.028703965789
2007-8,14157.924761110744
2007-9,14274.882669945584
2007-10,14392.107960758094
2007-11,14509.864164555864
2007-12,14629.247855219617
2008-1,14750.131229486633
2008-2,14871.406391467335
2008-3,14993.976916669699
2008-4,15116.515264447089
2008-5,15239.13624099563
2008-6,15349.357783121559
2008-7,15469.481188276675
2008-8,15588.426357826065
2008-9,15705.261295011951
2008-10,15817.334751780369
2008-11,15930.742373086541
2008-12,16041.699711641506
2009-1,16151.672565556408
2009-2,16262.029956697144
2009-3,16372.41546527194
2009-4,16494.23886836981
2009-5,16616.268695281065
2009-6,16721.759761373694
2009-7,16840.928794528914
2009-8,16959.82144943837
2009-9,17079.75485124097
2009-10,17203.94714065516
2009-11,17328.52875657143
2009-12,17453.618442122766
2010-1,17577.1135561412
2010-2,17703.540338317824
2010-3,17832.021439273954
2010-4,17959.523980551596
2010-5,18087.770280880253
2010-6,18214.99791434729
2010-7,18340.833835392714
2010-8,18470.618379211406
2010-9,18599.413114341718
2010-10,18729.071314736204
2010-11,18860.72614255163
2010-12,18993.383158254997
2011-1,19127.05077961446
2011-2,19263.71666153401
2011-3,19397.628226938843
2011-4,19535.131344523885
2011-5,19635.053027710703
2011-6,19772.306993678652
2011-7,19880.74612086855
2011-8,19974.15035201834
2011-9,20068.068696968952
2011-10,20165.27367341238
2011-11,20260.74727612171
2011-12,20357.05724590845
2012-1,20455.647629659175
2012-2,20555.486896465667
2012-3,20652.668867040113
2012-4,20748.878610463915
2012-5,20846.006868217224
2012-6,20937.653125101653
2012-7,21046.080578382353
2012-8,21156.548879259695
2012-9,21248.3772568117
2012-10,21341.48325971925
2012-11,21434.00105451482
2012-12,21522.389113942645
2013-1,21608.15943956892
2013-2,21691.039004057788
2013-3,21772.23680696644
2013-4,21854.013308599653
2013-5,21931.90130786651
2013-6,22053.88249725744
2013-7,22134.923834065175
2013-8,22242.786440456937
2013-9,22352.920034098544
2013-10,22465.960673631802
2013-11,22574.791020575056
2013-12,22677.72375005369
2014-1,22780.87367870972
2014-2,22883.559108282174
2014-3,22982.297112604963
2014-4,23081.840342106283
2014-5,23181.333030507154
2014-6,23297.315605247764
2014-7,23419.514023209926
2014-8,23525.195318002327
2014-9,23622.8764698134
2014-10,23721.631147629767
2014-11,23820.44722697487
2014-12,23918.185924372025
2015-1,24020.189532748125
2015-2,24121.142391792604
2015-3,24225.87470582801
2015-4,24327.200581314977
2015-5,24428.819709329575
2015-6,24543.9211052778
2015-7,24640.000872788423
2015-8,24739.90366949706
2015-9,24841.620959885633
2015-10,24943.588121636392
2015-11,25043.907661391582
2015-12,25146.278205081715
2016-1,25253.810540898616
2016-2,25359.432721759615
2016-3,25465.442999585688
2016-4,25575.729038095502
2016-5,25683.902072707522
2016-6,25791.05286948712
2016-7,25889.381793247114
2016-8,25985.86991100297
2016-9,26084.010821064207
2016-10,26189.385195579525
2016-11,26300.05466594585
2016-12,26412.900532047297
2017-1,26523.358177101894
2017-2,26631.8728433132
2017-3,26741.50734232382
2017-4,26849.69066143598
2017-5,26961.866173275186
2017-6,27085.179978661832
2017-7,27192.324241383958
2017-8,27302.030024416516
2017-9,27410.18076635365
2017-10,27516.873823628503
2017-11,27623.14781754671
2017-12,27729.090677876404
2018-1,27834.242360994667
2018-2,27941.31403079254
2018-3,28049.445281997294
2018-4,28154.26981837305
2018-5,28260.792079195035
2018-6,28366.67840585805
2018-7,28478.682804559496
2018-8,28587.91731499444
2018-9,28711.390527320793
2018-10,28842.446439693376
2018-11,28986.864016103867
2018-12,29137.429308964234
2019-1,29295.875610533967
2019-2,29463.70351733871
2019-3,29631.379245380038
2019-4,29805.548059728124
2019-5,29986.7639249994
2019-6,30176.477960748874
2019-7,30375.074858342483
2019-8,30581.002421953883
2019-9,30806.80206271995
2019-10,31041.938619788656
2019-11,31282.201166649065
2019-12,31526.124092140948
2020-1,31777.11518222798
2020-2,32028.3460561307
2020-3,32293.561607668213
2020-4,32573.734389824764
2020-5,32886.797748425815
2020-6,33212.97602738971
2020-7,33547.71046864546
2020-8,33885.411441381904
2020-9,34230.8596888592
2020-10,34567.809467666106
2020-11,34900.59708048188
2020-12,35220.516530775305
2021-1,35528.82157611839
2021-2,35834.36924888542
2021-3,36135.741814835346
2021-4,36440.22003053852
2021-5,36748.758029942815
2021-6,37071.878725962066
2021-7,37387.853435456214
2021-8,37687.941569683026
2021-9,37988.74808290199
2021-10,38143.00733504957
2021-11,38293.06022973703
2021-12,38445.25586653757
2022-1,38597.91959189167
2022-2,38748.215137381565
2022-3,38904.59570060557
2022-4,39050.724267118494
2022-5,39184.46778283587
2022-6,39284.63247826701
2022-7,39369.31655337328
2022-8,39446.92478069173
2022-9,39515.43418934043
2022-10,39567.8313751688
2022-11,39612.9837546737
2022-12,39650.15641434622
2023-1,39683.17993852553
2023-2,39714.60644792967
2023-3,39731.07011396109
2023-4,39739.902394397315
2023-5,39738.391868819934
2023-6,39713.36350123769
2023-7,39639.488252219664
2023-8,39545.723370257474
2023-9,39429.13917709075
