Ano,Amapá- custo m2 (R$)
2003-1,10518.903600000001
2003-2,10623.124753846154
2003-3,10723.38845754986
2003-4,10817.83452897843
2003-5,10909.780391047396
2003-6,10995.670391047395
2003-7,11073.322326531266
2003-8,11148.308889031267
2003-9,11219.100404182782
2003-10,11287.173345359251
2003-11,11352.447916787823
2003-12,11421.16847234338
2004-1,11486.806039910945
2004-2,11548.085250437263
2004-3,11607.390891462903
2004-4,11664.231641462904
2004-5,11721.075787804366
2004-6,11777.391263994841
2004-7,11831.244752366934
2004-8,11882.4261160033
2004-9,11931.200338225523
2004-10,11979.53512083422
2004-11,12025.545546366133
2004-12,12080.448879699465
2005-1,12133.649287862732
2005-2,12214.286546798705
2005-3,12285.45780787937
2005-4,12354.057590539156
2005-5,12421.132346897535
2005-6,12486.366876608763
2005-7,12551.518437538589
2005-8,12616.478970416289
2005-9,12682.82999248537
2005-10,12750.082228981344
2005-11,12818.765471504243
2005-12,12888.284197110701
2006-1,12959.850436391665
2006-2,13031.603179176987
2006-3,13104.978647110449
2006-4,13179.4096217155
2006-5,13255.118764169636
2006-6,13330.042498381174
2006-7,13405.171911327834
2006-8,13480.36328191887
2006-9,13561.68465265184
2006-10,13645.945761109522
2006-11,13731.45312111514
2006-12,13831.091438967162
2007-1,13918.529858544052
2007-2,14005.487421211019
2007-3,14093.200500280658
2007-4,14180.195453186807
2007-5,14267.202552424513
2007-6,14356.382964782208
2007-7,14445.52125229595
2007-8,14536.901717903242
2007-9,14627.879324994816
2007-10,14717.479107290925
2007-11,14807.76088031765
2007-12,14898.805480497516
2008-1,15000.082037301328
2008-2,15096.161457728058
2008-3,15193.157749127058
2008-4,15288.83568998454
2008-5,15383.76703831656
2008-6,15478.938227584867
2008-7,15575.1652832829
2008-8,15670.834739853412
2008-9,15767.66966756636
2008-10,15859.050586238085
2008-11,15948.551909199894
2008-12,16038.426782426113
2009-1,16115.577911884457
2009-2,16192.30909664651
2009-3,16268.193416553355
2009-4,16343.119802599735
2009-5,16418.368258710205
2009-6,16493.65510985889
2009-7,16567.70841894209
2009-8,16640.599789689968
2009-9,16712.835056461132
2009-10,16788.675377511463
2009-11,16864.550811597594
2009-12,16942.685504072695
2010-1,17038.52366781913
2010-2,17126.203701095
2010-3,17213.266604020857
2010-4,17298.083723508487
2010-5,17383.444703784484
2010-6,17469.072411243014
2010-7,17554.16514968502
2010-8,17644.425555121794
2010-9,17735.026184004822
2010-10,17826.459582299485
2010-11,17917.618949566044
2010-12,18008.2154197776
2011-1,18111.882330743956
2011-2,18215.181196434965
2011-3,18317.15634132861
2011-4,18419.84191122198
2011-5,18500.37930119386
2011-6,18606.07952655067
2011-7,18686.896351381118
2011-8,18769.12202347171
2011-9,18852.566354773375
2011-10,18938.94536086138
2011-11,19027.952095215463
2011-12,19120.063549983173
2012-1,19222.61697949155
2012-2,19307.54561850527
2012-3,19400.184024983035
2012-4,19490.708870308794
2012-5,19583.369995753696
2012-6,19675.500920079598
2012-7,19767.474154953816
2012-8,19859.761481591955
2012-9,19945.842418866858
2012-10,20030.24030121098
2012-11,20115.96235669897
2012-12,20197.511201742498
2013-1,20298.067034027496
2013-2,20385.03590552308
2013-3,20470.843348565693
2013-4,20558.121654835835
2013-5,20642.151649603467
2013-6,20750.030064877134
2013-7,20833.37497382257
2013-8,20943.090047749945
2013-9,21053.35429314338
2013-10,21163.947312293785
2013-11,21273.621841914857
2013-12,21396.34040817403
2014-1,21518.566874667722
2014-2,21620.160750079478
2014-3,21722.34228337691
2014-4,21814.457145793112
2014-5,21910.203437129527
2014-6,22001.689629810662
2014-7,22092.474297356202
2014-8,22184.648585976658
2014-9,22276.438730964095
2014-10,22369.553349578324
2014-11,22465.255452606234
2014-12,22557.454495379854
2015-1,22667.618848311224
2015-2,22759.48133431702
2015-3,22851.30552674138
2015-4,22942.836795683746
2015-5,23035.63710468064
2015-6,23129.502318049563
2015-7,23220.502976277574
2015-8,23312.439057960328
2015-9,23403.052711229924
2015-10,23493.212474864347
2015-11,23583.862172059664
2015-12,23671.217076756493
2016-1,23742.554151625525
2016-2,23812.938789930784
2016-3,23885.967321356322
2016-4,23957.248852743658
2016-5,24027.814397783466
2016-6,24098.77870310293
2016-7,24171.26582704767
2016-8,24245.367899082194
2016-9,24319.032783023118
2016-10,24397.05960041208
2016-11,24487.041768796444
2016-12,24576.8069997391
2017-1,24665.08358146072
2017-2,24738.929596422953
2017-3,24810.484050751646
2017-4,24891.603204302875
2017-5,24977.38864121347
2017-6,25064.57357053046
2017-7,25152.95890221375
2017-8,25240.735961926734
2017-9,25325.896510987273
2017-10,25413.808629349667
2017-11,25504.242224339163
2017-12,25594.635286630582
2018-1,25686.187903158625
2018-2,25774.48022461848
2018-3,25873.80372328558
2018-4,25984.025282508628
2018-5,26097.843985156887
2018-6,26215.79989510329
2018-7,26337.14542963391
2018-8,26464.869299074446
2018-9,26597.13647050285
2018-10,26735.41593351265
2018-11,26879.138919902452
2018-12,27020.499065843393
2019-1,27166.040128416953
2019-2,27328.144547742584
2019-3,27506.47444470829
2019-4,27690.620779278834
2019-5,27867.870933870185
2019-6,28055.346286781547
2019-7,28259.8385871132
2019-8,28470.47878476421
2019-9,28695.348842373136
2019-10,28931.95031852387
2019-11,29173.648924425386
2019-12,29418.419673406737
2020-1,29661.003640483796
2020-2,29941.708451449624
2020-3,30231.91494587474
2020-4,30517.85864429493
2020-5,30809.66850882118
2020-6,31111.502274610248
2020-7,31417.1272211308
2020-8,31726.192767896042
2020-9,32036.81508358628
2020-10,32347.266892016545
2020-11,32655.1734421901
2020-12,32964.361901828626
2021-1,33265.58481684873
2021-2,33581.364504367746
2021-3,33887.69429940091
2021-4,34184.367153578314
2021-5,34481.466671421156
2021-6,34783.94066606506
2021-7,35077.605653397375
2021-8,35359.88089964807
2021-9,35643.14686117631
2021-10,35793.81321284256
2021-11,35940.82376831407
2021-12,36086.930694666305
2022-1,36232.69162168688
2022-2,36387.697067207104
2022-3,36506.05371099698
2022-4,36619.84305566648
2022-5,36728.897871935704
2022-6,36827.91305281196
2022-7,36914.28904847898
2022-8,36994.84617679022
2022-9,37067.24211153845
2022-10,37132.37236541319
2022-11,37192.34658937918
2022-12,37248.21687574883
2023-1,37288.28299240547
2023-2,37324.574903904286
2023-3,37329.377333047545
2023-4,37322.44101193735
2023-5,37300.779455740674
2023-6,37265.02060717139
2023-7,37205.24951636686
2023-8,37124.79003095672
2023-9,37013.68839744734
