Ano,Amazonas- custo m2 (R$)
2003-1,11283.6948
2003-2,11377.1348
2003-3,11466.977022222221
2003-4,11551.599522222221
2003-5,11632.378832567048
2003-6,11713.338499233714
2003-7,11802.026241169198
2003-8,11873.959678669198
2003-9,11944.116042305564
2003-10,12011.803101129091
2003-11,12079.190243986235
2003-12,12144.236632875123
2004-1,12207.648254496746
2004-2,12269.981675549376
2004-3,12326.33988067758
2004-4,12380.236130677582
2004-5,12430.584667262949
2004-6,12479.610619643901
2004-7,12532.667596388086
2004-8,12582.867141842631
2004-9,12632.472475175966
2004-10,12678.769866480312
2004-11,12722.526674990952
2004-12,12763.680633324286
2005-1,12802.626143528367
2005-2,12867.448007682005
2005-3,12929.891746614294
2005-4,12991.079394050865
2005-5,13051.556126129004
2005-6,13111.685866813938
2005-7,13175.233976356392
2005-8,13231.468011768375
2005-9,13287.908385913259
2005-10,13344.627617415457
2005-11,13403.690158564157
2005-12,13461.039544575951
2006-1,13519.868991753516
2006-2,13577.32778230978
2006-3,13634.49831510081
2006-4,13692.599711721692
2006-5,13752.94856031443
2006-6,13815.004354050172
2006-7,13892.709328221727
2006-8,13969.58528193262
2006-9,14053.387488873232
2006-10,14142.790856499705
2006-11,14232.649448132755
2006-12,14323.288892482587
2007-1,14416.24620389398
2007-2,14510.474368391238
2007-3,14605.57204922204
2007-4,14703.352667642608
2007-5,14799.926816083253
2007-6,14896.718462817014
2007-7,15001.606679061973
2007-8,15101.692652586578
2007-9,15203.74703301144
2007-10,15307.397413564464
2007-11,15410.823940016486
2007-12,15512.34013963796
2008-1,15617.51158035351
2008-2,15721.192449508615
2008-3,15828.05254475757
2008-4,15936.402426995463
2008-5,16045.0161558786
2008-6,16154.155902726852
2008-7,16263.93858739372
2008-8,16365.617755948253
2008-9,16463.757398275102
2008-10,16557.295967854734
2008-11,16647.44627624973
2008-12,16738.18968090518
2009-1,16827.858676587275
2009-2,16916.248931132035
2009-3,17004.372901800216
2009-4,17090.30291919977
2009-5,17174.739659027466
2009-6,17261.104206842654
2009-7,17361.921262843174
2009-8,17454.062376797894
2009-9,17546.755840557307
2009-10,17638.363571323553
2009-11,17729.25879903292
2009-12,17820.049306359786
2010-1,17911.134391394928
2010-2,17999.60893855904
2010-3,18089.700499560066
2010-4,18177.395968025423
2010-5,18265.338489270933
2010-6,18355.047312401388
2010-7,18442.826320762095
2010-8,18538.389743892058
2010-9,18625.47672323785
2010-10,18711.04507680852
2010-11,18792.769548419823
2010-12,18871.815533566147
2011-1,18949.72422443678
2011-2,19030.070460107177
2011-3,19110.541307637286
2011-4,19194.428826123753
2011-5,19253.17159973445
2011-6,19331.754292401936
2011-7,19385.549396188864
2011-8,19436.1732356449
2011-9,19486.84325317239
2011-10,19538.47993506249
2011-11,19589.177615955123
2011-12,19640.55636732088
2012-1,19692.377123667025
