Ano,Bahia- custo m2 (R$)
2003-1,10915.348399999999
2003-2,11028.2184
2003-3,11133.335807407406
2003-4,11215.137235978837
2003-5,11294.955511840906
2003-6,11370.077511840906
2003-7,11446.78847958284
2003-8,11520.931604582842
2003-9,11592.619786401023
2003-10,11662.28802169514
2003-11,11730.378593123713
2003-12,11797.556093123712
2004-1,11863.29420123182
2004-2,11933.271832810768
2004-3,11989.997473836407
2004-4,12045.285223836408
2004-5,12098.86229700714
2004-6,12151.173487483331
2004-7,12201.957673529843
2004-8,12250.834491711661
2004-9,12296.629825044993
2004-10,12341.099607653689
2004-11,12382.024075738793
2004-12,12421.230325738796
2005-1,12458.725835942878
2005-2,12527.670885655996
2005-3,12594.63154862857
2005-4,12660.878604571857
2005-5,12725.93087740029
2005-6,12790.894048125987
2005-7,12856.130303968543
2005-8,12918.832177935597
2005-9,12982.271373310141
2005-10,13047.20507916543
2005-11,13112.2656313587
2005-12,13176.61189744513
2006-1,13240.899566921074
2006-2,13305.835390710654
2006-3,13374.230973524936
2006-4,13442.367371477761
2006-5,13510.108027552076
2006-6,13578.598144501975
2006-7,13649.365586481945
2006-8,13723.664931644234
2006-9,13801.861471234695
2006-10,13882.911504830403
2006-11,13965.09868640544
2006-12,14047.637964174146
2007-1,14130.611385366703
2007-2,14215.55455984474
2007-3,14311.322185848592
2007-4,14400.153015179614
2007-5,14489.034533763443
2007-6,14577.006445117797
2007-7,14663.97690219926
2007-8,14751.104996040704
2007-9,14838.928318859173
2007-10,14926.4011136663
2007-11,15012.547155186723
2007-12,15098.958614856685
2008-1,15186.80691521202
2008-2,15275.275024360817
2008-3,15374.524404639393
2008-4,15466.08386241724
2008-5,15558.133790803757
2008-6,15649.925132910936
2008-7,15741.85098981724
2008-8,15832.114569477142
2008-9,15919.82211310639
2008-10,16004.201922124179
2008-11,16087.08315513017
2008-12,16169.624266736799
2009-1,16252.324395360527
2009-2,16335.139150666524
2009-3,16416.938019866968
2009-4,16500.527322602036
2009-5,16584.551083978004
2009-6,16669.014278880342
2009-7,16753.313418344886
2009-8,16838.053347245816
2009-9,16922.405558494902
2009-10,17007.157747058893
2009-11,17091.95135182201
2009-12,17176.717968079873
2010-1,17262.225505900755
2010-2,17348.02404856787
2010-3,17436.323824572097
2010-4,17517.862180080927
2010-5,17599.18500289039
2010-6,17680.28053783093
2010-7,17762.668607319094
2010-8,17843.984477064027
2010-9,17923.80529150458
2010-10,18003.69229514536
2010-11,18083.68597622742
2010-12,18163.590319515126
2011-1,18242.536361408558
2011-2,18322.439666838112
2011-3,18400.334371249777
2011-4,18491.31592944126
2011-5,18543.069370397163
2011-6,18619.716274201637
2011-7,18668.136314922478
2011-8,18717.44494546488
2011-9,18765.53844746935
2011-10,18815.546465611686
2011-11,18865.208276194393
2011-12,18914.834131793832
2012-1,18967.149155543095
2012-2,19019.41902594396
2012-3,19074.1087193598
2012-4,19135.095553947303
2012-5,19190.663990148656
2012-6,19245.823153153928
2012-7,19299.237696323788
2012-8,19350.49869814021
2012-9,19401.1042944887
2012-10,19452.0365190394
2012-11,19501.75987054744
2012-12,19552.5877051254
2013-1,19602.54459054602
2013-2,19654.64190134474
2013-3,19704.27766123263
2013-4,19768.778136538403
2013-5,19818.973283622017
2013-6,19895.621322667426
2013-7,19945.978976717746
2013-8,20023.477194305404
2013-9,20103.42336264909
2013-10,20184.49366704051
2013-11,20263.038099722733
2013-12,20340.66666754984
2014-1,20426.599576442823
2014-2,20511.06795237955
2014-3,20591.5099712864
2014-4,20682.43754785633
2014-5,20766.37738446672
2014-6,20850.385821085452
2014-7,20935.18342655344
2014-8,21021.66007410915
2014-9,21108.617040965662
2014-10,21196.72546436315
2014-11,21285.180748961597
2014-12,21371.80219545984
2015-1,21459.386572813604
2015-2,21547.33620510478
2015-3,21633.96874191621
2015-4,21724.195702746492
2015-5,21810.65381634257
2015-6,21898.022602724624
2015-7,21985.30262884824
2015-8,22072.320866646824
2015-9,22161.968084449705
2015-10,22249.683486935435
2015-11,22339.03389142309
2015-12,22429.522581049627
2016-1,22521.429844590435
2016-2,22604.99066638937
2016-3,22688.270109532426
2016-4,22773.712969496628
2016-5,22847.597161775004
2016-6,22924.378585801704
2016-7,23006.627417734686
2016-8,23089.429540003694
2016-9,23174.241161756647
2016-10,23261.758796874823
2016-11,23349.101926109757
2016-12,23437.526235847472
2017-1,23528.45999177375
2017-2,23616.970877874974
2017-3,23713.537095686617
2017-4,23808.887470253358
2017-5,23903.267914488188
2017-6,23989.16452873606
2017-7,24076.653343552625
2017-8,24167.02050099557
2017-9,24257.282126186357
2017-10,24345.838739283026
2017-11,24432.88782606563
2017-12,24518.43341656854
2018-1,24602.88567851791
2018-2,24688.743960842956
2018-3,24784.895456648133
2018-4,24881.513933119877
2018-5,24979.057830336686
2018-6,25075.26743581753
2018-7,25169.76455520561
2018-8,25265.30347637849
2018-9,25373.20784242695
2018-10,25496.595733869202
2018-11,25634.07465095072
2018-12,25792.20817594747
2019-1,25963.270664520947
2019-2,26149.037412944348
2019-3,26348.36795447638
2019-4,26558.085727104746
2019-5,26789.402426224166
2019-6,27035.87721217795
2019-7,27294.139103676778
2019-8,27557.70738449563
2019-9,27825.658749465023
2019-10,28102.37847647071
2019-11,28386.571532331684
2019-12,28679.787118173852
2020-1,28981.91698963518
2020-2,29290.237628637577
2020-3,29615.09341777624
2020-4,29935.679702697216
2020-5,30269.69390207635
2020-6,30612.712393336344
2020-7,30977.46882104081
2020-8,31343.105234629278
2020-9,31706.987311328277
2020-10,32061.765871918098
