Ano,Espírito Santo- custo m2 (R$)
2003-1,10264.6864
2003-2,10362.759476923076
2003-3,10458.009106552707
2003-4,10551.050535124134
2003-5,10642.401914434482
2003-6,10734.939581101147
2003-7,10810.037645617276
2003-8,10882.506708117277
2003-9,10953.063374783942
2003-10,11017.403963019236
2003-11,11079.505963019237
2003-12,11140.409574130348
2004-1,11198.996060616835
2004-2,11253.733955353679
2004-3,11306.539339969064
2004-4,11356.33158996906
2004-5,11414.357931432476
2004-6,11467.534121908668
2004-7,11516.541098652853
2004-8,11561.614507743761
2004-9,11604.164063299319
2004-10,11644.596019821056
2004-11,11682.853466629569
2004-12,11718.471383296235
2005-1,11751.744036357457
2005-2,11814.731947303531
2005-3,11876.77383445415
2005-4,11936.88903298275
2005-5,12001.308594163538
2005-6,12062.885669260051
2005-7,12118.62028330411
2005-8,12174.839928971187
2005-9,12231.742851845756
2005-10,12288.641004438856
2005-11,12346.103188957622
2005-12,12404.465581323711
2006-1,12463.075499837862
2006-2,12522.229774107678
2006-3,12582.232137755722
2006-4,12642.707500975857
2006-5,12714.965580792323
2006-6,12779.320430779257
2006-7,12846.3166819807
2006-8,12918.56557143637
2006-9,12994.49232783826
2006-10,13073.389435277826
2006-11,13154.48828049123
2006-12,13236.938990978204
2007-1,13321.316697257429
2007-2,13408.365118908448
2007-3,13496.959673430998
2007-4,13586.690813001953
2007-5,13686.538400349284
2007-6,13779.814927006135
2007-7,13874.42266696014
2007-8,13969.268429891896
2007-9,14065.112480931093
2007-10,14160.602269279772
2007-11,14256.151274684687
2007-12,14352.3093988832
2008-1,14448.922538017068
2008-2,14546.590028592153
2008-3,14645.041258275509
2008-4,14743.978383184078
2008-5,14845.137176698532
2008-6,14937.690474574167
2008-7,15032.8127203659
2008-8,15133.47202727172
2008-9,15230.198485554074
2008-10,15325.105141833992
2008-11,15418.602809314727
2008-12,15511.552901739697
2009-1,15604.10400195932
2009-2,15695.605579606296
2009-3,15785.35987472258
2009-4,15873.718654340775
2009-5,15960.62412049055
2009-6,16045.75546171792
2009-7,16130.778737936527
2009-8,16215.832943466658
2009-9,16300.70772945798
2009-10,16385.004163101385
2009-11,16468.596446648764
2009-12,16551.673286892932
2010-1,16634.521733587007
2010-2,16718.788655945576
2010-3,16802.40638303442
2010-4,16885.60567129481
2010-5,16968.709289419516
2010-6,17057.48912845464
2010-7,17143.984611186894
2010-8,17228.85260895875
2010-9,17305.4669065442
2010-10,17389.90156819706
2010-11,17478.763127918755
2010-12,17567.353542584144
2011-1,17656.50641280546
2011-2,17745.426870169664
2011-3,17832.675672017896
2011-4,17920.684565840253
2011-5,17995.161421176974
2011-6,18100.230141599146
2011-7,18175.593910576314
2011-8,18250.76075083427
2011-9,18324.97744078055
2011-10,18400.199271623864
2011-11,18474.225906491673
2011-12,18548.852426080302
2012-1,18625.463428920862
2012-2,18703.576524744
2012-3,18783.56178737254
2012-4,18865.26985684883
2012-5,18946.735656554014
2012-6,19042.35476608737
2012-7,19128.864064814567
2012-8,19214.980380194724
2012-9,19298.180538791377
2012-10,19382.46163332703
2012-11,19460.943471390907
2012-12,19537.07449880871
2013-1,19612.52023260921
2013-2,19687.371535054182
