Ano,Goiás- custo m2 (R$)
2003-1,10601.3252
2003-2,10688.67096923077
2003-3,10770.309117378916
2003-4,10847.723760236058
2003-5,10930.821691270543
2003-6,11009.628691270544
2003-7,11067.567078367318
2003-8,11124.383640867316
2003-9,11179.665156018833
2003-10,11231.33339131295
2003-11,11280.187962741522
2003-12,11328.258518297076
2004-1,11374.585815594375
2004-2,11419.07002612069
2004-3,11462.334128684792
2004-4,11503.341628684793
2004-5,11543.483579904305
2004-6,11581.388103713829
2004-7,11615.750661853363
2004-8,11648.376116398818
2004-9,11679.311449732153
2004-10,11707.898623645195
2004-11,11734.979474709025
2004-12,11760.826558042356
2005-1,11785.55594579746
2005-2,11834.052695711694
2005-3,11881.77497584396
2005-4,11928.814891322836
2005-5,11975.176138896037
2005-6,12019.213576602679
2005-7,12062.356737527823
2005-8,12105.068363224977
2005-9,12148.17050041595
2005-10,12192.54918091385
2005-11,12238.812564375094
2005-12,12286.307556245167
2006-1,12333.761414162473
2006-2,12381.2411202557
2006-3,12430.377469115596
2006-4,12480.45243524684
2006-5,12538.300614972593
2006-6,12598.348105484192
2006-7,12656.14320756114
2006-8,12718.325912575585
2006-9,12784.925908415928
2006-10,12853.12436675641
2006-11,12924.88489212603
2006-12,12997.292145542702
2007-1,13071.5589942672
2007-2,13146.946403419644
2007-3,13222.469540311642
2007-4,13298.451470198737
2007-5,13379.770584053347
2007-6,13462.021695179006
2007-7,13541.197166986687
2007-8,13622.268196159315
2007-9,13704.087376423282
2007-10,13786.901190219349
2007-11,13868.942251633749
2007-12,13951.403673822702
2008-1,14035.54379867122
2008-2,14120.734867742829
2008-3,14209.377597283383
2008-4,14299.640661123542
2008-5,14404.101645325107
2008-6,14503.786360230259
2008-7,14602.228365429159
2008-8,14700.010715589733
2008-9,14794.949385038997
2008-10,14886.374558031308
2008-11,14976.840072138959
2008-12,15064.576912547385
2009-1,15153.779662894418
2009-2,15243.00335000926
2009-3,15332.129410143742
2009-4,15422.306958507661
2009-5,15529.116254187436
2009-6,15632.260655618746
2009-7,15735.555532362412
2009-8,15838.736927574164
2009-9,15941.885269031609
