Ano,Mato Grosso- custo m2 (R$)
2003-1,10522.56
2003-2,10614.964999999998
2003-3,10702.843148148146
2003-4,10785.405648148148
2003-5,10863.369096424009
2003-6,10938.122429757343
2003-7,11017.88468782186
2003-8,11094.93781282186
2003-9,11168.603267367314
2003-10,11236.072090896725
2003-11,11294.394376611011
2003-12,11351.160209944344
2004-1,11404.989939674075
2004-2,11455.539676516179
2004-3,11503.451471387974
2004-4,11546.736471387974
2004-5,11588.45305675383
2004-6,11627.292104372877
2004-7,11665.491174140318
2004-8,11700.697083231227
2004-9,11732.04530545345
2004-10,11761.04226197519
2004-11,11789.855027932637
2004-12,11817.512527932637
2005-1,11843.362936095902
2005-2,11893.767893975408
2005-3,11941.615095893276
2005-4,11989.55166625542
2005-5,12040.120360502508
2005-6,12091.744467932682
2005-7,12143.017570752583
2005-8,12194.520078567499
2005-9,12246.000941133734
2005-10,12298.84252631264
2005-11,12352.940494382352
2005-12,12407.430006989933
2006-1,12461.998982439844
2006-2,12516.800595557514
2006-3,12573.936940844069
2006-4,12632.591134098278
2006-5,12692.2498006842
2006-6,12754.860958723597
2006-7,12830.216037383814
2006-8,12910.683483572458
2006-9,12992.997083579417
2006-10,13080.016303541175
2006-11,13170.543324797623
2006-12,13260.362473713236
2007-1,13351.320227708758
2007-2,13443.138131619227
2007-3,13537.4169119793
2007-4,13632.290214348406
2007-5,13725.598552064588
2007-6,13827.061780463817
2007-7,13926.955399086899
2007-8,14027.947599665153
2007-9,14124.745712340613
2007-10,14221.594381140754
2007-11,14317.803806749489
2007-12,14414.087547818206
2008-1,14510.564232324909
2008-2,14607.263523138889
2008-3,14705.681950232385
2008-4,14801.742868791329
2008-5,14898.745149091188
2008-6,14996.677707221943
2008-7,15113.611926579051
2008-8,15220.231842685078
2008-9,15321.565482666967
2008-10,15417.026266321816
2008-11,15510.604224745912
2008-12,15601.10097780608
2009-1,15691.820335032464
2009-2,15781.422582120704
2009-3,15871.208795396245
2009-4,15959.132099139448
2009-5,16048.638260053549
2009-6,16159.792335726794
2009-7,16261.575816446444
2009-8,16364.683375984398
2009-9,16467.44145305213
2009-10,16572.151774291146
2009-11,16677.86661904932
2009-12,16782.7848397085
2010-1,16888.072335461362
2010-2,16992.345766137616
2010-3,17096.50968946412
2010-4,17197.775153530074
2010-5,17299.616016483924
2010-6,17400.108687247044
2010-7,17499.992380716943
2010-8,17598.312798148327
2010-9,17700.067919688394
2010-10,17803.204908199034
2010-11,17907.157125380203
2010-12,18011.130653964578
2011-1,18115.482892253527
2011-2,18222.356413829464
2011-3,18328.149757333726
2011-4,18433.104674924285
2011-5,18516.701258103567
2011-6,18623.316013165815
2011-7,18685.81445556253
2011-8,18746.425652279187
2011-9,18805.781617101526
2011-10,18882.47284493927
2011-11,18956.35960148311
2011-12,19030.37843785931
2012-1,19102.436062311368
2012-2,19174.043281226674
2012-3,19247.013230514207
2012-4,19320.373506862165
2012-5,19396.51367733833
2012-6,19472.620160212908
2012-7,19548.68508823262
2012-8,19643.235755732938
2012-9,19719.550918132627
2012-10,19789.66669361108
2012-11,19859.08346474194
2012-12,19927.66624717789
2013-1,19994.079626631228
2013-2,20060.672417128728
2013-3,20125.72315188994
2013-4,20191.39893545231
2013-5,20259.84820607533
2013-6,20348.75569480945
2013-7,20415.039974026666
2013-8,20520.209474403484
2013-9,20630.382817712143
2013-10,20739.959372826648
2013-11,20831.512567273327
2013-12,20924.863648207825
2014-1,21019.002938214937
2014-2,21116.101854049703
2014-3,21209.992845331806
2014-4,21304.963449715837
2014-5,21396.817938345506
2014-6,21488.330270202794
2014-7,21580.520272447484
2014-8,21693.73976600289
2014-9,21789.95923560024
2014-10,21885.725935956714
2014-11,21984.65061437193
2014-12,22080.148107221525
2015-1,22175.60263497752
2015-2,22272.70106371928
2015-3,22373.986750384393
2015-4,22471.146211578158
2015-5,22569.87840088685
2015-6,22671.875751801366
2015-7,22776.22085500529
2015-8,22877.68679135179
2015-9,22964.61510394257
2015-10,23048.6955587636
2015-11,23142.59486868068
2015-12,23238.26205850532
2016-1,23330.53018932772
2016-2,23422.07033730961
2016-3,23510.289898192466
2016-4,23602.426572740642
2016-5,23695.73459565952
2016-6,23792.270445808783
2016-7,23889.335959596658
2016-8,23989.46505525277
2016-9,24071.324755033373
2016-10,24160.34303094017
2016-11,24251.503992062284
2016-12,24343.163652831474
2017-1,24438.48478641535
2017-2,24531.06870787327
2017-3,24623.434782243756
2017-4,24711.83861962864
