Ano,Minas Gerais- custo m2 (R$)
2003-1,10943.2596
2003-2,11044.202676923074
2003-3,11138.440825071222
2003-4,11231.690825071224
2003-5,11322.829100933292
2003-6,11410.21110093329
2003-7,11493.635939642969
2003-8,11573.722189642971
2003-9,11650.782795703577
2003-10,11725.06250158593
2003-11,11798.237930157356
2003-12,11858.970985712913
2004-1,11919.624228956154
2004-2,11977.49396579826
2004-3,12033.712683746979
2004-4,12088.22218374698
2004-5,12140.081452039662
2004-6,12188.348832992042
2004-7,12233.698600433905
2004-8,12277.712918615724
2004-9,12317.473363060168
2004-10,12356.340319581906
2004-11,12393.324362135098
2004-12,12435.41582046843
2005-1,12467.032146999045
2005-2,12530.238117345963
2005-3,12592.912310007654
2005-4,12653.90234031248
2005-5,12713.140534501075
2005-6,12770.27423722695
2005-7,12826.71879102886
2005-8,12882.796808404082
2005-9,12939.058535317574
2005-10,12994.62293816684
2005-11,13050.952947076656
2005-12,13118.741008646437
2006-1,13181.704274420588
2006-2,13244.457744736192
2006-3,13308.875372877781
2006-4,13373.727672655963
2006-5,13438.777172429616
2006-6,13505.213819784514
2006-7,13572.583105229258
2006-8,13643.358707367934
2006-9,13720.9398459139
2006-10,13800.880998625202
2006-11,13882.297747177103
2006-12,13970.814142790206
2007-1,14054.970026919222
2007-2,14142.805902019632
2007-3,14231.140958849706
2007-4,14319.74113535669
2007-5,14409.811927092285
2007-6,14500.304608573739
2007-7,14590.832779417551
2007-8,14681.78306489487
2007-9,14773.199723190599
2007-10,14864.66403314719
2007-11,14956.612218759039
2007-12,15058.394856956638
2008-1,15148.862282432354
2008-2,15239.594690759124
2008-3,15329.643812106533
2008-4,15419.235208825487
2008-5,15510.678015686088
2008-6,15604.607216568875
2008-7,15697.826877727739
2008-8,15791.681240431792
2008-9,15883.806394167788
2008-10,15970.154895152562
2008-11,16072.294566510262
2008-12,16173.845113843592
2009-1,16269.014113252842
2009-2,16362.971951749452
2009-3,16454.274728274544
2009-4,16544.59500928322
2009-5,16636.04386385315
2009-6,16726.69165848092
2009-7,16817.098128887188
2009-8,16908.02782989677
2009-9,16999.608947549874
2009-10,17091.082401108226
2009-11,17182.586653515595
2009-12,17273.85756034736
2010-1,17366.911084906355
2010-2,17460.11146863031
2010-3,17553.75405593381
2010-4,17647.165285399667
2010-5,17741.154266554244
2010-6,17833.403169633188
2010-7,17924.131658471233
2010-8,18014.404000935385
2010-9,18103.627322578315
2010-10,18191.586117035677
2010-11,18280.566141972064
2010-12,18351.562908818225
2011-1,18421.877353613625
2011-2,18510.99864423323
2011-3,18600.02000530433
2011-4,18688.264602794734
2011-5,18751.8792883766
2011-6,18841.67082765259
2011-7,18904.061218860177
2011-8,18965.32903702289
2011-9,19025.743551454034
2011-10,19084.560380105137
2011-11,19144.85809396222
2011-12,19217.79955193052
2012-1,19292.179796656706
2012-2,19355.52548465161
2012-3,19420.142913550004
2012-4,19483.89738003197
2012-5,19546.018851350993
2012-6,19607.232210224396
2012-7,19671.241578399728
2012-8,19735.036882888064
2012-9,19798.12204374424
2012-10,19861.72520131906
2012-11,19923.4135499779
2012-12,19998.592476671896
2013-1,20074.88144744442
2013-2,20151.128265685864
2013-3,20208.620706939997
2013-4,20265.52255799379
2013-5,20325.33578156928
2013-6,20409.78530183852
2013-7,20468.292740087214
2013-8,20554.55583235715
2013-9,20643.19495062928
2013-10,20730.94232612265
2013-11,20820.86420257199
2013-12,20909.27004152321
2014-1,20985.64556171898
2014-2,21063.429761005962
2014-3,21162.95882787034
2014-4,21261.20098938708
2014-5,21359.920858965757
