Ano,Pará- custo m2 (R$)
2003-1,10387.404
2003-2,10470.519384615385
2003-3,10546.359384615384
2003-4,10614.915813186813
2003-5,10682.772020083365
2003-6,10745.783353416698
2003-7,10807.415288900569
2003-8,10866.93716390057
2003-9,10924.604739658145
2003-10,10987.143857305204
2003-11,11040.63871444806
2003-12,11089.68871444806
2004-1,11138.500336069681
2004-2,11186.492178174944
2004-3,11233.515767918534
2004-4,11277.778267918535
2004-5,11322.06143865024
2004-6,11363.896914840718
2004-7,11403.368775305833
2004-8,11441.490820760378
2004-9,11483.55282076038
2004-10,11525.396516412555
2004-11,11564.68438875298
2004-12,11601.342722086314
2005-1,11634.318232290398
2005-2,11690.129134990199
2005-3,11745.368109487643
2005-4,11800.474205913606
2005-5,11855.254173112116
2005-6,11908.629727255558
2005-7,11961.817612435942
2005-8,12014.593782304011
2005-9,12074.579631659184
2005-10,12135.418711087776
2005-11,12191.826769328236
2005-12,12250.121219427834
2006-1,12309.178209325379
2006-2,12369.733880208147
2006-3,12428.432690453725
2006-4,12487.182219485054
2006-5,12547.228830741515
2006-6,12610.29224690664
2006-7,12676.200723071252
2006-8,12746.342395474629
2006-9,12818.637529652471
2006-10,12898.301299221697
2006-11,12981.447927442288
2006-12,13065.901673129829
2007-1,13151.377978253166
2007-2,13240.340422048326
2007-3,13329.707387090326
2007-4,13419.467576429157
2007-5,13508.806828888659
2007-6,13598.033413700425
2007-7,13687.391652199298
2007-8,13778.99173464345
2007-9,13871.561488772828
2007-10,13966.379485856778
2007-11,14061.961338403084
2007-12,14158.452452057672
2008-1,14253.992885376647
2008-2,14352.038286928715
2008-3,14449.474091147502
2008-4,14548.31024218207
2008-5,14647.546324277926
2008-6,14748.755660880712
2008-7,14847.272261165896
2008-8,14944.36270071885
2008-9,15051.138625315669
2008-10,15157.983137472062
2008-11,15253.608277028188
2008-12,15346.451753550351
2009-1,15438.897673558933
2009-2,15532.401544891703
2009-3,15622.861567806873
2009-4,15713.956347005173
2009-5,15806.388770894479
2009-6,15898.826361547659
2009-7,15992.092135993518
2009-8,16085.727860152587
2009-9,16178.683087203792
