Ano,Rio Grande do Norte- custo m2 (R$)
2003-1,9944.0608
2003-2,10034.559261538461
2003-3,10120.152965242163
2003-4,10199.16975095645
2003-5,10272.39319923231
2003-6,10342.620865898976
2003-7,10410.495704608655
2003-8,10475.995392108656
2003-9,10540.697210290475
2003-10,10603.477210290475
2003-11,10670.071210290474
2003-12,10725.253154734919
2004-1,10780.466668248431
2004-2,10833.052984037906
2004-3,10883.005548140469
2004-4,10930.677048140471
2004-5,10977.05265789657
2004-6,11020.740753134663
2004-7,11061.051450809082
2004-8,11099.192359899993
2004-9,11135.701026566658
2004-10,11169.851461349264
2004-11,11204.132525179051
2004-12,11232.793358512388
2005-1,11259.829889124632
2005-2,11312.20701339248
2005-3,11364.362273634399
2005-4,11414.606953397508
2005-5,11466.35016161059
2005-6,11516.680507781575
2005-7,11567.204990268974
2005-8,11617.57701650694
2005-9,11667.750927208945
2005-10,11716.931411227692
2005-11,11773.046190838657
2005-12,11825.054863911068
2006-1,11877.417347771801
2006-2,11927.982667762075
2006-3,11980.052661307467
2006-4,12033.19260239251
2006-5,12086.26720554051
2006-6,12140.050971818957
2006-7,12194.636690567615
2006-8,12251.868430154527
2006-9,12314.872431588292
2006-10,12380.413276588733
2006-11,12454.822497307907
2006-12,12527.922496739107
2007-1,12601.654315886592
2007-2,12675.886855208262
2007-3,12749.518484633074
2007-4,12823.412284857537
2007-5,12897.372189581214
2007-6,12969.747741172452
2007-7,13042.622786751854
2007-8,13115.007231578036
2007-9,13186.873358416224
2007-10,13258.545448849025
2007-11,13341.811857780074
2007-12,13417.902789758466
2008-1,13495.20866579617
2008-2,13573.24440698034
2008-3,13652.689748597038
2008-4,13731.41744425601
2008-5,13809.996318579753
2008-6,13889.836300478517
2008-7,13968.469266369526
2008-8,14046.603196487933
2008-9,14122.44696722943
2008-10,14208.086039385373
2008-11,14292.928136585302
2008-12,14370.242741468519
2009-1,14446.377440340546
2009-2,14522.989953084505
2009-3,14599.491444877898
2009-4,14677.064362433912
2009-5,14754.150119119146
2009-6,14832.139056456654
2009-7,14909.734185340007
2009-8,14987.55176490303
2009-9,15065.551245174967
2009-10,15143.92303878229
2009-11,15235.496254903375
2009-12,15315.87512015079
2010-1,15396.66373913839
2010-2,15475.49731206374
2010-3,15554.569004004217
2010-4,15632.302662277832
2010-5,15709.34644223746
2010-6,15785.691342720273
2010-7,15861.559200725205
2010-8,15937.036954487567
2010-9,16011.80335771205
2010-10,16085.93552894639
2010-11,16145.322049141514
2010-12,16216.745394295718
2011-1,16287.08381578199
2011-2,16358.321700995082
2011-3,16429.820104013663
2011-4,16500.85558685317
2011-5,16549.660917963767
2011-6,16619.797873042226
2011-7,16669.412746850096
2011-8,16720.626390962545
2011-9,16774.332607820903
2011-10,16825.865696854493
2011-11,16892.251261304948
2011-12,16945.26830225192
2012-1,17001.129183519286
2012-2,17055.931743608697
2012-3,17113.096119762675
2012-4,17169.038918043458
2012-5,17225.42027020194
2012-6,17284.048307507335
2012-7,17340.355796584623
2012-8,17394.97286996951
2012-9,17450.272990693633
2012-10,17504.64114646877
2012-11,17561.008608050855
2012-12,17629.337109253087
2013-1,17684.738368742015
2013-2,17741.08723716977
2013-3,17795.821431785578
2013-4,17848.287785413577
2013-5,17901.226605792363
2013-6,17976.6054973807
2013-7,18032.0685101223
2013-8,18107.94250529112
2013-9,18186.616711705992
2013-10,18264.289856683237
2013-11,18362.014839536885
2013-12,18442.80205541917
2014-1,18526.741927932788
2014-2,18607.04075945143
2014-3,18689.438290386996
2014-4,18768.937926522187
2014-5,18849.220559348283
2014-6,18929.38627953494
2014-7,19007.2821565151
2014-8,19090.946572023884
2014-9,19175.810525127035
2014-10,19261.233944197105
2014-11,19348.246654354825
2014-12,19446.239675707966
2015-1,19532.537075023374
2015-2,19620.363783314828
2015-3,19709.485957725952
2015-4,19800.600743969633
2015-5,19894.958967613635
2015-6,19990.384117854886
2015-7,20086.482865211503
2015-8,20182.842137764343
2015-9,20277.786620059713
2015-10,20370.142536556727
2015-11,20461.733611656186
2015-12,20546.55766823005
2016-1,20642.99472155272
2016-2,20737.863145912313
2016-3,20837.67748032988
2016-4,20938.597055634837
2016-5,21042.251731739176
2016-6,21145.019306685932
2016-7,21253.804674586972
2016-8,21365.419419853744
2016-9,21475.15947797272
2016-10,21588.10088517365
2016-11,21701.93531254052
2016-12,21816.610795360637
2017-1,21922.666736578038
2017-2,22031.451627630177
2017-3,22141.430767310085
2017-4,22247.11106954649
2017-5,22354.80556598684
2017-6,22460.971619014857
2017-7,22565.64564965078
2017-8,22667.876930965867
2017-9,22768.661518582223
2017-10,22873.012843041866
2017-11,22977.83060439871
2017-12,23081.869930781206
2018-1,23175.51140552715
2018-2,23259.81807254703
2018-3,23345.176132274275
2018-4,23429.651002722112
2018-5,23510.818226132065
2018-6,23591.167338262527
2018-7,23672.81362462123
2018-8,23753.315235846425
2018-9,23837.755558621786
2018-10,23926.57445822687
2018-11,24017.47534747285
2018-12,24113.29718492045
2019-1,24222.66037654412
2019-2,24333.790450829143
2019-3,24451.87879415973
2019-4,24577.83752940156
2019-5,24714.127661235336
2019-6,24865.37709175061
2019-7,25026.94761160236
2019-8,25198.273978172805
2019-9,25374.248815870906
2019-10,25558.432434182923
2019-11,25749.144058491922
2019-12,25945.6720881673
2020-1,26151.9753975017
2020-2,26366.010989174654
2020-3,26593.234722167053
2020-4,26846.992040328125
2020-5,27112.82369415683
2020-6,27402.310540443043
2020-7,27704.695911916115
2020-8,28018.788611656826
2020-9,28339.649905040715
2020-10,28658.589177416612
2020-11,28976.707232910274
2020-12,29298.48869996002
2021-1,29620.368118634295
2021-2,29933.03235826879
2021-3,30247.682805359396
2021-4,30559.996152526743
2021-5,30865.137348917047
2021-6,31169.024485400347
2021-7,31464.74892200544
2021-8,31752.610377319794
2021-9,32030.383773220747
2021-10,32192.528121774303
2021-11,32354.246926228898
2021-12,32514.761704358592
2022-1,32675.650622593028
2022-2,32834.0978009495
2022-3,32991.61139659425
2022-4,33142.135636380466
2022-5,33266.504885951996
2022-6,33379.100537895676
2022-7,33469.09901316102
2022-8,33545.753542487495
2022-9,33609.33593365826
2022-10,33660.00515483259
2022-11,33706.32290146826
2022-12,33746.69962411609
2023-1,33774.4999437607
2023-2,33791.085311538416
2023-3,33798.04332008061
2023-4,33790.36678124067
2023-5,33765.10738158393
2023-6,33727.12264637861
2023-7,33669.488231836265
2023-8,33582.40775266962
2023-9,33475.50235779039
