,Amapá- custo m2 (R$)
2003-1-1,9537.36
2003-2-2,9647.72
2003-3-3,9744.17
2003-4-4,9822.52
2003-5-5,9892.03
2003-6-6,10085.44
2003-7-7,10129.76
2003-8-8,10198.17
2003-9-9,10205.0
2003-10-10,10261.6
2003-11-11,10298.18
2003-12-12,10447.06
2004-1-1,10581.4
2004-2-2,10615.37
2004-3-3,10686.95
2004-4-4,10704.94
2004-5-5,10728.36
2004-6-6,10815.32
2004-7-7,10917.48
2004-8-8,10997.89
2004-9-9,11006.65
2004-10-10,11096.77
2004-11-11,11302.52
2004-12-12,11481.54
2005-1-1,11768.39
2005-2-2,12247.11
2005-3-3,12354.84
2005-4-4,12388.66
2005-5-5,12488.95
2005-6-6,12468.73
2005-7-7,12492.65
2005-8-8,12529.33
2005-9-9,12534.29
2005-10-10,12519.48
2005-11-11,12546.21
2005-12-12,12772.12
2006-1-1,12875.65
2006-2-2,12910.01
2006-3-3,12928.29
2006-4-4,12960.58
2006-5-5,13035.55
2006-6-6,13093.61
2006-7-7,13131.02
2006-8-8,13169.46
2006-9-9,13192.73
2006-10-10,13230.05
2006-11-11,13259.26
2006-12-12,13937.88
2007-1-1,14088.36
2007-2-2,14104.87
2007-3-3,14143.34
2007-4-4,14154.16
2007-5-5,14139.1
2007-6-6,14174.09
2007-7-7,14170.46
2007-8-8,14197.52
2007-9-9,14312.36
2007-10-10,14365.92
2007-11-11,14422.05
2007-12-12,14486.31
2008-1-1,14811.75
2008-2-2,14918.49
2008-3-3,15021.89
2008-4-4,15077.82
2008-5-5,15155.15
2008-6-6,15172.77
2008-7-7,15222.3
2008-8-8,15241.47
2008-9-9,15556.27
2008-10-10,15691.04
2008-11-11,15753.5
2008-12-12,16435.63
2009-1-1,16471.72
2009-2-2,16564.4
2009-3-3,16611.61
2009-4-4,16598.35
2009-5-5,16591.37
2009-6-6,16662.87
2009-7-7,16671.85
2009-8-8,16754.1
2009-9-9,16735.0
2009-10-10,16757.7
2009-11-11,16822.33
2009-12-12,16894.24
2010-1-1,17438.34
2010-2-2,17479.41
2010-3-3,17606.75
2010-4-4,17621.93
2010-5-5,17620.03
2010-6-6,17689.89
2010-7-7,17739.0
2010-8-8,17740.11
2010-9-9,17795.91
2010-10-10,17827.95
2010-11-11,17863.5
2010-12-12,17940.27
2011-1-1,18008.7
2011-2-2,18034.5
2011-3-3,18095.91
2011-4-4,18108.01
2011-5-5,18122.6
2011-6-6,18129.26
2011-7-7,18154.21
2011-8-8,18121.34
2011-9-9,18189.93
2011-10-10,18366.22
2011-11-11,18404.4
2011-12-12,18594.14
2012-1-1,19546.43
2012-2-2,19696.22
2012-3-3,19715.45
2012-4-4,19742.68
2012-5-5,19795.37
2012-6-6,19816.11
2012-7-7,19869.3
2012-8-8,20182.76
2012-9-9,20205.95
2012-10-10,20308.79
2012-11-11,20327.35
2012-12-12,20333.66
2013-1-1,21050.16
2013-2-2,21074.04
2013-3-3,21008.41
2013-4-4,21078.54
2013-5-5,19977.62
2013-6-6,21219.9
2013-7-7,19976.86
2013-8-8,20064.08
2013-9-9,20081.59
2013-10-10,20282.77
2013-11-11,20577.28
2013-12-12,20754.46
2014-1-1,21441.88
2014-2-2,21523.84
2014-3-3,22054.16
2014-4-4,21964.25
2014-5-5,22090.45
2014-6-6,22109.86
2014-7-7,22116.37
2014-8-8,22178.07
2014-9-9,22185.39
2014-10-10,22130.63
2014-11-11,22305.39
2014-12-12,22124.9
2015-1-1,23071.6
2015-2-2,23125.45
2015-3-3,23108.75
2015-4-4,23131.36
2015-5-5,23057.73
2015-6-6,23121.89
2015-7-7,23159.85
2015-8-8,23206.42
2015-9-9,23293.06
2015-10-10,23299.86
2015-11-11,23431.82
2015-12-12,24344.82
2016-1-1,24467.28
2016-2-2,24124.03
2016-3-3,24218.12
2016-4-4,24245.63
2016-5-5,24332.07
2016-6-6,24246.44
2016-7-7,24232.12
2016-8-8,24307.91
2016-9-9,24350.9
2016-10-10,24417.41
2016-11-11,24480.72
2016-12-12,24473.85
2017-1-1,25163.01
2017-2-2,25203.31
2017-3-3,25250.39
2017-4-4,25213.32
2017-5-5,25293.86
2017-6-6,25263.64
2017-7-7,25201.45
2017-8-8,25277.59
2017-9-9,25277.14
2017-10-10,25361.19
2017-11-11,25412.43
2017-12-12,25401.97
2018-1-1,25565.46
2018-2-2,25692.14
2018-3-3,25509.65
2018-4-4,25547.29
2018-5-5,25560.55
2018-6-6,25691.71
2018-7-7,25701.22
2018-8-8,25784.33
2018-9-9,25856.77
2018-10-10,26131.62
2018-11-11,26799.03
2018-12-12,26857.43
2019-1-1,26780.05
2019-2-2,26784.0
2019-3-3,26730.03
2019-4-4,27266.05
2019-5-5,27468.04
2019-6-6,27624.17
2019-7-7,27659.45
2019-8-8,27570.07
2019-9-9,27522.16
2019-10-10,27661.99
2019-11-11,27871.84
2019-12-12,27921.31
2020-1-1,27964.63
2020-2-2,27948.15
2020-3-3,28597.45
