,Bahia- custo m2 (R$)
2003-1-1,9527.9
2003-2-2,9659.3
2003-3-3,10315.9
2003-4-4,10350.64
2003-5-5,10422.76
2003-6-6,10435.82
2003-7-7,10458.79
2003-8-8,10489.34
2003-9-9,10504.71
2003-10-10,10521.41
2003-11-11,10528.66
2003-12-12,10581.2
2004-1-1,10598.18
2004-2-2,11090.5
2004-3-3,11182.57
2004-4-4,11257.94
2004-5-5,11321.27
2004-6-6,11363.56
2004-7-7,11415.78
2004-8-8,11552.19
2004-9-9,11623.45
2004-10-10,11791.5
2004-11-11,11898.35
2004-12-12,11966.35
2005-1-1,12025.64
2005-2-2,12462.52
2005-3-3,12497.47
2005-4-4,12606.34
2005-5-5,12665.37
2005-6-6,12676.42
2005-7-7,12813.86
2005-8-8,12831.37
2005-9-9,12855.05
2005-10-10,12873.43
2005-11-11,12904.58
2005-12-12,12947.05
2006-1-1,13013.51
2006-2-2,13257.33
2006-3-3,13302.8
2006-4-4,13394.08
2006-5-5,13454.6
2006-6-6,13518.34
2006-7-7,13547.28
2006-8-8,13566.36
2006-9-9,13612.98
2006-10-10,13669.06
2006-11-11,13714.95
2006-12-12,13780.25
2007-1-1,13803.63
2007-2-2,13860.57
2007-3-3,14244.14
2007-4-4,14282.28
2007-5-5,14348.16
2007-6-6,14417.59
2007-7-7,14452.18
2007-8-8,14476.91
2007-9-9,14541.99
2007-10-10,14647.15
2007-11-11,14676.48
2007-12-12,14675.66
2008-1-1,14718.09
2008-2-2,14817.76
2008-3-3,15236.15
2008-4-4,15257.25
2008-5-5,15316.29
2008-6-6,15399.37
2008-7-7,15558.52
2008-8-8,15740.54
2008-9-9,15925.16
2008-10-10,16079.2
2008-11-11,16154.42
2008-12-12,16176.3
2009-1-1,16219.54
2009-2-2,16293.96
2009-3-3,16865.3
2009-4-4,16880.16
2009-5-5,16898.2
2009-6-6,16895.68
2009-7-7,16893.03
2009-8-8,16913.61
2009-9-9,16947.98
2009-10-10,16971.5
2009-11-11,16989.11
2009-12-12,17010.36
2010-1-1,17057.88
2010-2-2,17107.12
2010-3-3,17711.54
2010-4-4,17722.27
2010-5-5,17743.98
2010-6-6,17766.04
2010-7-7,17832.41
2010-8-8,17888.95
2010-9-9,17929.76
2010-10-10,17941.81
2010-11-11,18019.09
2010-12-12,18076.95
2011-1-1,18106.62
2011-2-2,18155.75
2011-3-3,18182.52
2011-4-4,18855.56
2011-5-5,18896.95
2011-6-6,18941.38
2011-7-7,18934.33
2011-8-8,18955.95
2011-9-9,18959.92
2011-10-10,19017.36
2011-11-11,19045.63
2011-12-12,19063.27
2012-1-1,19122.47
2012-2-2,19186.59
2012-3-3,19361.06
2012-4-4,19645.12
2012-5-5,19655.31
2012-6-6,19676.61
2012-7-7,19772.7
2012-8-8,19796.07
2012-9-9,19788.3
2012-10-10,19840.24
2012-11-11,19862.01
2012-12-12,19937.8
2013-1-1,19951.34
2013-2-2,20031.67
2013-3-3,19985.29
2013-4-4,20657.22
2013-5-5,19400.69
2013-6-6,20694.13
2013-7-7,19363.26
2013-8-8,19435.63
2013-9-9,19433.14
2013-10-10,19567.18
2013-11-11,19642.4
2013-12-12,19704.04
2014-1-1,19888.59
2014-2-2,19978.77
2014-3-3,20194.99
2014-4-4,20711.63
2014-5-5,20750.74
2014-6-6,20766.63
2014-7-7,20728.38
2014-8-8,20747.92
2014-9-9,20769.23
2014-10-10,20806.68
2014-11-11,20828.34
2014-12-12,20934.5
2015-1-1,20996.69
2015-2-2,21144.1
2015-3-3,21131.62
2015-4-4,21841.87
2015-5-5,21839.32
2015-6-6,21880.54
2015-7-7,21885.75
2015-8-8,21882.83
2015-9-9,22046.96
2015-10-10,22067.7
2015-11-11,22046.91
2015-12-12,22048.37
2016-1-1,22488.92
2016-2-2,22568.09
2016-3-3,22428.78
2016-4-4,23133.04
2016-5-5,23277.34
2016-6-6,23291.44
2016-7-7,23317.15
2016-8-8,23329.79
2016-9-9,23337.65
2016-10-10,23379.03
2016-11-11,23396.3
2016-12-12,23289.37
2017-1-1,23406.92
2017-2-2,23449.38
2017-3-3,23496.4
2017-4-4,23623.05
2017-5-5,24122.9
2017-6-6,24128.71
2017-7-7,24154.86
2017-8-8,24110.32
2017-9-9,24226.7
2017-10-10,24286.47
2017-11-11,24380.68
2017-12-12,24404.86
2018-1-1,24462.97
2018-2-2,24488.57
2018-3-3,24554.86
2018-4-4,24518.72
2018-5-5,24662.09
2018-6-6,24958.41
2018-7-7,25247.64
2018-8-8,25303.01
2018-9-9,25417.79
2018-10-10,25560.39
2018-11-11,25593.81
2018-12-12,25665.17
2019-1-1,25679.4
2019-2-2,25674.88
2019-3-3,26111.49
2019-4-4,26089.0
2019-5-5,26163.0
2019-6-6,26239.22
2019-7-7,26324.52
2019-8-8,26491.5
2019-9-9,26438.44
2019-10-10,26470.66
2019-11-11,26455.72
2019-12-12,26478.56
2020-1-1,26454.11
2020-2-2,26588.57
2020-3-3,27116.24
2020-4-4,27192.54
2020-5-5,27190.57
