,Ceará- custo m2 (R$)
2003-1-1,9178.47
2003-2-2,9305.17
2003-3-3,9379.04
2003-4-4,9439.22
2003-5-5,9773.28
2003-6-6,9764.57
2003-7-7,9810.46
2003-8-8,9885.5
2003-9-9,9910.14
2003-10-10,9915.63
2003-11-11,10180.96
2003-12-12,10223.07
2004-1-1,10225.64
2004-2-2,10275.36
2004-3-3,10320.48
2004-4-4,10344.55
2004-5-5,10425.27
2004-6-6,10437.25
2004-7-7,10560.96
2004-8-8,10669.56
2004-9-9,10764.3
2004-10-10,10840.67
2004-11-11,11167.63
2004-12-12,11276.74
2005-1-1,11333.06
2005-2-2,11432.17
2005-3-3,11440.06
2005-4-4,11467.84
2005-5-5,11500.78
2005-6-6,11680.98
2005-7-7,11730.85
2005-8-8,11756.27
2005-9-9,11771.08
2005-10-10,11829.34
2005-11-11,11886.71
2005-12-12,11929.15
2006-1-1,12005.55
2006-2-2,12043.99
2006-3-3,12060.28
2006-4-4,12307.82
2006-5-5,12394.31
2006-6-6,12450.04
2006-7-7,12473.89
2006-8-8,12547.56
2006-9-9,12611.1
2006-10-10,12643.63
2006-11-11,12655.98
2006-12-12,12682.69
2007-1-1,12749.94
2007-2-2,12811.05
2007-3-3,12885.86
2007-4-4,13445.47
2007-5-5,13463.05
2007-6-6,13511.2
2007-7-7,13548.52
2007-8-8,13565.63
2007-9-9,13634.45
2007-10-10,13686.41
2007-11-11,13758.27
2007-12-12,13824.34
2008-1-1,13929.44
2008-2-2,14015.95
2008-3-3,14102.78
2008-4-4,14117.05
2008-5-5,14602.63
2008-6-6,14653.96
2008-7-7,14723.54
2008-8-8,14940.4
2008-9-9,15140.58
2008-10-10,15261.45
2008-11-11,15343.3
2008-12-12,15383.89
2009-1-1,15399.54
2009-2-2,15409.7
2009-3-3,15497.36
2009-4-4,15986.27
2009-5-5,16031.5
2009-6-6,16039.43
2009-7-7,16080.65
2009-8-8,16148.56
2009-9-9,16227.77
2009-10-10,16263.01
2009-11-11,16279.09
2009-12-12,16349.59
2010-1-1,16470.46
2010-2-2,16583.15
2010-3-3,16666.74
2010-4-4,16703.43
2010-5-5,17302.56
2010-6-6,17398.55
2010-7-7,17478.75
2010-8-8,17498.12
2010-9-9,17516.93
2010-10-10,17566.43
2010-11-11,17710.67
2010-12-12,17780.17
2011-1-1,17804.85
2011-2-2,17829.98
2011-3-3,17824.27
2011-4-4,17855.73
2011-5-5,18409.75
2011-6-6,18422.59
2011-7-7,18444.9
2011-8-8,18475.3
2011-9-9,18458.19
2011-10-10,18452.57
2011-11-11,18492.01
2011-12-12,18519.37
2012-1-1,18578.04
2012-2-2,18638.95
2012-3-3,18652.16
2012-4-4,18674.99
2012-5-5,18686.04
2012-6-6,19247.06
2012-7-7,19207.9
2012-8-8,19242.34
2012-9-9,19274.31
2012-10-10,19383.78
2012-11-11,19427.62
2012-12-12,19446.67
2013-1-1,19464.01
2013-2-2,19540.32
2013-3-3,19508.14
2013-4-4,19543.11
2013-5-5,18570.73
2013-6-6,20159.12
2013-7-7,19213.97
2013-8-8,19312.14
2013-9-9,19470.27
2013-10-10,19671.2
2013-11-11,19732.24
2013-12-12,19713.36
2014-1-1,19813.7
2014-2-2,19877.89
2014-3-3,20000.3
2014-4-4,20113.5
2014-5-5,20094.26
2014-6-6,20151.17
2014-7-7,20725.66
2014-8-8,20634.43
2014-9-9,20668.38
2014-10-10,20688.46
2014-11-11,20683.59
2014-12-12,20722.24
2015-1-1,20716.65
2015-2-2,20812.87
2015-3-3,20821.35
2015-4-4,21002.83
2015-5-5,21100.42
2015-6-6,21163.67
2015-7-7,21840.87
2015-8-8,21823.75
2015-9-9,22007.43
2015-10-10,22062.04
2015-11-11,22054.22
2015-12-12,22027.62
2016-1-1,22316.39
2016-2-2,22440.93
2016-3-3,22385.98
2016-4-4,22510.07
2016-5-5,22627.2
2016-6-6,23393.21
2016-7-7,23462.87
2016-8-8,23503.23
2016-9-9,23436.78
2016-10-10,23376.69
2016-11-11,23375.89
2016-12-12,23467.61
2017-1-1,23526.39
2017-2-2,23578.2
2017-3-3,23560.61
2017-4-4,23600.36
2017-5-5,23619.26
2017-6-6,23504.56
2017-7-7,23528.31
2017-8-8,24154.51
2017-9-9,24343.38
2017-10-10,24306.76
2017-11-11,24395.04
2017-12-12,24479.28
2018-1-1,24475.99
2018-2-2,24725.13
2018-3-3,24768.84
2018-4-4,24846.37
2018-5-5,24981.76
2018-6-6,24996.9
2018-7-7,25143.14
2018-8-8,25123.69
2018-9-9,25350.56
2018-10-10,25411.94
2018-11-11,25524.09
2018-12-12,25561.46
2019-1-1,25680.96
2019-2-2,25723.32
2019-3-3,25630.03
2019-4-4,25591.25
2019-5-5,25653.54
2019-6-6,25582.9
2019-7-7,25544.78
2019-8-8,25961.26
2019-9-9,26143.97
2019-10-10,26073.19
2019-11-11,26134.06
2019-12-12,26289.14
2020-1-1,26571.08
2020-2-2,26670.03
2020-3-3,26665.33
2020-4-4,26727.85
2020-5-5,26739.7
2020-6-6,26796.5
2020-7-7,26861.51
2020-8-8,27264.72
2020-9-9,27482.07
2020-10-10,27847.2
2020-11-11,28464.48
2020-12-12,29406.01
