,Maranhão- custo m2 (R$)
2003-1-1,9442.87
2003-2-2,9592.82
2003-3-3,9699.91
2003-4-4,9816.51
2003-5-5,9850.66
2003-6-6,9939.44
2003-7-7,9954.21
2003-8-8,10227.41
2003-9-9,10275.61
2003-10-10,10378.38
2003-11-11,10412.69
2003-12-12,10425.42
2004-1-1,10628.71
2004-2-2,10707.39
2004-3-3,10748.05
2004-4-4,10768.78
2004-5-5,10807.97
2004-6-6,10873.15
2004-7-7,10924.07
2004-8-8,11021.32
2004-9-9,11123.3
2004-10-10,11233.68
2004-11-11,11376.06
2004-12-12,11547.53
2005-1-1,11932.56
2005-2-2,12010.83
2005-3-3,11999.91
2005-4-4,12013.34
2005-5-5,12095.56
2005-6-6,12170.05
2005-7-7,12198.14
2005-8-8,12256.81
2005-9-9,12301.16
2005-10-10,12330.92
2005-11-11,12411.88
2005-12-12,12437.98
2006-1-1,12819.57
2006-2-2,12810.66
2006-3-3,12819.48
2006-4-4,12838.63
2006-5-5,12886.67
2006-6-6,12941.72
2006-7-7,13029.24
2006-8-8,13044.41
2006-9-9,13072.54
2006-10-10,13111.57
2006-11-11,13107.08
2006-12-12,13128.63
2007-1-1,13391.07
2007-2-2,13413.76
2007-3-3,13483.12
2007-4-4,13492.61
2007-5-5,13524.3
2007-6-6,13520.75
2007-7-7,13614.0
2007-8-8,13647.48
2007-9-9,13650.52
2007-10-10,13651.34
2007-11-11,13833.19
2007-12-12,14236.14
2008-1-1,14263.07
2008-2-2,14370.14
2008-3-3,14414.41
2008-4-4,14442.21
2008-5-5,14582.36
2008-6-6,14635.05
2008-7-7,14723.37
2008-8-8,14963.06
2008-9-9,15221.19
2008-10-10,15389.65
2008-11-11,15558.73
2008-12-12,15632.72
2009-1-1,16118.3
2009-2-2,16154.28
2009-3-3,16223.71
2009-4-4,16175.78
2009-5-5,16206.19
2009-6-6,16305.35
2009-7-7,16445.29
2009-8-8,16431.69
2009-9-9,16482.08
2009-10-10,16531.38
2009-11-11,16543.8
2009-12-12,16670.59
2010-1-1,16757.28
2010-2-2,17319.53
2010-3-3,17444.45
2010-4-4,17422.61
2010-5-5,17372.5
2010-6-6,17438.14
2010-7-7,17499.95
2010-8-8,17525.03
2010-9-9,17538.02
2010-10-10,17669.96
2010-11-11,17685.34
2010-12-12,17702.97
2011-1-1,17745.41
2011-2-2,18521.03
2011-3-3,18543.65
2011-4-4,18628.08
2011-5-5,18693.12
2011-6-6,19058.65
2011-7-7,19117.09
2011-8-8,19160.06
2011-9-9,19182.88
2011-10-10,19170.56
2011-11-11,19258.21
2011-12-12,19322.22
2012-1-1,19282.64
2012-2-2,19331.36
2012-3-3,19416.32
2012-4-4,19620.56
2012-5-5,19652.24
2012-6-6,19657.65
2012-7-7,19700.12
2012-8-8,19746.85
2012-9-9,20148.51
2012-10-10,20154.96
2012-11-11,20168.9
2012-12-12,20456.85
2013-1-1,20511.71
2013-2-2,20612.98
2013-3-3,20623.46
2013-4-4,20590.13
2013-5-5,19433.38
2013-6-6,20676.42
2013-7-7,19535.93
2013-8-8,19451.07
2013-9-9,19728.78
2013-10-10,19821.99
2013-11-11,20164.0
2013-12-12,20219.57
2014-1-1,20311.67
2014-2-2,20397.37
2014-3-3,20592.85
2014-4-4,20534.81
2014-5-5,20510.44
2014-6-6,20467.84
2014-7-7,20508.47
2014-8-8,20447.27
2014-9-9,20616.76
2014-10-10,20633.89
2014-11-11,20487.23
2014-12-12,20582.16
2015-1-1,20580.05
2015-2-2,20573.03
2015-3-3,21063.96
2015-4-4,21175.81
2015-5-5,21274.84
2015-6-6,21364.41
2015-7-7,21403.24
2015-8-8,21401.47
2015-9-9,21587.96
2015-10-10,21697.13
2015-11-11,21726.3
2015-12-12,21735.6
2016-1-1,21743.28
2016-2-2,21994.23
2016-3-3,22442.61
2016-4-4,22367.91
2016-5-5,22510.18
2016-6-6,22523.74
2016-7-7,22955.6
2016-8-8,22974.22
2016-9-9,22972.05
2016-10-10,23046.59
2016-11-11,23111.33
2016-12-12,23088.23
2017-1-1,23189.2
2017-2-2,23202.57
2017-3-3,23787.54
2017-4-4,23840.87
2017-5-5,23923.56
2017-6-6,23827.66
2017-7-7,23990.21
2017-8-8,24003.12
2017-9-9,24089.14
2017-10-10,24090.23
2017-11-11,24235.78
2017-12-12,24227.78
2018-1-1,24303.4
2018-2-2,24455.69
2018-3-3,24474.65
2018-4-4,24544.64
2018-5-5,24606.22
2018-6-6,24625.03
2018-7-7,24883.91
2018-8-8,24980.04
2018-9-9,25229.03
2018-10-10,25518.03
2018-11-11,25769.5
2018-12-12,25736.42
2019-1-1,25699.73
2019-2-2,25693.25
2019-3-3,25654.31
2019-4-4,26318.88
2019-5-5,26257.93
2019-6-6,26460.95
2019-7-7,26513.45
2019-8-8,26459.48
2019-9-9,26439.74
2019-10-10,26440.28
2019-11-11,26561.09
2019-12-12,26574.84
2020-1-1,26778.17
2020-2-2,26801.19
2020-3-3,26891.82
2020-4-4,27018.52
2020-5-5,27518.82
2020-6-6,27540.52
2020-7-7,27616.5
2020-8-8,27759.08
2020-9-9,28029.29
2020-10-10,28290.17
2020-11-11,28481.5
2020-12-12,29006.22
2021-1-1,29761.59
2021-2-2,30337.52
2021-3-3,30845.57
2021-4-4,31876.48
2021-5-5,32346.09
2021-6-6,32631.91
2021-7-7,33151.44
2021-8-8,33384.9
2021-9-9,33341.08
2021-10-10,33465.62
2021-11-11,33683.64
2021-12-12,34101.52
2022-1-1,34226.92
2022-2-2,34553.95
2022-3-3,34471.97
2022-4-4,35066.69
2022-5-5,36205.62
2022-6-6,36735.93
2022-7-7,37173.99
2022-8-8,37150.64
2022-9-9,37376.02
2022-10-10,37321.21
2022-11-11,37290.03
2022-12-12,37370.07
2023-1-1,37557.22
2023-2-2,37737.71
2023-3-3,37903.64
2023-4-4,37867.77
2023-5-5,38638.32
2023-6-6,38741.69
2023-7-7,38631.6
2023-8-8,38767.29
2023-9-9,38736.09
