,Mato Grosso do Sul- custo m2 (R$)
2003-1-1,9209.47
2003-2-2,9325.55
2003-3-3,9433.85
2003-4-4,9506.08
2003-5-5,9606.89
2003-6-6,10170.91
2003-7-7,10226.08
2003-8-8,10281.93
2003-9-9,10331.62
2003-10-10,10340.96
2003-11-11,10417.39
2003-12-12,10473.42
2004-1-1,10507.01
2004-2-2,10559.09
2004-3-3,10635.79
2004-4-4,10725.79
2004-5-5,11052.65
2004-6-6,11158.75
2004-7-7,11213.78
2004-8-8,11338.31
2004-9-9,11423.72
2004-10-10,11503.66
2004-11-11,11557.13
2004-12-12,11662.27
2005-1-1,11733.7
2005-2-2,11777.92
2005-3-3,11795.5
2005-4-4,11870.87
2005-5-5,12393.88
2005-6-6,12390.16
2005-7-7,12384.32
2005-8-8,12404.71
2005-9-9,12423.43
2005-10-10,12422.97
2005-11-11,12432.19
2005-12-12,12441.13
2006-1-1,12456.3
2006-2-2,12474.97
2006-3-3,12500.29
2006-4-4,12509.13
2006-5-5,12550.89
2006-6-6,12672.04
2006-7-7,12654.14
2006-8-8,12697.99
2006-9-9,12736.48
2006-10-10,12714.99
2006-11-11,12737.86
2006-12-12,12775.44
2007-1-1,12833.34
2007-2-2,12858.65
2007-3-3,12920.68
2007-4-4,12951.45
2007-5-5,13036.08
2007-6-6,13420.81
2007-7-7,13503.59
2007-8-8,13528.07
2007-9-9,13618.01
2007-10-10,13670.01
2007-11-11,13775.08
2007-12-12,13821.93
2008-1-1,13896.28
2008-2-2,13883.18
2008-3-3,13935.55
2008-4-4,13962.36
2008-5-5,14364.58
2008-6-6,14489.64
2008-7-7,14620.58
2008-8-8,14902.47
2008-9-9,15133.58
2008-10-10,15228.72
2008-11-11,15351.13
2008-12-12,15379.06
2009-1-1,15438.93
2009-2-2,15512.22
2009-3-3,15518.74
2009-4-4,15561.12
2009-5-5,16050.74
2009-6-6,16101.76
2009-7-7,16085.89
2009-8-8,16138.94
2009-9-9,16163.28
2009-10-10,16195.91
2009-11-11,16287.92
2009-12-12,16342.29
2010-1-1,16406.13
2010-2-2,16446.0
2010-3-3,16547.52
2010-4-4,17145.27
2010-5-5,17189.64
2010-6-6,17287.6
2010-7-7,17436.83
2010-8-8,17526.04
2010-9-9,17530.03
2010-10-10,17571.16
2010-11-11,17609.3
2010-12-12,17625.04
2011-1-1,17582.78
2011-2-2,17641.0
2011-3-3,17665.87
2011-4-4,17773.74
2011-5-5,18645.66
2011-6-6,18774.83
2011-7-7,18823.51
2011-8-8,18838.91
2011-9-9,18860.61
2011-10-10,18892.02
2011-11-11,18879.04
2011-12-12,18947.29
2012-1-1,18929.69
2012-2-2,18973.49
2012-3-3,18996.91
2012-4-4,19042.51
2012-5-5,19017.41
2012-6-6,19472.86
2012-7-7,19549.67
2012-8-8,19591.95
2012-9-9,19524.92
2012-10-10,19542.31
2012-11-11,19650.12
2012-12-12,19639.6
2013-1-1,19619.48
2013-2-2,19781.89
2013-3-3,19806.87
2013-4-4,19915.56
2013-5-5,18882.18
2013-6-6,19899.71
2013-7-7,19009.26
2013-8-8,19710.83
2013-9-9,19881.55
2013-10-10,19951.31
2013-11-11,19959.86
2013-12-12,20004.36
2014-1-1,19957.14
2014-2-2,20063.56
2014-3-3,20158.73
2014-4-4,20226.48
2014-5-5,20251.45
2014-6-6,20873.79
2014-7-7,20928.65
2014-8-8,21023.68
2014-9-9,20965.22
2014-10-10,21078.28
2014-11-11,21022.68
2014-12-12,20965.25
2015-1-1,20962.96
2015-2-2,21073.3
2015-3-3,21081.78
2015-4-4,21097.04
2015-5-5,21184.06
2015-6-6,21936.71
2015-7-7,22091.34
2015-8-8,22125.66
2015-9-9,22087.98
2015-10-10,22125.09
2015-11-11,22236.98
2015-12-12,22310.62
2016-1-1,22401.34
2016-2-2,22520.58
2016-3-3,22606.47
2016-4-4,22734.58
2016-5-5,23382.84
2016-6-6,23458.25
2016-7-7,23503.36
2016-8-8,23634.42
2016-9-9,23529.37
2016-10-10,23348.03
2016-11-11,23328.34
2016-12-12,23474.41
2017-1-1,23382.31
2017-2-2,23495.25
2017-3-3,23538.22
2017-4-4,23548.06
2017-5-5,23617.75
2017-6-6,23624.95
2017-7-7,24061.43
2017-8-8,24016.13
2017-9-9,24133.62
2017-10-10,24263.85
2017-11-11,24407.89
2017-12-12,24420.92
2018-1-1,24331.94
2018-2-2,24395.07
2018-3-3,24477.4
2018-4-4,24521.7
2018-5-5,24598.01
2018-6-6,24623.14
2018-7-7,25130.31
2018-8-8,25287.53
2018-9-9,25320.07
2018-10-10,25408.64
2018-11-11,25494.27
2018-12-12,25518.16
2019-1-1,25640.17
2019-2-2,25588.89
2019-3-3,25533.74
2019-4-4,25486.64
2019-5-5,25350.76
2019-6-6,25342.48
2019-7-7,25483.82
2019-8-8,25486.51
2019-9-9,25900.97
2019-10-10,25972.22
2019-11-11,26037.88
2019-12-12,26097.1
2020-1-1,26168.99
2020-2-2,26227.96
2020-3-3,26259.21
2020-4-4,26322.51
2020-5-5,26406.02
2020-6-6,26412.65
2020-7-7,26446.34
2020-8-8,26710.11
2020-9-9,27134.7
2020-10-10,27489.62
2020-11-11,27929.26
2020-12-12,28148.81
2021-1-1,28497.65
2021-2-2,28690.34
2021-3-3,29099.08
2021-4-4,29314.11
2021-5-5,30179.25
2021-6-6,31835.34
2021-7-7,33055.86
2021-8-8,33597.46
2021-9-9,34104.01
2021-10-10,34454.44
2021-11-11,34762.46
2021-12-12,35120.82
2022-1-1,35237.0
