,Paraná- custo m2 (R$)
2003-1-1,10701.75
2003-2-2,10753.39
2003-3-3,10785.98
2003-4-4,10872.89
2003-5-5,10936.06
2003-6-6,10979.36
2003-7-7,11583.88
2003-8-8,11628.1
2003-9-9,11640.64
2003-10-10,11646.56
2003-11-11,11653.31
2003-12-12,11699.61
2004-1-1,11742.35
2004-2-2,11800.89
2004-3-3,11841.38
2004-4-4,11891.9
2004-5-5,11962.41
2004-6-6,11988.91
2004-7-7,12304.77
2004-8-8,12410.62
2004-9-9,12479.5
2004-10-10,12587.64
2004-11-11,12661.75
2004-12-12,12794.18
2005-1-1,12836.42
2005-2-2,12913.09
2005-3-3,12964.62
2005-4-4,13054.65
2005-5-5,13138.03
2005-6-6,13559.98
2005-7-7,13585.01
2005-8-8,13611.49
2005-9-9,13590.42
2005-10-10,13657.17
2005-11-11,13673.82
2005-12-12,13686.79
2006-1-1,13699.84
2006-2-2,13727.55
2006-3-3,13743.4
2006-4-4,13758.18
2006-5-5,13805.66
2006-6-6,13834.35
2006-7-7,14091.06
2006-8-8,14142.29
2006-9-9,14159.62
2006-10-10,14170.05
2006-11-11,14189.94
2006-12-12,14183.0
2007-1-1,14207.79
2007-2-2,14236.49
2007-3-3,14267.3
2007-4-4,14277.38
2007-5-5,14348.63
2007-6-6,14359.67
2007-7-7,14667.72
2007-8-8,14689.22
2007-9-9,14707.16
2007-10-10,14737.09
2007-11-11,14778.04
2007-12-12,14822.19
2008-1-1,14856.12
2008-2-2,14871.65
2008-3-3,14910.05
2008-4-4,15006.02
2008-5-5,15146.24
2008-6-6,15871.44
2008-7-7,16039.21
2008-8-8,16268.37
2008-9-9,16465.49
2008-10-10,16565.62
2008-11-11,16655.99
2008-12-12,16704.59
2009-1-1,16843.01
2009-2-2,16864.09
2009-3-3,16869.96
2009-4-4,16887.87
2009-5-5,16887.32
2009-6-6,16932.42
2009-7-7,17586.46
2009-8-8,17591.86
2009-9-9,17627.63
2009-10-10,17640.33
2009-11-11,17647.27
2009-12-12,17672.07
2010-1-1,17682.3
2010-2-2,17697.36
2010-3-3,17721.64
2010-4-4,17731.38
2010-5-5,17776.49
2010-6-6,17836.74
2010-7-7,18672.37
2010-8-8,18704.92
2010-9-9,18718.24
2010-10-10,18727.43
2010-11-11,18743.2
2010-12-12,18774.12
2011-1-1,18812.11
2011-2-2,18832.4
2011-3-3,18898.63
2011-4-4,18902.39
2011-5-5,18968.74
2011-6-6,19061.57
2011-7-7,19963.06
2011-8-8,19981.07
2011-9-9,19995.21
2011-10-10,20032.71
2011-11-11,20076.96
2011-12-12,20119.3
2012-1-1,20118.22
2012-2-2,20225.0
2012-3-3,20335.48
2012-4-4,20425.59
2012-5-5,20558.13
2012-6-6,20633.66
2012-7-7,21125.7
2012-8-8,21834.68
2012-9-9,21942.41
2012-10-10,21928.58
2012-11-11,21944.88
2012-12-12,21960.01
2013-1-1,21990.38
2013-2-2,22012.54
2013-3-3,22163.65
2013-4-4,22172.89
2013-5-5,20786.66
2013-6-6,22262.9
2013-7-7,20853.77
2013-8-8,21801.04
2013-9-9,21955.91
2013-10-10,21995.43
2013-11-11,21972.09
2013-12-12,21996.7
2014-1-1,22023.4
2014-2-2,22026.32
2014-3-3,22101.3
2014-4-4,22216.52
2014-5-5,22195.32
2014-6-6,22183.54
2014-7-7,22331.99
2014-8-8,22702.36
2014-9-9,22725.18
2014-10-10,22682.74
2014-11-11,22792.4
2014-12-12,22837.14
2015-1-1,22803.9
2015-2-2,22777.13
2015-3-3,22855.17
2015-4-4,22967.72
2015-5-5,23053.5
2015-6-6,23161.51
2015-7-7,23271.28
2015-8-8,24223.25
2015-9-9,24230.87
2015-10-10,24215.48
2015-11-11,24249.29
2015-12-12,24357.56
2016-1-1,24489.06
2016-2-2,24579.69
2016-3-3,24792.3
2016-4-4,24855.02
2016-5-5,24809.25
2016-6-6,24753.68
2016-7-7,24777.7
2016-8-8,24759.18
2016-9-9,24835.05
2016-10-10,24856.37
2016-11-11,24825.94
