,Paraíba- custo m2 (R$)
2003-1-1,8825.95
2003-2-2,8943.44
2003-3-3,9035.07
2003-4-4,9128.47
2003-5-5,9271.01
2003-6-6,9332.75
2003-7-7,9406.22
2003-8-8,9405.36
2003-9-9,9432.16
2003-10-10,9500.34
2003-11-11,9515.34
2003-12-12,9570.32
2004-1-1,9577.65
2004-2-2,9636.16
2004-3-3,9691.03
2004-4-4,9719.38
2004-5-5,10099.7
2004-6-6,10131.42
2004-7-7,10185.58
2004-8-8,10294.12
2004-9-9,10341.87
2004-10-10,10451.74
2004-11-11,10664.26
2004-12-12,10855.18
2005-1-1,11152.27
2005-2-2,11192.12
2005-3-3,11250.2
2005-4-4,11231.12
2005-5-5,11318.61
2005-6-6,11361.89
2005-7-7,11400.22
2005-8-8,11423.14
2005-9-9,11406.24
2005-10-10,11430.26
2005-11-11,11452.65
2005-12-12,11473.59
2006-1-1,11476.79
2006-2-2,11483.83
2006-3-3,11532.1
2006-4-4,11554.16
2006-5-5,11929.3
2006-6-6,11948.66
2006-7-7,11980.93
2006-8-8,12003.23
2006-9-9,12015.75
2006-10-10,12056.54
2006-11-11,12095.46
2006-12-12,12112.6
2007-1-1,12171.57
2007-2-2,12181.53
2007-3-3,12206.67
2007-4-4,12611.59
2007-5-5,12698.47
2007-6-6,12773.14
2007-7-7,12808.38
2007-8-8,12825.69
2007-9-9,12843.61
2007-10-10,12861.62
2007-11-11,12912.49
2007-12-12,12934.8
2008-1-1,13216.83
2008-2-2,13338.01
2008-3-3,13411.38
2008-4-4,13485.69
2008-5-5,13509.11
2008-6-6,13636.76
2008-7-7,13780.52
2008-8-8,13936.07
2008-9-9,14130.52
2008-10-10,14210.43
2008-11-11,14409.68
2008-12-12,14389.12
2009-1-1,14525.61
2009-2-2,14590.85
2009-3-3,15247.11
2009-4-4,15277.24
2009-5-5,15289.08
2009-6-6,15355.1
2009-7-7,15382.76
2009-8-8,15375.04
2009-9-9,15434.84
2009-10-10,15460.42
2009-11-11,15500.3
2009-12-12,15528.17
2010-1-1,15520.17
2010-2-2,15536.05
2010-3-3,15600.16
2010-4-4,15639.4
2010-5-5,15740.75
2010-6-6,16398.2
2010-7-7,16476.99
2010-8-8,16507.14
2010-9-9,16553.31
2010-10-10,16561.36
2010-11-11,16576.87
2010-12-12,16630.34
2011-1-1,16619.06
2011-2-2,16664.24
2011-3-3,16709.75
2011-4-4,16767.09
2011-5-5,17456.82
2011-6-6,17530.73
2011-7-7,17609.09
2011-8-8,17606.71
2011-9-9,17730.47
2011-10-10,17818.79
2011-11-11,17819.41
2011-12-12,17813.64
2012-1-1,17820.47
2012-2-2,17908.92
2012-3-3,17929.7
2012-4-4,17949.59
2012-5-5,17984.94
2012-6-6,18017.17
2012-7-7,18031.25
2012-8-8,18854.06
2012-9-9,18851.65
2012-10-10,19016.5
2012-11-11,19031.85
2012-12-12,19044.19
2013-1-1,19079.45
2013-2-2,19140.41
2013-3-3,19119.21
2013-4-4,19076.55
2013-5-5,18853.95
2013-6-6,19964.31
2013-7-7,18863.64
2013-8-8,18924.74
2013-9-9,18992.43
2013-10-10,19065.81
2013-11-11,19107.09
2013-12-12,19143.04
2014-1-1,19092.61
2014-2-2,19199.7
2014-3-3,19267.98
2014-4-4,19331.44
2014-5-5,19928.08
2014-6-6,20044.97
2014-7-7,20044.97
2014-8-8,20112.84
2014-9-9,20274.02
2014-10-10,20374.12
2014-11-11,20507.34
2014-12-12,20466.82
2015-1-1,20582.11
2015-2-2,20669.29
2015-3-3,20712.12
2015-4-4,20627.8
2015-5-5,20716.28
2015-6-6,21062.25
2015-7-7,21212.57
2015-8-8,21213.14
2015-9-9,21242.16
2015-10-10,21622.32
2015-11-11,21596.77
2015-12-12,21600.96
2016-1-1,21608.4
2016-2-2,21781.1
2016-3-3,21774.44
2016-4-4,22328.18
2016-5-5,22333.57
2016-6-6,22323.37
2016-7-7,22376.82
2016-8-8,22631.67
2016-9-9,22775.28
2016-10-10,22806.83
2016-11-11,22904.18
2016-12-12,22940.02
2017-1-1,22820.64
2017-2-2,22808.78
2017-3-3,22855.81
2017-4-4,23514.41
2017-5-5,23504.41
2017-6-6,23507.33
2017-7-7,23541.18
2017-8-8,23530.0
2017-9-9,23600.46
2017-10-10,23884.93
2017-11-11,23853.96
2017-12-12,23987.69
2018-1-1,23948.81
2018-2-2,23955.78
2018-3-3,23993.52
2018-4-4,24045.43
2018-5-5,24116.22
2018-6-6,24312.05
2018-7-7,24401.24
2018-8-8,24530.05
2018-9-9,24621.98
2018-10-10,24777.65
2018-11-11,24891.16
2018-12-12,25040.76
2019-1-1,25143.9
2019-2-2,25213.67
2019-3-3,25242.48
2019-4-4,25415.16
