,Roraima- custo m2 (R$)
2003-1-1,11474.84
2003-2-2,11556.21
2003-3-3,11635.38
2003-4-4,11695.0
2003-5-5,11902.96
2003-6-6,12006.94
2003-7-7,12069.28
2003-8-8,12078.26
2003-9-9,12498.64
2003-10-10,12507.85
2003-11-11,12561.5
2003-12-12,12607.0
2004-1-1,12672.97
2004-2-2,12714.17
2004-3-3,12804.87
2004-4-4,12847.38
2004-5-5,12858.49
2004-6-6,12934.39
2004-7-7,13071.88
2004-8-8,13103.81
2004-9-9,13152.65
2004-10-10,13629.01
2004-11-11,13832.33
2004-12-12,14011.05
2005-1-1,14091.98
2005-2-2,14193.99
2005-3-3,14349.46
2005-4-4,14483.72
2005-5-5,14630.88
2005-6-6,14770.09
2005-7-7,14767.44
2005-8-8,14823.34
2005-9-9,14846.71
2005-10-10,15002.69
2005-11-11,15119.09
2005-12-12,15115.32
2006-1-1,15154.62
2006-2-2,15186.5
2006-3-3,15200.69
2006-4-4,15255.91
2006-5-5,15238.18
2006-6-6,15270.71
2006-7-7,15287.09
2006-8-8,15290.76
2006-9-9,15337.95
2006-10-10,15364.13
2006-11-11,15380.62
2006-12-12,15684.43
2007-1-1,15747.17
2007-2-2,15764.04
2007-3-3,15741.28
2007-4-4,15768.73
2007-5-5,15800.35
2007-6-6,15819.85
2007-7-7,15850.05
2007-8-8,15860.87
2007-9-9,15963.52
2007-10-10,16018.61
2007-11-11,16028.15
2007-12-12,16073.31
2008-1-1,16132.13
2008-2-2,16186.87
2008-3-3,16580.43
2008-4-4,16619.71
2008-5-5,16696.26
2008-6-6,16809.94
2008-7-7,16900.75
2008-8-8,17101.03
2008-9-9,17465.78
2008-10-10,17535.26
2008-11-11,18056.09
2008-12-12,18062.83
2009-1-1,18091.58
2009-2-2,18206.33
2009-3-3,18225.84
2009-4-4,18260.62
2009-5-5,18383.4
2009-6-6,18352.78
2009-7-7,18417.17
2009-8-8,18445.86
2009-9-9,18567.51
2009-10-10,19026.55
2009-11-11,19048.28
2009-12-12,19098.44
2010-1-1,19072.31
2010-2-2,19128.25
2010-3-3,19193.98
2010-4-4,19071.62
2010-5-5,18990.77
2010-6-6,19018.9
2010-7-7,19044.32
2010-8-8,19035.07
2010-9-9,19403.5
2010-10-10,19403.98
2010-11-11,19426.31
2010-12-12,19466.48
2011-1-1,19438.37
2011-2-2,19482.21
2011-3-3,19491.61
2011-4-4,19465.64
2011-5-5,19434.18
2011-6-6,19498.58
2011-7-7,19498.88
2011-8-8,19510.14
2011-9-9,19530.39
2011-10-10,20137.95
2011-11-11,20252.95
2011-12-12,20253.62
2012-1-1,20243.14
2012-2-2,20405.52
2012-3-3,20425.55
2012-4-4,20487.27
2012-5-5,20533.43
2012-6-6,20704.39
2012-7-7,20645.01
2012-8-8,20691.97
2012-9-9,20699.76
2012-10-10,20665.49
2012-11-11,21428.24
2012-12-12,21413.84
2013-1-1,21417.48
2013-2-2,21473.61
2013-3-3,21535.47
2013-4-4,21556.89
2013-5-5,20313.05
2013-6-6,21710.27
2013-7-7,20375.22
2013-8-8,20378.07
2013-9-9,20467.69
2013-10-10,21219.38
2013-11-11,21265.84
2013-12-12,21266.07
2014-1-1,21414.42
2014-2-2,21583.62
2014-3-3,21517.63
2014-4-4,21541.14
2014-5-5,21722.65
2014-6-6,21797.92
2014-7-7,21824.88
2014-8-8,21934.08
2014-9-9,21953.9
2014-10-10,22841.92
2014-11-11,22687.8
2014-12-12,22753.95
2015-1-1,22910.99
2015-2-2,22895.02
2015-3-3,22849.03
2015-4-4,22825.8
2015-5-5,22779.39
2015-6-6,22864.06
2015-7-7,22951.53
2015-8-8,23009.15
2015-9-9,23126.56
2015-10-10,24040.35
2015-11-11,23983.32
2015-12-12,23928.26
2016-1-1,24031.77
2016-2-2,24095.79
2016-3-3,24131.61
2016-4-4,24121.53
2016-5-5,24184.31
2016-6-6,24150.35
2016-7-7,24068.24
2016-8-8,24002.71
2016-9-9,25311.94
2016-10-10,25307.95
2016-11-11,25324.1
2016-12-12,25334.61
2017-1-1,25393.55
2017-2-2,25366.12
2017-3-3,25623.01
2017-4-4,25666.81
2017-5-5,25628.12
2017-6-6,25727.53
2017-7-7,25741.66
2017-8-8,25743.88
2017-9-9,25765.15
2017-10-10,26053.06
2017-11-11,26113.84
2017-12-12,26189.56
2018-1-1,26420.06
2018-2-2,26492.09
2018-3-3,26537.39
2018-4-4,26571.89
2018-5-5,26821.79
2018-6-6,27021.66
2018-7-7,27199.47
2018-8-8,27197.8
2018-9-9,27245.82
2018-10-10,27623.02
2018-11-11,27866.42
2018-12-12,27965.57
2019-1-1,27940.46
2019-2-2,28116.64
2019-3-3,28187.71
2019-4-4,28200.69
2019-5-5,28323.51
2019-6-6,28484.16
2019-7-7,28671.41
2019-8-8,28686.16
2019-9-9,28633.28
2019-10-10,28989.4
2019-11-11,29070.42
2019-12-12,29118.69
