,Santa Catarina- custo m2 (R$)
2003-1-1,9863.32
2003-2-2,9944.57
2003-3-3,9990.99
2003-4-4,10175.92
2003-5-5,10242.62
2003-6-6,10916.2
2003-7-7,10977.88
2003-8-8,11072.18
2003-9-9,11103.94
2003-10-10,11126.47
2003-11-11,11127.56
2003-12-12,11149.0
2004-1-1,11186.51
2004-2-2,11242.17
2004-3-3,11336.91
2004-4-4,11447.87
2004-5-5,11680.44
2004-6-6,11762.21
2004-7-7,11841.2
2004-8-8,11984.76
2004-9-9,12088.69
2004-10-10,12200.12
2004-11-11,12325.6
2004-12-12,12426.89
2005-1-1,12542.79
2005-2-2,12661.69
2005-3-3,12706.92
2005-4-4,12737.43
2005-5-5,12931.56
2005-6-6,12977.59
2005-7-7,13023.99
2005-8-8,13081.55
2005-9-9,13104.86
2005-10-10,13176.37
2005-11-11,13183.02
2005-12-12,13191.89
2006-1-1,13213.04
2006-2-2,13239.4
2006-3-3,13264.72
2006-4-4,13265.82
2006-5-5,13516.26
2006-6-6,13548.4
2006-7-7,13585.95
2006-8-8,13601.84
2006-9-9,13610.48
2006-10-10,13616.37
2006-11-11,13642.02
2006-12-12,13648.17
2007-1-1,13649.18
2007-2-2,13698.16
2007-3-3,13726.04
2007-4-4,13725.05
2007-5-5,14124.31
2007-6-6,14147.36
2007-7-7,14176.05
2007-8-8,14232.25
2007-9-9,14281.35
2007-10-10,14329.22
2007-11-11,14414.22
2007-12-12,14493.68
2008-1-1,14549.93
2008-2-2,14635.97
2008-3-3,14661.02
2008-4-4,14771.42
2008-5-5,15372.66
2008-6-6,15554.05
2008-7-7,15676.93
2008-8-8,15799.27
2008-9-9,16021.82
2008-10-10,16152.96
2008-11-11,16288.52
2008-12-12,16363.52
2009-1-1,16412.4
2009-2-2,16401.01
2009-3-3,16471.68
2009-4-4,16503.49
2009-5-5,17034.76
2009-6-6,17039.22
2009-7-7,17057.85
2009-8-8,17071.35
2009-9-9,17086.97
2009-10-10,17112.42
2009-11-11,17140.04
2009-12-12,17176.1
2010-1-1,17216.07
2010-2-2,17223.07
2010-3-3,17252.86
2010-4-4,17292.28
2010-5-5,17983.99
2010-6-6,18078.65
2010-7-7,18122.63
2010-8-8,18198.19
2010-9-9,18232.46
2010-10-10,18308.22
2010-11-11,18335.58
2010-12-12,18419.25
2011-1-1,18428.15
2011-2-2,18460.64
2011-3-3,18529.62
2011-4-4,18583.91
2011-5-5,19351.25
2011-6-6,19381.93
2011-7-7,19425.66
2011-8-8,19455.66
2011-9-9,19500.52
2011-10-10,19504.51
2011-11-11,19478.84
2011-12-12,19512.05
2012-1-1,19535.08
2012-2-2,19556.73
2012-3-3,19578.6
2012-4-4,19617.96
2012-5-5,19674.84
2012-6-6,20850.6
2012-7-7,20959.07
2012-8-8,21068.0
2012-9-9,21118.76
2012-10-10,21201.27
2012-11-11,21211.8
2012-12-12,21404.59
2013-1-1,21439.81
2013-2-2,21490.01
2013-3-3,21521.08
2013-4-4,21560.78
2013-5-5,20906.02
2013-6-6,22918.93
2013-7-7,21428.55
2013-8-8,21418.2
2013-9-9,21519.54
2013-10-10,21650.46
2013-11-11,21790.98
2013-12-12,21851.6
2014-1-1,22037.99
2014-2-2,22111.59
2014-3-3,22228.47
2014-4-4,22245.37
2014-5-5,22272.82
2014-6-6,22823.15
2014-7-7,22863.8
2014-8-8,22722.38
2014-9-9,22862.68
2014-10-10,22993.56
2014-11-11,23082.25
2014-12-12,23304.3
2015-1-1,23541.71
2015-2-2,23576.84
2015-3-3,23725.29
2015-4-4,23858.53
2015-5-5,23958.07
2015-6-6,24734.81
2015-7-7,25083.26
2015-8-8,25111.93
2015-9-9,25321.88
2015-10-10,25299.22
2015-11-11,25427.55
2015-12-12,25390.98
2016-1-1,25429.86
2016-2-2,25587.13
2016-3-3,25674.93
