,Sergipe- custo m2 (R$)
2003-1-1,8392.83
2003-2-2,8493.69
2003-3-3,8565.22
2003-4-4,8806.55
2003-5-5,8853.96
2003-6-6,8865.93
2003-7-7,9239.01
2003-8-8,9250.9
2003-9-9,9286.75
2003-10-10,9300.22
2003-11-11,9316.2
2003-12-12,9347.24
2004-1-1,9378.72
2004-2-2,9442.93
2004-3-3,9514.9
2004-4-4,9571.63
2004-5-5,9701.93
2004-6-6,9778.57
2004-7-7,9894.75
2004-8-8,10025.97
2004-9-9,10333.96
2004-10-10,10477.5
2004-11-11,10602.32
2004-12-12,10688.6
2005-1-1,10701.09
2005-2-2,10809.38
2005-3-3,10856.64
2005-4-4,10919.52
2005-5-5,10978.69
2005-6-6,11014.17
2005-7-7,11071.52
2005-8-8,11352.31
2005-9-9,11356.47
2005-10-10,11371.27
2005-11-11,11376.8
2005-12-12,11396.08
2006-1-1,11538.34
2006-2-2,11563.18
2006-3-3,11584.2
2006-4-4,11596.7
2006-5-5,12083.11
2006-6-6,12141.0
2006-7-7,12199.37
2006-8-8,12232.1
2006-9-9,12285.39
2006-10-10,12322.74
2006-11-11,12344.75
2006-12-12,12364.14
2007-1-1,12386.76
2007-2-2,12442.81
2007-3-3,12521.94
2007-4-4,12566.92
2007-5-5,13092.77
2007-6-6,13202.66
2007-7-7,13229.13
2007-8-8,13248.91
2007-9-9,13262.99
2007-10-10,13281.13
2007-11-11,13331.82
2007-12-12,13364.35
2008-1-1,13380.74
2008-2-2,13455.43
2008-3-3,13548.32
2008-4-4,13587.18
2008-5-5,14036.6
2008-6-6,14110.77
2008-7-7,14226.23
2008-8-8,14403.11
2008-9-9,14556.42
2008-10-10,14778.27
2008-11-11,14817.68
2008-12-12,14830.21
2009-1-1,14873.11
2009-2-2,14903.88
2009-3-3,15032.28
2009-4-4,15087.85
2009-5-5,15110.4
2009-6-6,15119.87
2009-7-7,15148.73
2009-8-8,15579.61
2009-9-9,15585.78
2009-10-10,15606.41
2009-11-11,15678.29
2009-12-12,15704.19
2010-1-1,15872.03
2010-2-2,15908.62
2010-3-3,15995.84
2010-4-4,16019.44
2010-5-5,16464.17
2010-6-6,16565.62
2010-7-7,16626.15
2010-8-8,16647.39
2010-9-9,16683.17
2010-10-10,16707.07
2010-11-11,16735.54
2010-12-12,16782.94
2011-1-1,16781.55
2011-2-2,16780.06
2011-3-3,16895.43
2011-4-4,16886.36
2011-5-5,17611.47
2011-6-6,17698.67
2011-7-7,17702.15
2011-8-8,17711.45
2011-9-9,17736.78
2011-10-10,17765.92
2011-11-11,17794.44
2011-12-12,17803.81
2012-1-1,17848.08
2012-2-2,17964.57
2012-3-3,17966.43
2012-4-4,18475.83
2012-5-5,18492.05
2012-6-6,18532.73
2012-7-7,18537.77
2012-8-8,18544.06
2012-9-9,18541.57
2012-10-10,18555.22
2012-11-11,18565.38
2012-12-12,18596.16
2013-1-1,18634.24
2013-2-2,18858.4
2013-3-3,18935.38
2013-4-4,18972.46
2013-5-5,18294.76
2013-6-6,19555.76
2013-7-7,18427.2
2013-8-8,18360.5
2013-9-9,18378.56
2013-10-10,18447.86
2013-11-11,18465.32
2013-12-12,18577.27
2014-1-1,18815.22
2014-2-2,18915.88
2014-3-3,18936.12
2014-4-4,18946.82
2014-5-5,19482.96
2014-6-6,19521.43
2014-7-7,19525.72
2014-8-8,19468.44
2014-9-9,19533.62
2014-10-10,19558.26
2014-11-11,19567.41
2014-12-12,19486.47
2015-1-1,19659.21
2015-2-2,19884.43
2015-3-3,19990.79
2015-4-4,20101.9
2015-5-5,20313.41
2015-6-6,20823.33
2015-7-7,20923.72
2015-8-8,20949.88
2015-9-9,21051.79
2015-10-10,21018.56
2015-11-11,21044.89
2015-12-12,20981.24
2016-1-1,21230.81
2016-2-2,21250.64
2016-3-3,21255.13
2016-4-4,21910.34
2016-5-5,21861.65
2016-6-6,21949.44
2016-7-7,21963.84
2016-8-8,21999.44
2016-9-9,21988.46
2016-10-10,21970.61
2016-11-11,21931.41
2016-12-12,21932.22
2017-1-1,21961.49
2017-2-2,22034.22
2017-3-3,22087.79
2017-4-4,22066.67
2017-5-5,22535.56
2017-6-6,22484.27
2017-7-7,22490.74
2017-8-8,22502.02
2017-9-9,22466.51
2017-10-10,22433.29
2017-11-11,22604.09
2017-12-12,22696.69
2018-1-1,22692.33
2018-2-2,22659.94
2018-3-3,22811.66
2018-4-4,22861.59
2018-5-5,22866.91
2018-6-6,22921.18
2018-7-7,23136.11
2018-8-8,23231.23
2018-9-9,23376.08
2018-10-10,23506.16
2018-11-11,23541.52
2018-12-12,23647.02
2019-1-1,23818.8
2019-2-2,23957.41
2019-3-3,23981.16
2019-4-4,24063.16
2019-5-5,24089.32
2019-6-6,24048.77
2019-7-7,24266.65
2019-8-8,24134.46
2019-9-9,24147.26
2019-10-10,24038.99
2019-11-11,24039.73
2019-12-12,24104.4
2020-1-1,24332.33
2020-2-2,24437.67
2020-3-3,24440.29
2020-4-4,24401.32
2020-5-5,24422.55
2020-6-6,24498.97
2020-7-7,24568.77
2020-8-8,24939.33
2020-9-9,25659.53
2020-10-10,26574.68
2020-11-11,26977.05
2020-12-12,27472.73
2021-1-1,28290.48
2021-2-2,28901.26
2021-3-3,29234.38
2021-4-4,29762.74
2021-5-5,30388.31
2021-6-6,30586.0
2021-7-7,31559.59
2021-8-8,31944.27
2021-9-9,32348.28
2021-10-10,32533.15
2021-11-11,32996.58
2021-12-12,33174.14
2022-1-1,33164.85
2022-2-2,33675.03
2022-3-3,33869.72
2022-4-4,33903.87
