,Tocantins- custo m2 (R$)
2003-1-1,9892.63
2003-2-2,10023.15
2003-3-3,10145.48
2003-4-4,10193.95
2003-5-5,10352.16
2003-6-6,10436.85
2003-7-7,11015.48
2003-8-8,11069.51
2003-9-9,11079.02
2003-10-10,11097.38
2003-11-11,11278.28
2003-12-12,11358.26
2004-1-1,11418.44
2004-2-2,11432.73
2004-3-3,11484.16
2004-4-4,11487.9
2004-5-5,11582.85
2004-6-6,11618.25
2004-7-7,11751.16
2004-8-8,11815.37
2004-9-9,11935.85
2004-10-10,12148.88
2004-11-11,12328.01
2004-12-12,12426.51
2005-1-1,12511.12
2005-2-2,12581.85
2005-3-3,12667.18
2005-4-4,12702.72
2005-5-5,12763.85
2005-6-6,12803.57
2005-7-7,12828.8
2005-8-8,13221.17
2005-9-9,13226.35
2005-10-10,13247.63
2005-11-11,13251.52
2005-12-12,13294.28
2006-1-1,13344.64
2006-2-2,13370.97
2006-3-3,13392.5
2006-4-4,13428.98
2006-5-5,13451.22
2006-6-6,13481.67
2006-7-7,13505.63
2006-8-8,13553.14
2006-9-9,13576.73
2006-10-10,13634.48
2006-11-11,13649.94
2006-12-12,13693.67
2007-1-1,13911.85
2007-2-2,13928.63
2007-3-3,13966.63
2007-4-4,14009.03
2007-5-5,14063.21
2007-6-6,14088.53
2007-7-7,14119.29
2007-8-8,14188.07
2007-9-9,14258.49
2007-10-10,14316.38
2007-11-11,14482.39
2007-12-12,14794.0
2008-1-1,14811.95
2008-2-2,14835.37
2008-3-3,14899.54
2008-4-4,14826.24
2008-5-5,14926.88
2008-6-6,14979.29
2008-7-7,15163.1
2008-8-8,15946.92
2008-9-9,16157.23
2008-10-10,16347.99
2008-11-11,16516.54
2008-12-12,16658.56
2009-1-1,16688.0
2009-2-2,16668.57
2009-3-3,16693.76
2009-4-4,16738.41
2009-5-5,16728.49
2009-6-6,16732.7
2009-7-7,16618.2
2009-8-8,16666.04
2009-9-9,16704.7
2009-10-10,16718.96
2009-11-11,17100.96
2009-12-12,17141.77
2010-1-1,17305.94
2010-2-2,17335.45
2010-3-3,17397.39
2010-4-4,17456.79
2010-5-5,17500.6
2010-6-6,17531.98
2010-7-7,17667.41
2010-8-8,17722.74
2010-9-9,17734.85
2010-10-10,17741.87
2010-11-11,17683.42
2010-12-12,17718.81
2011-1-1,18210.37
2011-2-2,18248.59
2011-3-3,18256.31
2011-4-4,18286.66
2011-5-5,18262.71
2011-6-6,18316.47
2011-7-7,18347.62
2011-8-8,18371.58
2011-9-9,18359.69
2011-10-10,18398.28
2011-11-11,18408.31
2011-12-12,18483.58
2012-1-1,18482.54
2012-2-2,18567.28
2012-3-3,19308.16
2012-4-4,19334.52
2012-5-5,19423.26
2012-6-6,19556.22
2012-7-7,19557.62
2012-8-8,19892.16
2012-9-9,19887.28
2012-10-10,19827.28
2012-11-11,19793.79
2012-12-12,19839.93
2013-1-1,19840.28
2013-2-2,19940.26
2013-3-3,19959.4
2013-4-4,20024.5
2013-5-5,19509.32
2013-6-6,20980.15
2013-7-7,19693.73
2013-8-8,19738.65
2013-9-9,19849.89
2013-10-10,20160.85
2013-11-11,20257.94
