UF,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023
Rondônia,8797.19,8996.67,9030.02,9148.10,9149.99,9627.14,9642.04,9686.75,9777.57,9809.77,9850.06,9865.12,9972.16,9988.85,10013.76,10073.00,10377.16,10498.51,10564.10,10732.29,10798.46,10855.16,10952.31,10961.07,10998.34,11057.75,11192.74,11235.25,11288.24,11661.41,11680.80,11689.04,11705.36,11711.14,11676.85,11692.40,11721.06,11720.48,11767.52,11709.37,11821.34,11980.94,12010.45,12005.73,12028.55,12096.00,12112.33,12147.00,12161.15,12464.37,12496.87,12547.10,12634.37,12754.04,12782.18,12778.61,12834.14,12936.63,13001.58,13081.26,13190.79,13253.22,13402.07,13437.23,13914.37,14081.61,14342.50,14579.19,14788.46,15218.12,15212.99,15304.23,15367.43,15470.64,15527.97,15561.18,15725.68,15736.60,15819.23,15752.13,15746.60,15764.76,15816.03,15918.73,16016.03,17554.07,17667.94,17759.84,17865.54,17925.30,17995.96,18070.88,18212.21,18253.53,18461.62,18266.82,18275.42,18278.23,18322.09,18414.83,18970.51,19023.11,18968.26,18981.68,19055.31,19008.90,19072.12,19144.41,20108.29,20228.47,20157.69,20257.82,20495.79,20392.40,20448.23,20555.58,20677.39,20794.53,20754.09,20909.01,20977.04,21013.79,21762.14,21942.81,20713.44,21989.91,20752.23,20752.71,20841.70,20941.19,21010.75,21049.95,21107.08,21742.57,21735.62,21940.53,22101.55,22127.84,22077.79,22102.70,22112.18,22134.79,22207.63,22262.50,22323.72,22273.21,22237.01,22347.07,23158.49,23212.68,23216.56,23141.26,23276.81,23260.96,23344.37,23180.77,23122.33,23219.36,23377.97,23419.52,24415.71,24307.30,24290.84,24323.11,24377.66,24397.66,24492.85,24353.94,24355.41,24423.93,24380.71,24367.86,24403.21,24924.86,24977.06,25086.71,25077.37,25209.36,25412.09,25519.05,25402.27,25426.59,25503.07,25598.72,25619.22,25739.94,25709.06,26172.49,26361.17,26613.20,26611.54,26672.73,26981.48,27074.98,27143.04,27233.08,27143.80,27472.60,28198.02,28310.60,28345.23,28299.91,28332.67,28382.52,28605.33,28696.54,28705.32,28672.61,28677.61,28699.02,28762.73,28897.36,29127.28,29654.31,30668.53,31383.74,31488.47,31772.97,31861.65,32310.29,33081.74,34252.17,34836.65,35013.86,35307.82,35640.20,35866.69,35957.66,36403.11,36506.05,36414.49,37577.90,38370.72,38944.48,39436.24,41422.50,41419.19,41512.42,41546.72,41454.59,41455.41,41684.61,42030.04,41978.89,42093.94,42701.94,42556.62,42516.31,42816.19
Acre,9092.37,9212.65,9256.72,9433.16,9892.15,9913.09,10001.86,10035.05,10066.47,10134.67,10174.05,10193.08,10247.14,10285.97,10345.42,10428.57,10452.65,10522.88,10802.47,10828.19,10880.89,10929.40,10968.27,11121.21,11133.15,11199.69,11263.05,11361.73,11775.15,11825.17,11862.90,11883.87,11943.85,12019.08,12067.96,12053.13,12109.05,12131.73,12124.18,12081.70,12187.50,12237.74,12267.23,12702.89,12730.95,12759.41,12811.59,12860.35,12902.57,12921.04,12970.41,12984.82,13081.21,13152.26,13743.24,13742.14,13833.04,13871.95,13891.91,13932.39,13963.30,13990.87,14069.00,14187.37,14951.68,15207.01,15349.53,15536.25,15848.76,15889.48,16051.80,16131.93,16186.02,16228.91,16260.22,16401.97,17278.92,17365.89,17387.55,17378.05,17276.00,17327.47,17339.30,17384.39,17442.10,17435.61,17469.34,17488.71,17556.92,17676.34,18395.86,18452.58,18513.27,18570.52,18660.76,18689.69,18712.50,18778.72,18817.27,19404.41,19542.99,19614.63,20394.62,20412.39,20452.89,20556.55,20620.13,20650.03,20611.28,20810.03,20899.05,20878.92,20929.77,20942.44,20976.66,21883.95,21881.33,21972.37,22109.87,22230.97,22287.72,22433.75,22338.70,22529.71,21259.68,23249.65,21877.60,21931.61,22000.06,22227.62,22273.43,22407.10,22577.52,22624.87,22720.00,22792.68,22848.85,22662.20,23532.73,23684.36,23697.61,23794.56,23893.33,23867.61,23904.71,23867.71,23985.12,23971.14,24027.34,24939.91,24939.10,24908.69,25059.52,25254.20,25259.62,25003.09,25140.78,25283.88,25134.96,25267.99,25334.86,26196.67,26290.26,26337.68,26102.09,26162.09,26256.40,26296.08,26469.99,26439.37,26569.49,26496.45,26477.29,27170.39,27157.78,27329.26,27395.72,27567.21,27692.23,27806.66,27803.62,27843.33,28002.51,28055.83,28074.58,28082.68,28521.05,28548.31,28685.91,28804.30,29117.14,29306.24,29213.79,29284.04,29300.73,29354.84,29470.56,29986.62,29879.20,29981.04,30066.52,30055.12,30201.35,30304.19,30376.28,30469.70,30559.88,30554.91,30696.88,30686.12,30995.27,31284.24,31996.45,32480.27,33227.70,33808.03,34345.58,34664.84,34668.32,34945.13,35278.56,35741.65,36626.57,36786.90,37766.25,38191.59,38302.92,38494.52,38805.72,38743.72,39378.23,40044.23,41475.55,42053.61,42241.81,42473.59,42913.71,42987.52,43061.50,42990.02,42831.89,43084.47,43061.43,43083.39,43428.82,44349.48,44329.01,44318.11,44419.48
Amazonas,10252.87,10320.95,10422.98,10486.95,10509.97,10543.52,11008.12,11035.81,11069.56,11090.73,11107.18,11167.50,11163.88,11362.49,11404.66,11506.72,11569.47,11673.74,11751.98,11769.74,11901.28,12021.98,12131.19,12236.43,12582.67,12682.31,12746.69,12792.41,12829.55,12938.76,13292.84,13309.99,13350.97,13370.92,13449.28,13448.85,13513.73,13532.55,13560.46,13560.51,13571.01,13628.56,13955.19,13960.76,14001.98,14030.96,14078.55,14106.58,14144.76,14240.01,14251.74,14281.97,14316.29,14356.73,14654.27,14675.10,14718.06,14786.42,14932.16,14934.90,15014.69,15016.99,15026.56,15099.27,15205.24,15289.38,16100.71,16362.07,16680.35,16961.83,16970.01,17009.76,17101.88,17148.32,17256.77,17367.31,17301.83,17310.71,17711.22,17732.11,17805.54,17881.09,17891.55,17899.32,18037.00,17997.41,18109.27,18142.15,18177.54,18261.02,18329.58,18711.76,18774.88,18853.37,18964.69,19001.64,18988.64,19021.39,19060.62,19068.54,19117.76,19158.88,19886.36,19865.82,19921.72,19951.31,20003.99,20021.85,20054.78,20078.63,20133.48,20144.70,20210.34,20352.95,20361.30,20833.30,20806.25,20806.01,20704.12,20692.62,20685.54,20803.74,20850.64,21064.94,19842.81,20889.88,19724.19,20343.30,20366.54,20511.83,20535.38,20661.63,20740.56,20878.29,20951.76,20994.17,21093.91,20992.74,21006.60,21616.45,21583.05,21607.59,21648.25,21772.17,21870.41,21849.27,22033.09,22135.47,22202.95,22246.23,22430.60,23164.82,23349.18,23496.36,23609.93,23606.17,23554.48,23670.80,23607.39,23561.08,23328.46,23416.00,23390.56,23340.06,23349.76,23340.22,23313.02,23253.36,24115.32,24099.03,24220.86,24254.22,24283.55,24317.70,24343.70,24271.14,24389.68,24440.71,24477.02,24588.53,24631.17,24786.92,24739.54,24748.59,24848.22,24754.00,24784.35,24941.99,25642.87,25794.21,25924.62,25984.19,26024.07,26052.67,26251.46,26435.25,26609.04,26627.74,26402.58,26543.47,27274.04,27283.39,27208.90,27319.19,27354.16,27346.48,27430.02,27494.73,27482.05,27561.65,27706.29,28092.03,28461.61,29198.27,29894.53,30392.71,30640.90,30920.74,31363.53,31741.99,32228.90,32703.55,32967.01,33194.88,34250.73,34700.54,35105.55,35462.14,35916.32,35973.96,36848.09,37149.73,37561.50,38154.44,38545.89,39716.46,39970.73,40245.36,40541.09,41127.33,41609.91,42241.85,42356.67,42451.72,42762.26,42984.11,42984.32,42637.30,43321.59
Roraima,11474.84,11556.21,11635.38,11695.00,11902.96,12006.94,12069.28,12078.26,12498.64,12507.85,12561.50,12607.00,12672.97,12714.17,12804.87,12847.38,12858.49,12934.39,13071.88,13103.81,13152.65,13629.01,13832.33,14011.05,14091.98,14193.99,14349.46,14483.72,14630.88,14770.09,14767.44,14823.34,14846.71,15002.69,15119.09,15115.32,15154.62,15186.50,15200.69,15255.91,15238.18,15270.71,15287.09,15290.76,15337.95,15364.13,15380.62,15684.43,15747.17,15764.04,15741.28,15768.73,15800.35,15819.85,15850.05,15860.87,15963.52,16018.61,16028.15,16073.31,16132.13,16186.87,16580.43,16619.71,16696.26,16809.94,16900.75,17101.03,17465.78,17535.26,18056.09,18062.83,18091.58,18206.33,18225.84,18260.62,18383.40,18352.78,18417.17,18445.86,18567.51,19026.55,19048.28,19098.44,19072.31,19128.25,19193.98,19071.62,18990.77,19018.90,19044.32,19035.07,19403.50,19403.98,19426.31,19466.48,19438.37,19482.21,19491.61,19465.64,19434.18,19498.58,19498.88,19510.14,19530.39,20137.95,20252.95,20253.62,20243.14,20405.52,20425.55,20487.27,20533.43,20704.39,20645.01,20691.97,20699.76,20665.49,21428.24,21413.84,21417.48,21473.61,21535.47,21556.89,20313.05,21710.27,20375.22,20378.07,20467.69,21219.38,21265.84,21266.07,21414.42,21583.62,21517.63,21541.14,21722.65,21797.92,21824.88,21934.08,21953.90,22841.92,22687.80,22753.95,22910.99,22895.02,22849.03,22825.80,22779.39,22864.06,22951.53,23009.15,23126.56,24040.35,23983.32,23928.26,24031.77,24095.79,24131.61,24121.53,24184.31,24150.35,24068.24,24002.71,25311.94,25307.95,25324.10,25334.61,25393.55,25366.12,25623.01,25666.81,25628.12,25727.53,25741.66,25743.88,25765.15,26053.06,26113.84,26189.56,26420.06,26492.09,26537.39,26571.89,26821.79,27021.66,27199.47,27197.80,27245.82,27623.02,27866.42,27965.57,27940.46,28116.64,28187.71,28200.69,28323.51,28484.16,28671.41,28686.16,28633.28,28989.40,29070.42,29118.69,29199.52,29181.15,29112.12,29066.17,29109.21,29132.07,29246.86,29414.25,29904.66,30139.67,30673.31,31841.57,32180.92,32431.77,32664.97,33182.73,34011.93,34240.35,34857.40,35555.80,36185.88,36742.71,37969.57,38226.58,38345.93,38489.73,38750.54,38633.46,39146.82,39840.01,40187.84,40589.95,40909.60,42154.89,42216.30,42561.53,42414.81,42556.22,42373.32,42734.04,42862.18,42794.54,42877.50,42917.19,43250.11
Pará,9342.25,9506.07,9670.32,9703.79,9802.50,9815.82,9854.44,9861.53,9877.57,10162.36,10333.62,10368.01,10475.99,10511.98,10581.60,10620.18,10695.96,10785.75,10854.57,10911.67,10942.87,11049.50,11141.66,11319.99,11495.10,11503.25,11553.75,11589.90,11671.62,11692.84,11726.41,11759.14,11764.56,12003.90,12034.68,12099.42,12174.04,12299.68,12345.90,12352.10,12435.79,12453.05,12483.04,12531.94,12804.46,12867.68,12896.03,12901.26,12935.79,12982.92,12990.35,13054.94,13088.56,13114.54,13136.20,13158.04,13550.79,13595.70,13619.62,13739.92,13832.78,13970.59,13992.68,14029.71,14084.98,14300.73,14436.17,14647.15,14769.55,15372.90,15568.96,15617.50,15625.04,15777.89,15811.69,15804.26,15813.57,15807.11,15803.69,15899.03,15929.56,16399.89,16448.25,16477.55,16513.07,16692.19,16762.64,16814.61,16831.15,16943.92,16989.58,17022.53,17681.15,17772.43,17798.85,17846.13,17866.80,17919.21,17918.37,17982.18,18038.96,18045.43,18076.34,18087.14,18147.10,18887.15,18915.03,18901.06,18913.91,18998.25,19002.56,19025.54,19024.43,19089.48,19138.25,19224.58,19147.15,19885.33,19837.82,19902.86,19976.55,19984.62,20067.49,20015.42,18886.79,19961.05,18784.71,18809.52,19546.96,19745.55,19807.73,19906.41,20007.60,20179.41,20296.93,20248.04,20229.06,20246.98,20275.99,20357.19,20360.00,20910.66,20951.09,20956.56,21074.24,21198.86,21193.48,21168.66,21162.67,21265.07,21523.34,21624.11,21715.19,22703.46,22755.24,22788.83,22897.65,23162.82,23223.44,23256.66,23364.56,23427.71,23502.14,23533.73,23649.24,24489.80,24394.34,24415.22,24398.60,24450.72,24297.79,24289.42,24243.40,24208.69,24140.90,24099.34,24427.21,24444.31,24544.11,24578.10,24535.09,24601.89,24666.04,24675.26,24741.34,24822.72,24926.86,25026.96,25103.38,25811.13,25909.33,26026.07,26055.15,26090.29,26168.72,26408.32,26408.96,26463.11,26514.89,26516.22,26493.48,26993.20,26878.69,26898.00,27080.59,27125.83,27166.44,27090.05,27120.89,27181.29,27242.08,27405.38,28067.05,28616.08,29313.24,29891.97,30332.99,30637.71,31124.88,31726.20,32209.29,32413.38,32692.93,33225.92,33817.36,35358.97,35844.21,35885.22,36204.47,36280.82,36633.79,37127.22,37570.51,37960.55,38128.89,38199.64,38350.10,39316.72,39710.03,39774.11,40106.14,40247.10,40212.79,40185.71,40168.73,40229.43,40146.94,40075.64,40104.65
Amapá,9537.36,9647.72,9744.17,9822.52,9892.03,10085.44,10129.76,10198.17,10205.00,10261.60,10298.18,10447.06,10581.40,10615.37,10686.95,10704.94,10728.36,10815.32,10917.48,10997.89,11006.65,11096.77,11302.52,11481.54,11768.39,12247.11,12354.84,12388.66,12488.95,12468.73,12492.65,12529.33,12534.29,12519.48,12546.21,12772.12,12875.65,12910.01,12928.29,12960.58,13035.55,13093.61,13131.02,13169.46,13192.73,13230.05,13259.26,13937.88,14088.36,14104.87,14143.34,14154.16,14139.10,14174.09,14170.46,14197.52,14312.36,14365.92,14422.05,14486.31,14811.75,14918.49,15021.89,15077.82,15155.15,15172.77,15222.30,15241.47,15556.27,15691.04,15753.50,16435.63,16471.72,16564.40,16611.61,16598.35,16591.37,16662.87,16671.85,16754.10,16735.00,16757.70,16822.33,16894.24,17438.34,17479.41,17606.75,17621.93,17620.03,17689.89,17739.00,17740.11,17795.91,17827.95,17863.50,17940.27,18008.70,18034.50,18095.91,18108.01,18122.60,18129.26,18154.21,18121.34,18189.93,18366.22,18404.40,18594.14,19546.43,19696.22,19715.45,19742.68,19795.37,19816.11,19869.30,20182.76,20205.95,20308.79,20327.35,20333.66,21050.16,21074.04,21008.41,21078.54,19977.62,21219.90,19976.86,20064.08,20081.59,20282.77,20577.28,20754.46,21441.88,21523.84,22054.16,21964.25,22090.45,22109.86,22116.37,22178.07,22185.39,22130.63,22305.39,22124.90,23071.60,23125.45,23108.75,23131.36,23057.73,23121.89,23159.85,23206.42,23293.06,23299.86,23431.82,24344.82,24467.28,24124.03,24218.12,24245.63,24332.07,24246.44,24232.12,24307.91,24350.90,24417.41,24480.72,24473.85,25163.01,25203.31,25250.39,25213.32,25293.86,25263.64,25201.45,25277.59,25277.14,25361.19,25412.43,25401.97,25565.46,25692.14,25509.65,25547.29,25560.55,25691.71,25701.22,25784.33,25856.77,26131.62,26799.03,26857.43,26780.05,26784.00,26730.03,27266.05,27468.04,27624.17,27659.45,27570.07,27522.16,27661.99,27871.84,27921.31,27964.63,27948.15,28597.45,28922.67,29097.63,29270.36,29520.62,29793.81,30045.92,30354.36,30835.69,31333.58,31545.25,32222.21,32932.95,33057.21,33152.29,33763.85,34653.52,34873.94,35358.96,35746.18,35987.08,36196.20,35984.14,37744.35,38001.04,38250.58,38687.52,39175.66,39350.28,39584.85,39752.98,39818.38,39829.93,40209.89,40149.64,40918.91,40979.15,41088.70,41121.34,41359.92,41424.84,41667.24,41864.57
Tocantins,9892.63,10023.15,10145.48,10193.95,10352.16,10436.85,11015.48,11069.51,11079.02,11097.38,11278.28,11358.26,11418.44,11432.73,11484.16,11487.90,11582.85,11618.25,11751.16,11815.37,11935.85,12148.88,12328.01,12426.51,12511.12,12581.85,12667.18,12702.72,12763.85,12803.57,12828.80,13221.17,13226.35,13247.63,13251.52,13294.28,13344.64,13370.97,13392.50,13428.98,13451.22,13481.67,13505.63,13553.14,13576.73,13634.48,13649.94,13693.67,13911.85,13928.63,13966.63,14009.03,14063.21,14088.53,14119.29,14188.07,14258.49,14316.38,14482.39,14794.00,14811.95,14835.37,14899.54,14826.24,14926.88,14979.29,15163.10,15946.92,16157.23,16347.99,16516.54,16658.56,16688.00,16668.57,16693.76,16738.41,16728.49,16732.70,16618.20,16666.04,16704.70,16718.96,17100.96,17141.77,17305.94,17335.45,17397.39,17456.79,17500.60,17531.98,17667.41,17722.74,17734.85,17741.87,17683.42,17718.81,18210.37,18248.59,18256.31,18286.66,18262.71,18316.47,18347.62,18371.58,18359.69,18398.28,18408.31,18483.58,18482.54,18567.28,19308.16,19334.52,19423.26,19556.22,19557.62,19892.16,19887.28,19827.28,19793.79,19839.93,19840.28,19940.26,19959.40,20024.50,19509.32,20980.15,19693.73,19738.65,19849.89,20160.85,20257.94,20314.41,20601.76,20603.83,20710.19,20623.22,20758.03,21461.09,21452.87,21357.35,21448.40,21674.77,21697.40,21694.29,21587.68,21902.41,21881.60,22044.44,21978.29,22014.14,22695.17,22689.12,22891.95,22628.15,22773.59,22848.89,23444.97,23525.62,23536.41,23564.82,23574.17,23451.69,23514.43,23602.90,23648.81,23881.82,24014.48,24651.71,24763.57,24859.99,25126.22,25259.29,25391.29,25329.27,25550.17,25605.61,25553.82,25747.22,25705.76,25707.00,25575.27,25673.12,25777.70,25966.55,25980.69,25871.95,25876.76,25924.35,26159.43,26718.90,26749.29,26739.83,26760.72,26854.64,26893.27,26935.79,26966.54,26967.64,27048.74,27156.86,27257.69,27224.83,27212.37,27220.62,27438.88,27531.67,27489.14,27741.57,27901.62,27927.18,28038.54,28288.13,28841.72,29385.97,30131.11,30709.11,31259.24,31530.34,31800.15,31839.47,32239.81,32669.91,33515.78,33829.40,34086.70,34341.56,34899.23,35019.35,36441.14,36708.83,36791.20,37576.46,38082.55,38553.25,40124.23,40432.00,40407.89,40575.56,40303.47,40458.53,40744.72,40937.09,40755.30,40975.85,40918.43,40799.23,41267.17,41207.05,41411.93
Maranhão,9442.87,9592.82,9699.91,9816.51,9850.66,9939.44,9954.21,10227.41,10275.61,10378.38,10412.69,10425.42,10628.71,10707.39,10748.05,10768.78,10807.97,10873.15,10924.07,11021.32,11123.30,11233.68,11376.06,11547.53,11932.56,12010.83,11999.91,12013.34,12095.56,12170.05,12198.14,12256.81,12301.16,12330.92,12411.88,12437.98,12819.57,12810.66,12819.48,12838.63,12886.67,12941.72,13029.24,13044.41,13072.54,13111.57,13107.08,13128.63,13391.07,13413.76,13483.12,13492.61,13524.30,13520.75,13614.00,13647.48,13650.52,13651.34,13833.19,14236.14,14263.07,14370.14,14414.41,14442.21,14582.36,14635.05,14723.37,14963.06,15221.19,15389.65,15558.73,15632.72,16118.30,16154.28,16223.71,16175.78,16206.19,16305.35,16445.29,16431.69,16482.08,16531.38,16543.80,16670.59,16757.28,17319.53,17444.45,17422.61,17372.50,17438.14,17499.95,17525.03,17538.02,17669.96,17685.34,17702.97,17745.41,18521.03,18543.65,18628.08,18693.12,19058.65,19117.09,19160.06,19182.88,19170.56,19258.21,19322.22,19282.64,19331.36,19416.32,19620.56,19652.24,19657.65,19700.12,19746.85,20148.51,20154.96,20168.90,20456.85,20511.71,20612.98,20623.46,20590.13,19433.38,20676.42,19535.93,19451.07,19728.78,19821.99,20164.00,20219.57,20311.67,20397.37,20592.85,20534.81,20510.44,20467.84,20508.47,20447.27,20616.76,20633.89,20487.23,20582.16,20580.05,20573.03,21063.96,21175.81,21274.84,21364.41,21403.24,21401.47,21587.96,21697.13,21726.30,21735.60,21743.28,21994.23,22442.61,22367.91,22510.18,22523.74,22955.60,22974.22,22972.05,23046.59,23111.33,23088.23,23189.20,23202.57,23787.54,23840.87,23923.56,23827.66,23990.21,24003.12,24089.14,24090.23,24235.78,24227.78,24303.40,24455.69,24474.65,24544.64,24606.22,24625.03,24883.91,24980.04,25229.03,25518.03,25769.50,25736.42,25699.73,25693.25,25654.31,26318.88,26257.93,26460.95,26513.45,26459.48,26439.74,26440.28,26561.09,26574.84,26778.17,26801.19,26891.82,27018.52,27518.82,27540.52,27616.50,27759.08,28029.29,28290.17,28481.50,29006.22,29761.59,30337.52,30845.57,31876.48,32346.09,32631.91,33151.44,33384.90,33341.08,33465.62,33683.64,34101.52,34226.92,34553.95,34471.97,35066.69,36205.62,36735.93,37173.99,37150.64,37376.02,37321.21,37290.03,37370.07,37557.22,37737.71,37903.64,37867.77,38638.32,38741.69,38631.60,38767.29,38736.09
Piauí,8322.00,8552.80,8608.56,8741.33,8867.82,8897.82,8917.71,9034.45,9045.62,9088.29,9147.62,9213.98,9504.81,9568.68,9597.25,9628.59,9656.06,9744.88,9801.41,9899.19,10025.27,10093.81,10263.11,10429.68,10622.97,10676.10,10734.74,10757.83,10822.15,10864.37,10890.96,10878.34,10872.98,10945.44,10978.83,10995.82,11400.47,11463.26,11474.61,11481.46,11620.00,11674.42,11720.59,11729.33,11780.04,11798.91,11834.46,11873.17,11944.30,12261.55,12317.75,12339.03,12411.33,12436.50,12522.76,12551.97,12637.58,12671.75,12718.28,12781.96,12830.87,13353.93,13406.84,13415.50,13600.16,13686.44,13771.35,13957.93,14301.15,14512.39,14575.06,15160.55,15164.16,15160.80,15228.03,15232.38,15220.58,15222.45,15189.08,15277.62,15382.61,15383.36,15486.62,15553.79,16260.01,16332.60,16364.69,16397.12,16411.90,16511.45,16546.04,16607.05,16551.88,16655.56,16671.14,16740.53,17355.19,17389.99,17441.92,17445.73,17456.73,17503.85,17590.02,17576.36,17595.98,17611.11,17670.40,17713.97,17690.78,18278.27,18317.39,18354.69,18355.85,18434.45,18517.24,18595.78,18551.15,18603.27,18665.86,18673.81,18743.00,18751.59,19475.32,19563.62,18615.27,19710.42,18661.78,18743.06,18883.13,18865.68,18939.08,19756.05,19800.26,19783.05,19913.10,19959.42,19983.89,20047.70,19947.10,19961.36,20019.76,20094.80,20208.12,20827.56,20811.35,20872.83,20946.12,21035.98,21141.07,21201.16,21192.00,21236.58,21303.77,21394.37,21447.83,21416.02,22396.71,22501.96,22502.65,22630.21,22756.42,22588.63,22389.08,22419.08,22282.82,22279.10,22393.50,23104.12,23110.93,23281.14,23308.71,23402.55,23411.74,23441.05,23478.48,23651.54,23712.15,23740.89,23821.86,23841.88,23899.96,24342.90,24519.83,24678.26,24764.85,24789.87,24900.54,24876.77,25135.32,25196.86,25360.51,25397.26,25806.45,26004.54,26089.15,26116.41,26172.57,26234.00,26276.60,26164.29,26162.89,26289.97,26262.69,26552.40,26660.31,26695.39,26776.90,26701.79,26763.19,26818.06,27024.12,27273.06,27843.28,28271.48,28700.21,29272.66,30236.46,30477.15,30917.94,31318.25,31552.88,31735.98,32327.70,32597.31,32932.45,32925.00,33300.29,33417.60,34547.85,34624.87,34682.56,35544.06,36079.02,36267.94,36532.47,36811.97,36903.37,36992.98,36973.43,37921.18,37982.72,37980.44,37971.57,38064.47,38219.10,38251.00,38327.86,38446.11,38482.87
