,Alagoas - Depósito Poupança (R$)
2003-1,1594356.02002233
2003-2,1598003.766471846
2003-3,1601651.5129213617
2003-4,1605299.2593708776
2003-5,1608947.0058203933
2003-6,1612594.7522699093
2003-7,1616242.498719425
2003-8,1619890.2451689409
2003-9,1623537.9916184568
2003-10,1627185.7380679725
2003-11,1630833.4845174884
2003-12,1634481.230967004
2004-1,1638128.97741652
2004-2,1638700.6522114908
2004-3,1639272.3270064616
2004-4,1639844.0018014326
2004-5,1640415.6765964034
2004-6,1640987.3513913741
2004-7,1641559.0261863451
2004-8,1642130.700981316
2004-9,1642702.3757762867
2004-10,1643274.0505712575
2004-11,1643845.7253662283
2004-12,1644417.4001611993
2005-1,1644989.07495617
2005-2,1652848.520301896
2005-3,1660707.9656476218
2005-4,1668567.4109933474
2005-5,1676426.8563390733
2005-6,1684286.3016847991
2005-7,1692145.747030525
2005-8,1700005.1923762509
2005-9,1707864.6377219767
2005-10,1715724.0830677026
2005-11,1723583.5284134282
2005-12,1731442.973759154
2006-1,1739302.41910488
2006-2,1759845.2910263357
2006-3,1780388.1629477916
2006-4,1800931.0348692476
2006-5,1821473.9067907033
2006-6,1842016.778712159
2006-7,1862559.650633615
2006-8,1883102.522555071
2006-9,1903645.3944765266
2006-10,1924188.2663979824
2006-11,1944731.1383194383
2006-12,1965274.0102408943
2007-1,1985816.88216235
2007-2,1996073.709176725
2007-3,2006330.5361911
2007-4,2016587.363205475
2007-5,2026844.19021985
2007-6,2037101.017234225
2007-7,2047357.8442485998
2007-8,2057614.6712629749
2007-9,2067871.4982773499
2007-10,2078128.3252917249
2007-11,2088385.1523061
2007-12,2098641.979320475
2008-1,2108898.80633485
2008-2,2128263.598782412
2008-3,2147628.391229973
2008-4,2166993.183677535
2008-5,2186357.9761250964
2008-6,2205722.7685726583
2008-7,2225087.5610202197
2008-8,2244452.3534677816
2008-9,2263817.1459153434
2008-10,2283181.938362905
2008-11,2302546.7308104667
2008-12,2321911.523258028
2009-1,2341276.31570559
2009-2,2392041.0078134574
2009-3,2442805.699921325
2009-4,2493570.3920291923
2009-5,2544335.0841370597
2009-6,2595099.776244927
2009-7,2645864.4683527946
2009-8,2696629.160460662
2009-9,2747393.85256853
2009-10,2798158.5446763975
2009-11,2848923.236784265
2009-12,2899687.9288921324
2010-1,2950452.621
2010-2,2962364.938149943
2010-3,2974277.2552998867
2010-4,2986189.57244983
2010-5,2998101.889599773
2010-6,3010014.206749717
2010-7,3021926.52389966
2010-8,3033838.841049603
2010-9,3045751.158199547
2010-10,3057663.47534949
