,Amapá - Depósito Poupança (R$)
2003-1,205197.602881204
2003-2,205498.44407087256
2003-3,205799.28526054116
2003-4,206100.12645020973
2003-5,206400.96763987833
2003-6,206701.8088295469
2003-7,207002.65001921548
2003-8,207303.49120888408
2003-9,207604.33239855265
2003-10,207905.17358822125
2003-11,208206.01477788982
2003-12,208506.85596755843
2004-1,208807.697157227
2004-2,209281.8396099804
2004-3,209755.98206273382
2004-4,210230.12451548723
2004-5,210704.26696824067
2004-6,211178.40942099408
2004-7,211652.5518737475
2004-8,212126.6943265009
2004-9,212600.8367792543
2004-10,213074.97923200775
2004-11,213549.12168476116
2004-12,214023.26413751458
2005-1,214497.406590268
2005-2,216116.81900399516
2005-3,217736.23141772233
2005-4,219355.6438314495
2005-5,220975.05624517665
2005-6,222594.46865890382
2005-7,224213.881072631
2005-8,225833.29348635816
2005-9,227452.70590008533
2005-10,229072.11831381248
2005-11,230691.53072753965
2005-12,232310.94314126682
2006-1,233930.355554994
2006-2,239001.19032788358
2006-3,244072.02510077314
2006-4,249142.85987366273
2006-5,254213.69464655232
2006-6,259284.5294194419
2006-7,264355.3641923315
2006-8,269426.19896522106
2006-9,274497.0337381107
2006-10,279567.86851100024
2006-11,284638.7032838898
2006-12,289709.5380567794
2007-1,294780.372829669
2007-2,304485.0301674388
2007-3,314189.68750520865
2007-4,323894.3448429785
2007-5,333599.0021807483
2007-6,343303.65951851814
2007-7,353008.316856288
2007-8,362712.97419405787
2007-9,372417.6315318277
2007-10,382122.2888695975
2007-11,391826.94620736735
2007-12,401531.6035451372
2008-1,411236.260882907
2008-2,409421.34388479043
2008-3,407606.42688667384
2008-4,405791.50988855725
2008-5,403976.59289044066
2008-6,402161.67589232407
2008-7,400346.75889420754
2008-8,398531.84189609095
2008-9,396716.92489797436
2008-10,394902.00789985777
2008-11,393087.0909017412
2008-12,391272.1739036246
2009-1,389457.256905508
2009-2,391971.16674671567
2009-3,394485.07658792334
2009-4,396998.986429131
2009-5,399512.8962703387
2009-6,402026.80611154635
2009-7,404540.715952754
2009-8,407054.62579396163
2009-9,409568.5356351693
2009-10,412082.445476377
2009-11,414596.35531758465
2009-12,417110.2651587923
2010-1,419624.175
2010-2,419981.660953779
2010-3,420339.14690755797
2010-4,420696.632861337
2010-5,421054.118815116
2010-6,421411.60476889496
2010-7,421769.090722674
2010-8,422126.576676453
2010-9,422484.06263023196
2010-10,422841.548584011
2010-11,423199.03453779
2010-12,423556.52049156895
2011-1,423914.006445348
2011-2,427952.1471327039
2011-3,431990.2878200598
2011-4,436028.4285074157
2011-5,440066.56919477164
2011-6,444104.7098821276
2011-7,448142.8505694835
2011-8,452180.99125683936
2011-9,456219.1319441953
2011-10,460257.27263155126
2011-11,464295.41331890714
2011-12,468333.55400626303
2012-1,472371.694693619
2012-2,482895.90895050415
2012-3,493420.1232073893
2012-4,503944.3374642745
2012-5,514468.55172115966
2012-6,524992.7659780448
2012-7,535516.98023493
2012-8,546041.1944918152
2012-9,556565.4087487003
2012-10,567089.6230055855
2012-11,577613.8372624706
2012-12,588138.0515193557
2013-1,598662.265776241
2013-2,590783.0357137469
2013-3,582903.8056512529
2013-4,575024.5755887587
2013-5,567145.3455262646
2013-6,559266.1154637706
2013-7,551386.8854012765
2013-8,543507.6553387824
2013-9,535628.4252762883
2013-10,527749.1952137942
2013-11,519869.9651513002
2013-12,511990.7350888061
2014-1,504111.505026312
2014-2,504677.0582982141
2014-3,505242.6115701162
2014-4,505808.1648420183
2014-5,506373.71811392036
2014-6,506939.27138582245
2014-7,507504.8246577245
2014-8,508070.37792962656
2014-9,508635.93120152864
2014-10,509201.4844734307
2014-11,509767.0377453328
2014-12,510332.5910172349
2015-1,510898.144289137
2015-2,508838.85399448324
2015-3,506779.5636998295
2015-4,504720.2734051757
2015-5,502660.983110522
2015-6,500601.69281586824
2015-7,498542.40252121445
2015-8,496483.1122265607
2015-9,494423.821931907
2015-10,492364.53163725324
2015-11,490305.2413425995
2015-12,488245.9510479457
2016-1,486186.660753292
2016-2,485912.81841413066
2016-3,485638.9760749693
2016-4,485365.13373580796
2016-5,485091.29139664664
2016-6,484817.4490574853
2016-7,484543.606718324
2016-8,484269.76437916263
2016-9,483995.9220400013
2016-10,483722.07970084
2016-11,483448.2373616786
2016-12,483174.3950225173
2017-1,482900.552683356
2017-2,485149.65298719547
2017-3,487398.75329103495
2017-4,489647.8535948745
2017-5,491896.953898714
2017-6,494146.05420255347
2017-7,496395.154506393
2017-8,498644.2548102325
2017-9,500893.355114072
2017-10,503142.45541791146
2017-11,505391.55572175095
2017-12,507640.6560255905
2018-1,509889.75632943
2018-2,511209.3161601892
2018-3,512528.87599094847
2018-4,513848.4358217077
2018-5,515167.99565246695
2018-6,516487.5554832262
2018-7,517807.1153139855
2018-8,519126.67514474475
2018-9,520446.234975504
2018-10,521765.79480626323
2018-11,523085.3546370225
2018-12,524404.9144677817
2019-1,525724.474298541
2019-2,541847.3223468323
2019-3,557970.1703951237
2019-4,574093.0184434149
2019-5,590215.8664917063
2019-6,606338.7145399976
2019-7,622461.5625882889
2019-8,638584.4106365803
2019-9,654707.2586848716
2019-10,670830.106733163
2019-11,686952.9547814543
2019-12,703075.8028297457
2020-1,719198.650878037
2020-2,710563.6316385174
2020-3,701928.6123989976
2020-4,693293.5931594779
2020-5,684658.5739199583
2020-6,676023.5546804387
2020-7,667388.535440919
2020-8,658753.5162013993
2020-9,650118.4969618797
2020-10,641483.47772236
2020-11,632848.4584828403
2020-12,624213.4392433206
2021-1,615578.420003801
2021-2,614618.4942439031
2021-3,613658.5684840052
2021-4,612698.6427241073
2021-5,611738.7169642093
2021-6,610778.7912043114
2021-7,609818.8654444135
2021-8,608858.9396845156
2021-9,607899.0139246177
2021-10,606939.0881647198
2021-11,605979.1624048218
2021-12,605019.2366449239
2022-1,604059.310885026
2022-2,604059.310885026
2022-3,604059.310885026
2022-4,604059.310885026
2022-5,604059.310885026
2022-6,604059.310885026
2022-7,604059.310885026
2022-8,604059.310885026
2022-9,604059.310885026
2022-10,604059.310885026
2022-11,604059.310885026
2022-12,604059.310885026
2023-1,604059.310885026
