,Distrito Federal - Depósito Poupança (R$)
2003-1,4896481.64661628
2003-2,4934178.164800956
2003-3,4971874.682985632
2003-4,5009571.201170308
2003-5,5047267.719354983
2003-6,5084964.237539659
2003-7,5122660.755724335
2003-8,5160357.273909011
2003-9,5198053.792093687
2003-10,5235750.310278363
2003-11,5273446.828463038
2003-12,5311143.346647714
2004-1,5348839.86483239
2004-2,5353011.341709045
2004-3,5357182.8185857
2004-4,5361354.295462355
2004-5,5365525.77233901
2004-6,5369697.249215665
2004-7,5373868.72609232
2004-8,5378040.202968975
2004-9,5382211.67984563
2004-10,5386383.156722285
2004-11,5390554.6335989395
2004-12,5394726.110475595
2005-1,5398897.58735225
2005-2,5416582.665837731
2005-3,5434267.744323213
2005-4,5451952.822808695
2005-5,5469637.9012941765
2005-6,5487322.979779658
2005-7,5505008.05826514
2005-8,5522693.136750622
2005-9,5540378.215236103
2005-10,5558063.293721585
2005-11,5575748.372207066
2005-12,5593433.450692548
2006-1,5611118.52917803
2006-2,5718912.226109326
2006-3,5826705.923040622
2006-4,5934499.619971918
2006-5,6042293.316903213
2006-6,6150087.013834509
2006-7,6257880.710765805
2006-8,6365674.407697101
2006-9,6473468.104628397
2006-10,6581261.801559692
2006-11,6689055.498490988
2006-12,6796849.195422284
2007-1,6904642.89235358
2007-2,6930815.207701924
2007-3,6956987.523050269
2007-4,6983159.838398613
2007-5,7009332.153746957
2007-6,7035504.469095301
2007-7,7061676.784443645
2007-8,7087849.09979199
2007-9,7114021.415140334
2007-10,7140193.7304886775
2007-11,7166366.045837022
2007-12,7192538.361185366
2008-1,7218710.67653371
2008-2,7276166.338811665
2008-3,7333622.00108962
2008-4,7391077.663367575
2008-5,7448533.325645531
2008-6,7505988.987923485
2008-7,7563444.65020144
2008-8,7620900.312479395
2008-9,7678355.97475735
2008-10,7735811.637035306
2008-11,7793267.29931326
2008-12,7850722.961591216
2009-1,7908178.62386917
2009-2,7977583.8645467395
2009-3,8046989.105224309
2009-4,8116394.345901878
2009-5,8185799.586579447
2009-6,8255204.827257016
2009-7,8324610.067934586
2009-8,8394015.308612155
2009-9,8463420.549289724
2009-10,8532825.789967293
2009-11,8602231.030644862
2009-12,8671636.271322431
2010-1,8741041.512
2010-2,8741107.683076244
2010-3,8741173.85415249
2010-4,8741240.025228733
2010-5,8741306.196304977
2010-6,8741372.36738122
2010-7,8741438.538457464
2010-8,8741504.70953371
2010-9,8741570.880609954
2010-10,8741637.051686198
2010-11,8741703.222762443
2010-12,8741769.393838687
2011-1,8741835.56491493
2011-2,8820664.04582165
2011-3,8899492.526728371
2011-4,8978321.00763509
2011-5,9057149.48854181
2011-6,9135977.969448531
2011-7,9214806.45035525
2011-8,9293634.93126197
2011-9,9372463.412168691
2011-10,9451291.89307541
2011-11,9530120.37398213
2011-12,9608948.85488885
2012-1,9687777.33579557
2012-2,9858037.699603057
2012-3,10028298.063410541
2012-4,10198558.427218027
2012-5,10368818.791025514
2012-6,10539079.154832998
2012-7,10709339.518640485
2012-8,10879599.882447971
2012-9,11049860.246255456
2012-10,11220120.610062942
2012-11,11390380.973870428
2012-12,11560641.337677913
2013-1,11730901.7014854
2013-2,11725156.696055423
2013-3,11719411.69062545
2013-4,11713666.685195474
2013-5,11707921.6797655
2013-6,11702176.674335524
2013-7,11696431.668905549
2013-8,11690686.663475575
2013-9,11684941.6580456
2013-10,11679196.652615625
2013-11,11673451.64718565
2013-12,11667706.641755676
2014-1,11661961.6363257
2014-2,11575164.9012936
2014-3,11488368.1662615
2014-4,11401571.4312294
2014-5,11314774.6961973
2014-6,11227977.961165199
2014-7,11141181.2261331
2014-8,11054384.491101
2014-9,10967587.7560689
2014-10,10880791.0210368
2014-11,10793994.2860047
2014-12,10707197.5509726
2015-1,10620400.8159405
2015-2,10570319.171991508
2015-3,10520237.528042516
2015-4,10470155.884093525
2015-5,10420074.240144532
2015-6,10369992.596195541
2015-7,10319910.95224655
2015-8,10269829.308297558
2015-9,10219747.664348567
2015-10,10169666.020399574
2015-11,10119584.376450583
2015-12,10069502.73250159
