,Espírito Santo - Depósito Poupança (R$)
2003-1,4069228.56726218
2003-2,4094341.211412235
2003-3,4119453.85556229
2003-4,4144566.499712345
2003-5,4169679.1438624
2003-6,4194791.788012455
2003-7,4219904.43216251
2003-8,4245017.076312565
2003-9,4270129.72046262
2003-10,4295242.364612675
2003-11,4320355.00876273
2003-12,4345467.652912785
2004-1,4370580.29706284
2004-2,4377385.620855626
2004-3,4384190.944648412
2004-4,4390996.268441197
2004-5,4397801.592233984
2004-6,4404606.916026769
2004-7,4411412.239819555
2004-8,4418217.563612341
2004-9,4425022.887405126
2004-10,4431828.211197913
2004-11,4438633.534990698
2004-12,4445438.858783484
2005-1,4452244.18257627
2005-2,4486521.742145987
2005-3,4520799.301715705
2005-4,4555076.861285422
2005-5,4589354.42085514
2005-6,4623631.980424858
2005-7,4657909.539994575
2005-8,4692187.0995642925
2005-9,4726464.65913401
2005-10,4760742.218703728
2005-11,4795019.778273446
2005-12,4829297.337843163
2006-1,4863574.89741288
2006-2,4931323.917210017
2006-3,4999072.937007153
2006-4,5066821.95680429
2006-5,5134570.9766014265
2006-6,5202319.9963985635
2006-7,5270069.0161957
2006-8,5337818.035992837
2006-9,5405567.055789974
2006-10,5473316.07558711
2006-11,5541065.095384247
2006-12,5608814.115181383
2007-1,5676563.13497852
2007-2,5657307.274709513
2007-3,5638051.414440506
2007-4,5618795.5541715
2007-5,5599539.693902493
2007-6,5580283.833633486
2007-7,5561027.97336448
2007-8,5541772.1130954735
2007-9,5522516.252826466
2007-10,5503260.39255746
2007-11,5484004.532288454
2007-12,5464748.672019446
2008-1,5445492.81175044
2008-2,5479232.973543462
2008-3,5512973.135336485
2008-4,5546713.297129507
2008-5,5580453.45892253
2008-6,5614193.620715552
2008-7,5647933.782508574
2008-8,5681673.944301598
2008-9,5715414.10609462
2008-10,5749154.267887643
2008-11,5782894.429680665
2008-12,5816634.591473687
2009-1,5850374.75326671
2009-2,5904191.447411151
2009-3,5958008.1415555915
2009-4,6011824.835700032
2009-5,6065641.529844473
2009-6,6119458.223988914
2009-7,6173274.918133355
2009-8,6227091.612277796
2009-9,6280908.306422236
2009-10,6334725.000566677
2009-11,6388541.694711118
2009-12,6442358.388855559
2010-1,6496175.083
2010-2,6541960.910624615
2010-3,6587746.738249229
2010-4,6633532.565873845
2010-5,6679318.39349846
2010-6,6725104.221123075
2010-7,6770890.04874769
2010-8,6816675.876372305
2010-9,6862461.70399692
2010-10,6908247.531621535
2010-11,6954033.35924615
2010-12,6999819.186870765
2011-1,7045605.01449538
2011-2,7108651.305229822
2011-3,7171697.595964263
2011-4,7234743.886698705
2011-5,7297790.177433147
2011-6,7360836.468167588
2011-7,7423882.75890203
2011-8,7486929.049636472
2011-9,7549975.340370913
2011-10,7613021.631105355
2011-11,7676067.921839797
2011-12,7739114.212574238
2012-1,7802160.50330868
2012-2,7871044.850374133
2012-3,7939929.197439587
2012-4,8008813.54450504
2012-5,8077697.891570494
2012-6,8146582.238635947
2012-7,8215466.5857014
2012-8,8284350.932766854
2012-9,8353235.279832307
2012-10,8422119.62689776
2012-11,8491003.973963214
2012-12,8559888.321028668
2013-1,8628772.66809412
2013-2,8659507.661799718
2013-3,8690242.655505316
2013-4,8720977.649210913
2013-5,8751712.64291651
2013-6,8782447.636622109
2013-7,8813182.630327705
2013-8,8843917.624033302
2013-9,8874652.6177389
2013-10,8905387.611444497
2013-11,8936122.605150094
2013-12,8966857.598855693
2014-1,8997592.59256129
2014-2,8934990.125763062
2014-3,8872387.658964837
2014-4,8809785.19216661
2014-5,8747182.725368382
2014-6,8684580.258570157
2014-7,8621977.79177193
2014-8,8559375.324973702
2014-9,8496772.858175477
2014-10,8434170.39137725
2014-11,8371567.924579023
2014-12,8308965.457780796
2015-1,8246362.99098257
2015-2,8198911.589510433
2015-3,8151460.188038297
2015-4,8104008.78656616
2015-5,8056557.385094023
2015-6,8009105.983621887
2015-7,7961654.58214975
2015-8,7914203.180677613
2015-9,7866751.779205477
2015-10,7819300.3777333405
2015-11,7771848.976261204
2015-12,7724397.574789067
2016-1,7676946.17331693
2016-2,7695679.73673875
2016-3,7714413.300160568
2016-4,7733146.863582388
2016-5,7751880.427004207
2016-6,7770613.990426026
2016-7,7789347.553847846
2016-8,7808081.117269664
2016-9,7826814.680691483
2016-10,7845548.244113303
2016-11,7864281.807535121
2016-12,7883015.370956941
2017-1,7901748.93437876
2017-2,7935687.747651952
2017-3,7969626.560925145
2017-4,8003565.374198338
2017-5,8037504.18747153
2017-6,8071443.000744723
2017-7,8105381.814017915
2017-8,8139320.627291108
2017-9,8173259.4405643
2017-10,8207198.253837492
2017-11,8241137.067110686
2017-12,8275075.880383878
2018-1,8309014.69365707
2018-2,8318383.077400924
2018-3,8327751.461144777
2018-4,8337119.84488863
2018-5,8346488.228632484
2018-6,8355856.612376337
2018-7,8365224.99612019
2018-8,8374593.379864044
2018-9,8383961.763607897
2018-10,8393330.14735175
2018-11,8402698.531095603
2018-12,8412066.914839458
2019-1,8421435.29858331
2019-2,8536361.680745957
2019-3,8651288.062908605
2019-4,8766214.445071252
2019-5,8881140.8272339
2019-6,8996067.209396547
2019-7,9110993.591559194
2019-8,9225919.973721843
2019-9,9340846.35588449
2019-10,9455772.738047138
2019-11,9570699.120209785
2019-12,9685625.502372433
2020-1,9800551.88453508
2020-2,9758295.409041725
2020-3,9716038.93354837
2020-4,9673782.458055016
2020-5,9631525.982561659
2020-6,9589269.507068304
2020-7,9547013.03157495
2020-8,9504756.556081595
2020-9,9462500.08058824
2020-10,9420243.605094884
2020-11,9377987.129601529
2020-12,9335730.654108174
2021-1,9293474.17861482
2021-2,9198280.89746848
