,Maranhão - Depósito Poupança (R$)
2003-1,1609841.56199172
2003-2,1619287.6489300225
2003-3,1628733.735868325
2003-4,1638179.8228066275
2003-5,1647625.90974493
2003-6,1657071.9966832325
2003-7,1666518.083621535
2003-8,1675964.1705598375
2003-9,1685410.25749814
2003-10,1694856.3444364425
2003-11,1704302.431374745
2003-12,1713748.5183130475
2004-1,1723194.60525135
2004-2,1742907.6663541333
2004-3,1762620.7274569166
2004-4,1782333.7885597
2004-5,1802046.8496624832
2004-6,1821759.9107652665
2004-7,1841472.9718680498
2004-8,1861186.0329708331
2004-9,1880899.0940736167
2004-10,1900612.1551764
2004-11,1920325.2162791833
2004-12,1940038.2773819666
2005-1,1959751.33848475
2005-2,1982921.1073197015
2005-3,2006090.8761546533
2005-4,2029260.6449896048
2005-5,2052430.4138245566
2005-6,2075600.1826595082
2005-7,2098769.95149446
2005-8,2121939.7203294113
2005-9,2145109.489164363
2005-10,2168279.257999315
2005-11,2191449.0268342667
2005-12,2214618.795669218
2006-1,2237788.56450417
2006-2,2271989.2345924065
2006-3,2306189.904680643
2006-4,2340390.57476888
2006-5,2374591.2448571166
2006-6,2408791.9149453533
2006-7,2442992.58503359
2006-8,2477193.2551218267
2006-9,2511393.9252100633
2006-10,2545594.5952983
2006-11,2579795.2653865367
2006-12,2613995.9354747734
2007-1,2648196.60556301
2007-2,2681221.2886990015
2007-3,2714245.9718349935
2007-4,2747270.654970985
2007-5,2780295.338106977
2007-6,2813320.0212429683
2007-7,2846344.7043789597
2007-8,2879369.3875149516
2007-9,2912394.070650943
2007-10,2945418.753786935
2007-11,2978443.4369229265
2007-12,3011468.1200589184
2008-1,3044492.80319491
2008-2,3086174.2932757414
2008-3,3127855.7833565734
2008-4,3169537.273437405
2008-5,3211218.7635182366
2008-6,3252900.253599068
2008-7,3294581.7436798997
2008-8,3336263.2337607318
2008-9,3377944.7238415633
2008-10,3419626.213922395
2008-11,3461307.704003227
2008-12,3502989.1940840585
2009-1,3544670.68416489
2009-2,3552093.6909844824
2009-3,3559516.697804075
2009-4,3566939.7046236675
2009-5,3574362.71144326
2009-6,3581785.7182628526
2009-7,3589208.725082445
2009-8,3596631.7319020373
2009-9,3604054.73872163
2009-10,3611477.7455412224
2009-11,3618900.7523608147
2009-12,3626323.7591804075
2010-1,3633746.766
2010-2,3647375.7515418674
2010-3,3661004.737083735
2010-4,3674633.7226256025
2010-5,3688262.70816747
2010-6,3701891.6937093376
2010-7,3715520.679251205
2010-8,3729149.6647930723
2010-9,3742778.65033494
2010-10,3756407.6358768074
2010-11,3770036.621418675
2010-12,3783665.6069605425
2011-1,3797294.59250241
2011-2,3825008.355527169
2011-3,3852722.1185519286
2011-4,3880435.8815766876
2011-5,3908149.6446014466
2011-6,3935863.407626206
2011-7,3963577.170650965
2011-8,3991290.933675724
2011-9,4019004.6967004836
2011-10,4046718.4597252426
2011-11,4074432.2227500016
2011-12,4102145.985774761
2012-1,4129859.74879952
2012-2,4163597.791174259
2012-3,4197335.833548998
2012-4,4231073.875923738
2012-5,4264811.918298476
2012-6,4298549.960673216
2012-7,4332288.003047955
2012-8,4366026.045422694
2012-9,4399764.087797433
2012-10,4433502.130172173
2012-11,4467240.172546912
2012-12,4500978.2149216505
2013-1,4534716.25729639
2013-2,4564372.316190291
2013-3,4594028.375084192
2013-4,4623684.433978092
2013-5,4653340.492871993
2013-6,4682996.5517658945
2013-7,4712652.610659795
2013-8,4742308.669553695
2013-9,4771964.728447597
2013-10,4801620.787341498
2013-11,4831276.846235398
2013-12,4860932.905129299
2014-1,4890588.9640232
2014-2,4891924.249442581
2014-3,4893259.534861961
2014-4,4894594.820281343
2014-5,4895930.105700723
2014-6,4897265.391120104
2014-7,4898600.676539484
2014-8,4899935.961958866
2014-9,4901271.247378247
2014-10,4902606.532797627
2014-11,4903941.818217008
2014-12,4905277.103636389
2015-1,4906612.38905577
2015-2,4899164.112084629
2015-3,4891715.835113488
2015-4,4884267.558142347
2015-5,4876819.281171206
2015-6,4869371.0042000655
2015-7,4861922.727228925
2015-8,4854474.450257785
2015-9,4847026.173286644
2015-10,4839577.896315503
2015-11,4832129.619344362
2015-12,4824681.342373221
2016-1,4817233.06540208
2016-2,4836232.27560837
2016-3,4855231.485814661
2016-4,4874230.696020951
2016-5,4893229.90622724
2016-6,4912229.11643353
2016-7,4931228.32663982
2016-8,4950227.536846111
2016-9,4969226.7470524
2016-10,4988225.95725869
2016-11,5007225.167464981
2016-12,5026224.377671271
2017-1,5045223.58787756
2017-2,5062555.57222405
2017-3,5079887.556570538
2017-4,5097219.540917028
2017-5,5114551.525263517
2017-6,5131883.509610006
2017-7,5149215.493956495
2017-8,5166547.4783029845
2017-9,5183879.462649473
2017-10,5201211.446995962
2017-11,5218543.431342452
2017-12,5235875.41568894
2018-1,5253207.40003543
2018-2,5262498.728807989
2018-3,5271790.057580548
2018-4,5281081.386353107
2018-5,5290372.715125667
2018-6,5299664.043898226
2018-7,5308955.372670785
2018-8,5318246.701443344
2018-9,5327538.030215903
2018-10,5336829.358988463
2018-11,5346120.687761022
2018-12,5355412.016533582
2019-1,5364703.34530614
2019-2,5483930.900468465
2019-3,5603158.455630789
2019-4,5722386.010793112
2019-5,5841613.565955437
2019-6,5960841.121117761
2019-7,6080068.676280085
2019-8,6199296.231442409
2019-9,6318523.786604733
2019-10,6437751.341767058
2019-11,6556978.896929381
2019-12,6676206.452091705
2020-1,6795434.00725403
2020-2,6713670.089549699
2020-3,6631906.171845368
2020-4,6550142.254141037
2020-5,6468378.336436707
2020-6,6386614.418732376
2020-7,6304850.501028044
2020-8,6223086.583323713
2020-9,6141322.665619383
2020-10,6059558.747915052
2020-11,5977794.830210721
2020-12,5896030.91250639
2021-1,5814266.99480206
2021-2,5807151.126277819
2021-3,5800035.257753578
2021-4,5792919.389229337
2021-5,5785803.520705096
2021-6,5778687.652180856
2021-7,5771571.783656615
2021-8,5764455.915132374
2021-9,5757340.046608133
2021-10,5750224.178083893
2021-11,5743108.309559652
2021-12,5735992.44103541
2022-1,5728876.57251117
2022-2,5728876.57251117
2022-3,5728876.57251117
2022-4,5728876.57251117
2022-5,5728876.57251117
2022-6,5728876.57251117
2022-7,5728876.57251117
2022-8,5728876.57251117
2022-9,5728876.57251117
2022-10,5728876.57251117
2022-11,5728876.57251117
2022-12,5728876.57251117
2023-1,5728876.57251117
