,Mato Grosso - Depósito Poupança (R$)
2003-1,1402869.96310549
2003-2,1418219.1200554857
2003-3,1433568.2770054815
2003-4,1448917.4339554776
2003-5,1464266.5909054733
2003-6,1479615.7478554691
2003-7,1494964.9048054651
2003-8,1510314.061755461
2003-9,1525663.2187054567
2003-10,1541012.3756554525
2003-11,1556361.5326054483
2003-12,1571710.6895554443
2004-1,1587059.84650544
2004-2,1575041.9722179
2004-3,1563024.0979303601
2004-4,1551006.22364282
2004-5,1538988.34935528
2004-6,1526970.47506774
2004-7,1514952.6007802
2004-8,1502934.72649266
2004-9,1490916.85220512
2004-10,1478898.97791758
2004-11,1466881.1036300398
2004-12,1454863.2293425
2005-1,1442845.35505496
2005-2,1456313.8644736432
2005-3,1469782.3738923266
2005-4,1483250.88331101
2005-5,1496719.3927296933
2005-6,1510187.9021483767
2005-7,1523656.4115670598
2005-8,1537124.9209857432
2005-9,1550593.4304044265
2005-10,1564061.93982311
2005-11,1577530.4492417932
2005-12,1590998.9586604766
2006-1,1604467.46807916
2006-2,1650276.7500294817
2006-3,1696086.0319798032
2006-4,1741895.313930125
2006-5,1787704.5958804467
2006-6,1833513.8778307682
2006-7,1879323.15978109
2006-8,1925132.4417314115
2006-9,1970941.7236817332
2006-10,2016751.005632055
2006-11,2062560.2875823765
2006-12,2108369.5695326985
2007-1,2154178.85148302
2007-2,2168240.6468980373
2007-3,2182302.442313055
2007-4,2196364.2377280723
2007-5,2210426.03314309
2007-6,2224487.8285581074
2007-7,2238549.6239731247
2007-8,2252611.4193881424
2007-9,2266673.2148031597
2007-10,2280735.0102181775
2007-11,2294796.8056331947
2007-12,2308858.6010482125
2008-1,2322920.39646323
2008-2,2335328.6038094005
2008-3,2347736.8111555716
2008-4,2360145.0185017423
2008-5,2372553.2258479134
2008-6,2384961.433194084
2008-7,2397369.6405402552
2008-8,2409777.847886426
2008-9,2422186.0552325966
2008-10,2434594.2625787677
2008-11,2447002.4699249384
2008-12,2459410.6772711095
2009-1,2471818.88461728
2009-2,2495098.80556584
2009-3,2518378.7265144
2009-4,2541658.6474629603
2009-5,2564938.56841152
2009-6,2588218.48936008
2009-7,2611498.4103086405
2009-8,2634778.3312572003
2009-9,2658058.25220576
2009-10,2681338.17315432
2009-11,2704618.09410288
2009-12,2727898.0150514403
2010-1,2751177.936
2010-2,2757787.626414954
2010-3,2764397.3168299086
2010-4,2771007.0072448626
2010-5,2777616.6976598166
2010-6,2784226.388074771
2010-7,2790836.078489725
2010-8,2797445.768904679
2010-9,2804055.4593196334
2010-10,2810665.1497345874
2010-11,2817274.8401495414
2010-12,2823884.530564496
2011-1,2830494.22097945
2011-2,2867160.723272685
2011-3,2903827.2255659197
2011-4,2940493.727859155
2011-5,2977160.23015239
2011-6,3013826.7324456247
2011-7,3050493.23473886
2011-8,3087159.737032095
2011-9,3123826.2393253297
2011-10,3160492.741618565
2011-11,3197159.2439118
2011-12,3233825.7462050347
2012-1,3270492.24849827
2012-2,3306610.1468157955
2012-3,3342728.0451333215
2012-4,3378845.9434508476
2012-5,3414963.8417683733
2012-6,3451081.740085899
2012-7,3487199.638403425
2012-8,3523317.536720951
2012-9,3559435.4350384767
2012-10,3595553.3333560023
2012-11,3631671.2316735284
2012-12,3667789.1299910545
2013-1,3703907.02830858
2013-2,3722088.9747497803
2013-3,3740270.92119098
2013-4,3758452.86763218
2013-5,3776634.81407338
2013-6,3794816.76051458
2013-7,3812998.7069557803
2013-8,3831180.65339698
2013-9,3849362.59983818
2013-10,3867544.54627938
2013-11,3885726.4927205797
2013-12,3903908.43916178
2014-1,3922090.38560298
2014-2,3907902.6920429626
2014-3,3893714.998482945
