,Paraná - Depósito Poupança (R$)
2003-1,13120294.7989858
2003-2,13136186.835212767
2003-3,13152078.871439733
2003-4,13167970.9076667
2003-5,13183862.943893667
2003-6,13199754.980120633
2003-7,13215647.0163476
2003-8,13231539.052574567
2003-9,13247431.088801533
2003-10,13263323.1250285
2003-11,13279215.161255468
2003-12,13295107.197482433
2004-1,13310999.2337094
2004-2,13270972.093715884
2004-3,13230944.953722367
2004-4,13190917.81372885
2004-5,13150890.673735334
2004-6,13110863.533741817
2004-7,13070836.3937483
2004-8,13030809.253754783
2004-9,12990782.113761267
2004-10,12950754.97376775
2004-11,12910727.833774233
2004-12,12870700.693780717
2005-1,12830673.5537872
2005-2,12859659.222489616
2005-3,12888644.891192034
2005-4,12917630.55989445
2005-5,12946616.228596866
2005-6,12975601.897299284
2005-7,13004587.5660017
2005-8,13033573.234704116
2005-9,13062558.903406534
2005-10,13091544.57210895
2005-11,13120530.240811367
2005-12,13149515.909513785
2006-1,13178501.5782162
2006-2,13414785.798212258
2006-3,13651070.018208317
2006-4,13887354.238204375
2006-5,14123638.458200434
2006-6,14359922.678196492
2006-7,14596206.898192551
2006-8,14832491.118188608
2006-9,15068775.338184666
2006-10,15305059.558180725
2006-11,15541343.778176783
2006-12,15777627.998172842
2007-1,16013912.2181689
2007-2,16093049.624644667
2007-3,16172187.031120433
2007-4,16251324.437596198
2007-5,16330461.844071966
2007-6,16409599.250547733
2007-7,16488736.657023499
2007-8,16567874.063499264
2007-9,16647011.469975032
2007-10,16726148.8764508
2007-11,16805286.282926567
2007-12,16884423.68940233
2008-1,16963561.0958781
2008-2,17103339.308184125
2008-3,17243117.520490147
2008-4,17382895.732796174
2008-5,17522673.9451022
2008-6,17662452.157408223
2008-7,17802230.36971425
2008-8,17942008.582020275
2008-9,18081786.794326298
2008-10,18221565.006632324
2008-11,18361343.21893835
2008-12,18501121.431244373
2009-1,18640899.6435504
2009-2,18823695.632504534
2009-3,19006491.621458665
2009-4,19189287.6104128
2009-5,19372083.599366933
2009-6,19554879.588321067
2009-7,19737675.5772752
2009-8,19920471.566229332
2009-9,20103267.555183467
2009-10,20286063.5441376
2009-11,20468859.53309173
2009-12,20651655.522045866
2010-1,20834451.511
2010-2,20943327.85344676
2010-3,21052204.19589352
2010-4,21161080.538340274
2010-5,21269956.880787034
2010-6,21378833.223233793
2010-7,21487709.56568055
2010-8,21596585.908127308
2010-9,21705462.250574067
2010-10,21814338.593020827
2010-11,21923214.935467586
2010-12,22032091.27791434
2011-1,22140967.6203611
2011-2,22373860.622718193
2011-3,22606753.625075284
2011-4,22839646.627432376
2011-5,23072539.629789468
2011-6,23305432.63214656
2011-7,23538325.634503648
2011-8,23771218.63686074
2011-9,24004111.63921783
2011-10,24237004.641574923
2011-11,24469897.643932015
2011-12,24702790.646289106
2012-1,24935683.6486462
2012-2,25202249.064627424
2012-3,25468814.48060865
2012-4,25735379.896589875
2012-5,26001945.312571097
2012-6,26268510.728552323
2012-7,26535076.14453355
2012-8,26801641.560514774
2012-9,27068206.976496
2012-10,27334772.39247722
2012-11,27601337.808458447
2012-12,27867903.224439673
2013-1,28134468.6404209
2013-2,28169978.396159556
2013-3,28205488.151898216
2013-4,28240997.907636873
2013-5,28276507.663375534
2013-6,28312017.41911419
2013-7,28347527.174852848
2013-8,28383036.93059151
2013-9,28418546.686330166
2013-10,28454056.442068826
2013-11,28489566.197807483
2013-12,28525075.953546144
2014-1,28560585.7092848
2014-2,28370806.22342596
2014-3,28181026.73756712
2014-4,27991247.251708277
2014-5,27801467.765849434
2014-6,27611688.27999059
2014-7,27421908.79413175
2014-8,27232129.30827291
2014-9,27042349.822414067
2014-10,26852570.336555224
2014-11,26662790.850696385
2014-12,26473011.364837542
2015-1,26283231.8789787
2015-2,26144615.6922612
2015-3,26005999.5055437
2015-4,25867383.3188262
2015-5,25728767.1321087
2015-6,25590150.9453912
2015-7,25451534.758673698
2015-8,25312918.5719562
2015-9,25174302.3852387
2015-10,25035686.1985212
2015-11,24897070.0118037
2015-12,24758453.8250862
2016-1,24619837.6383687
2016-2,24729756.65897854
2016-3,24839675.679588385
2016-4,24949594.700198226
2016-5,25059513.720808066
2016-6,25169432.741417907
2016-7,25279351.762027748
2016-8,25389270.782637592
2016-9,25499189.803247433
2016-10,25609108.823857274
2016-11,25719027.84446712
2016-12,25828946.86507696
2017-1,25938865.8856868
2017-2,26067115.253258258
2017-3,26195364.620829716
2017-4,26323613.988401175
2017-5,26451863.355972633
2017-6,26580112.72354409
2017-7,26708362.09111555
2017-8,26836611.458687007
2017-9,26964860.826258466
2017-10,27093110.193829924
2017-11,27221359.561401382
2017-12,27349608.92897284
2018-1,27477858.2965443
2018-2,27492496.502393357
2018-3,27507134.708242416
2018-4,27521772.914091475
2018-5,27536411.11994053
2018-6,27551049.32578959
2018-7,27565687.53163865
2018-8,27580325.737487707
2018-9,27594963.943336766
2018-10,27609602.14918582
2018-11,27624240.35503488
2018-12,27638878.56088394
2019-1,27653516.766733
2019-2,27935608.656263225
2019-3,28217700.545793448
2019-4,28499792.435323674
2019-5,28781884.324853897
2019-6,29063976.214384124
2019-7,29346068.10391435
2019-8,29628159.993444573
2019-9,29910251.8829748
2019-10,30192343.772505023
2019-11,30474435.66203525
2019-12,30756527.551565472
2020-1,31038619.4410957
2020-2,30790257.15971474
2020-3,30541894.87833378
2020-4,30293532.596952826
2020-5,30045170.315571867
2020-6,29796808.034190908
2020-7,29548445.75280995
2020-8,29300083.47142899
2020-9,29051721.19004803
2020-10,28803358.908667073
2020-11,28554996.627286118
2020-12,28306634.34590516
2021-1,28058272.0645242
2021-2,27719130.023000084
2021-3,27379987.981475968
2021-4,27040845.939951852
2021-5,26701703.898427732
2021-6,26362561.856903616
2021-7,26023419.8153795
2021-8,25684277.773855384
2021-9,25345135.73233127
2021-10,25005993.69080715
2021-11,24666851.649283033
2021-12,24327709.607758917
2022-1,23988567.5662348
2022-2,23988567.5662348
2022-3,23988567.5662348
2022-4,23988567.5662348
2022-5,23988567.5662348
2022-6,23988567.5662348
2022-7,23988567.5662348
2022-8,23988567.5662348
2022-9,23988567.5662348
2022-10,23988567.5662348
2022-11,23988567.5662348
2022-12,23988567.5662348
2023-1,23988567.5662348
