,Rio Grande do Norte - Depósito Poupança (R$)
2003-1,1843383.51452857
2003-2,1855573.1871035434
2003-3,1867762.8596785166
2003-4,1879952.53225349
2003-5,1892142.2048284633
2003-6,1904331.8774034367
2003-7,1916521.54997841
2003-8,1928711.2225533833
2003-9,1940900.8951283568
2003-10,1953090.56770333
2003-11,1965280.2402783034
2003-12,1977469.9128532768
2004-1,1989659.58542825
2004-2,1994036.1260772275
2004-3,1998412.666726205
2004-4,2002789.2073751825
2004-5,2007165.74802416
2004-6,2011542.2886731375
2004-7,2015918.829322115
2004-8,2020295.3699710926
2004-9,2024671.91062007
2004-10,2029048.4512690476
2004-11,2033424.991918025
2004-12,2037801.5325670026
2005-1,2042178.07321598
2005-2,2059734.3981301868
2005-3,2077290.7230443934
2005-4,2094847.0479586
2005-5,2112403.3728728066
2005-6,2129959.6977870134
2005-7,2147516.02270122
2005-8,2165072.347615427
2005-9,2182628.6725296336
2005-10,2200184.99744384
2005-11,2217741.3223580467
2005-12,2235297.6472722534
2006-1,2252853.97218646
2006-2,2279561.258227938
2006-3,2306268.544269415
2006-4,2332975.830310893
2006-5,2359683.11635237
2006-6,2386390.4023938477
2006-7,2413097.6884353254
2006-8,2439804.9744768026
2006-9,2466512.2605182803
2006-10,2493219.5465597576
2006-11,2519926.8326012352
2006-12,2546634.118642713
2007-1,2573341.40468419
2007-2,2578961.727514406
2007-3,2584582.0503446218
2007-4,2590202.373174838
2007-5,2595822.6960050534
2007-6,2601443.0188352694
2007-7,2607063.341665485
2007-8,2612683.664495701
2007-9,2618303.987325917
2007-10,2623924.3101561326
2007-11,2629544.6329863486
2007-12,2635164.955816564
2008-1,2640785.27864678
2008-2,2652121.2676224345
2008-3,2663457.2565980884
2008-4,2674793.245573743
2008-5,2686129.2345493967
2008-6,2697465.223525051
2008-7,2708801.2125007054
2008-8,2720137.2014763593
2008-9,2731473.1904520136
2008-10,2742809.1794276675
2008-11,2754145.168403322
2008-12,2765481.157378976
2009-1,2776817.14635463
2009-2,2797244.949908411
2009-3,2817672.7534621917
2009-4,2838100.5570159727
2009-5,2858528.360569753
2009-6,2878956.164123534
2009-7,2899383.9676773148
2009-8,2919811.771231096
2009-9,2940239.574784877
2009-10,2960667.3783386573
2009-11,2981095.1818924383
2009-12,3001522.985446219
2010-1,3021950.789
2010-2,3028672.48531116
2010-3,3035394.18162232
2010-4,3042115.87793348
2010-5,3048837.57424464
2010-6,3055559.2705558
2010-7,3062280.96686696
2010-8,3069002.6631781203
2010-9,3075724.3594892803
2010-10,3082446.0558004403
2010-11,3089167.7521116002
