,Rio Grande do Sul - Depósito Poupança (R$)
2003-1,20462814.8431873
2003-2,20519160.03765033
2003-3,20575505.232113365
2003-4,20631850.4265764
2003-5,20688195.62103943
2003-6,20744540.815502465
2003-7,20800886.0099655
2003-8,20857231.204428535
2003-9,20913576.39889157
2003-10,20969921.5933546
2003-11,21026266.787817635
2003-12,21082611.982280668
2004-1,21138957.1767437
2004-2,21119340.330663525
2004-3,21099723.48458335
2004-4,21080106.638503175
2004-5,21060489.792423002
2004-6,21040872.946342826
2004-7,21021256.10026265
2004-8,21001639.254182477
2004-9,20982022.4081023
2004-10,20962405.562022127
2004-11,20942788.71594195
2004-12,20923171.869861778
2005-1,20903555.0237816
2005-2,20948195.065176602
2005-3,20992835.1065716
2005-4,21037475.1479666
2005-5,21082115.189361602
2005-6,21126755.2307566
2005-7,21171395.2721516
2005-8,21216035.3135466
2005-9,21260675.3549416
2005-10,21305315.3963366
2005-11,21349955.4377316
2005-12,21394595.4791266
2006-1,21439235.5205216
2006-2,21770345.447964724
2006-3,22101455.37540785
2006-4,22432565.302850977
2006-5,22763675.2302941
2006-6,23094785.157737225
2006-7,23425895.08518035
2006-8,23757005.012623474
2006-9,24088114.9400666
2006-10,24419224.867509723
2006-11,24750334.79495285
2006-12,25081444.722395975
2007-1,25412554.6498391
2007-2,25491758.596102383
2007-3,25570962.542365666
2007-4,25650166.48862895
2007-5,25729370.434892233
2007-6,25808574.381155517
2007-7,25887778.3274188
2007-8,25966982.273682084
2007-9,26046186.219945367
2007-10,26125390.16620865
2007-11,26204594.112471934
2007-12,26283798.058735218
2008-1,26363002.0049985
2008-2,26550195.264937844
2008-3,26737388.524877183
2008-4,26924581.784816526
2008-5,27111775.04475587
2008-6,27298968.304695208
2008-7,27486161.56463455
2008-8,27673354.824573893
2008-9,27860548.084513232
2008-10,28047741.344452575
2008-11,28234934.604391918
2008-12,28422127.864331257
2009-1,28609321.1242706
2009-2,28741809.85499805
2009-3,28874298.5857255
2009-4,29006787.31645295
2009-5,29139276.0471804
2009-6,29271764.77790785
2009-7,29404253.508635297
2009-8,29536742.23936275
2009-9,29669230.9700902
2009-10,29801719.70081765
2009-11,29934208.4315451
2009-12,30066697.16227255
2010-1,30199185.893
2010-2,30200703.315182857
2010-3,30202220.737365715
2010-4,30203738.159548573
2010-5,30205255.58173143
2010-6,30206773.00391429
2010-7,30208290.426097147
2010-8,30209807.84828001
2010-9,30211325.270462867
2010-10,30212842.692645725
2010-11,30214360.114828583
2010-12,30215877.53701144
2011-1,30217394.9591943
2011-2,30460484.58249011
2011-3,30703574.205785915
2011-4,30946663.829081725
2011-5,31189753.45237753
2011-6,31432843.07567334
2011-7,31675932.698969148
2011-8,31919022.32226496
2011-9,32162111.94556077
2011-10,32405201.568856575
2011-11,32648291.192152385
2011-12,32891380.815448195
2012-1,33134470.438744
2012-2,33453796.244649
2012-3,33773122.050554
2012-4,34092447.856459
2012-5,34411773.662364
2012-6,34731099.468269
2012-7,35050425.274174005
2012-8,35369751.080079004
2012-9,35689076.885984
2012-10,36008402.691889
2012-11,36327728.497794
2012-12,36647054.303699
2013-1,36966380.109604
2013-2,37009652.788494654
2013-3,37052925.4673853
2013-4,37096198.14627595
2013-5,37139470.8251666
2013-6,37182743.50405725
2013-7,37226016.182947904
2013-8,37269288.86183855
2013-9,37312561.5407292
2013-10,37355834.21961985
2013-11,37399106.8985105
2013-12,37442379.57740115
2014-1,37485652.2562918
2014-2,37322039.84689198
2014-3,37158427.43749215
2014-4,36994815.028092325
2014-5,36831202.6186925
2014-6,36667590.20929267
2014-7,36503977.79989285
2014-8,36340365.39049303
2014-9,36176752.9810932
2014-10,36013140.571693376
2014-11,35849528.16229355
